ID,n_ID,name,Con_Cl,u_Con_Cl,RAh,RAm,DE-,DEd,DEm,GLON,n_GLON,GLAT,ABS_LAW,A(B),D(0.9),u_D(0.9),Bmean,Dmod,n_Dmod,r,x,y,z,Btot,B-V,M(B),(B-V)o,Sp,n_Sp,RV
5986,--,delta 552,7,--,15,42.8,-,37,37,337,--,14,0.99,0.92,8.6,--,--,--,--,--,--,--,--,--,0.82,--,0.57,G1,--,2
A-vdB,--,--,5,--,16,8.8,+,15,2,29,--,42,0.36,--,--,--,--,20.0,--,83.2,54.0,30.0,55.6,--,--,--,--,--,--,--
6093,--,M80,2,--,16,14.1,-,22,52,353,--,19,0.74,0.81,8.6,--,15.07,15.87,--,12.6,11.9,-1.1,4.1,8.0,0.83,-8.2,0.64,F9,--,18
6101,--,--,10,--,16,20.0,-,72,6,318,--,-16,0.87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6121,--,M4,9,--,16,20.6,-,26,24,351,--,16,0.87,1.57,22.6,--,13.21,14.01,--,4.3,4.1,-0.6,1.2,7.05,0.98,-7.0,0.76,G0,:,65
6139,--,--,2,--,16,24.3,-,38,44,342,--,7,1.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,F8,3,20
6144,--,--,11,--,16,24.2,-,25,56,352,--,15,0.93,0.81,11.1,--,16.04,16.84,--,16.9,16.2,-2.2,4.4,10.41,0.89,-6.7,0.66,G0,:,--
6171,--,--,10,--,16,29.7,-,12,57,3,--,23,0.61,1.57,12.8,--,15.75,16.55,--,17.1,15.7,0.7,6.6,9.67,1.03,-7.1,0.88,G3,--,-147
6205,--,M13,5,--,16,39.9,+,36,33,59,--,41,0.37,0.12,12.9,--,13.85,14.3,1,6.3,2.4,4.1,4.1,6.43,0.65,-7.9,0.56,F6,--,-241
6218,--,M12,9,--,16,44.6,-,1,52,15,--,26,0.55,0.92,21.5,--,14.07,14.87,--,7.4,6.4,1.6,3.3,7.58,0.84,-7.3,0.7,F8,--,-16
6229,--,--,4,--,16,45.6,+,47,37,73,--,40,0.37,0.38,3.6,--,16.5,17.3,--,24.7,5.6,18.0,15.9,9.81,0.71,-7.5,0.62,F8,--,-150
6235,--,--,10,--,16,50.4,-,22,6,359,--,13,1.07,--,--,--,16.56,17.36,--,19.4,18.9,-0.8,4.4,10.4,--,-7.1,--,--,--,--
6254,--,M10,7,--,16,54.5,-,4,2,15,--,23,0.61,1.08,16.2,--,14.17,14.42,1,6.2,5.5,1.6,2.4,7.26,0.86,-7.3,0.71,G1,--,71
6266,--,M62,4,--,16,58.1,-,30,3,353,--,7,1.97,2.0,8.8,--,16.16,16.96,--,11.7,11.4,-1.7,1.5,7.77,1.01,-9.5,0.52,G2,--,-75
6273,--,M19,8,--,16,59.5,-,26,11,357,--,9,1.53,1.57,9.3,--,14.98,15.78,--,7.1,7.0,-0.4,1.2,7.9,0.96,-7.9,0.58,F3,--,102
6284,--,--,9,:,17,1.5,-,24,41,358,--,10,1.38,1.31,5.7,--,16.37,17.17,--,16.3,16.0,-0.5,2.8,10.17,0.97,-7.3,0.62,G2,--,22
6287,--,--,7,--,17,2.1,-,22,38,0,--,11,1.26,2.38,5.8,--,16.39,17.19,--,17.0,16.7,0.0,3.3,10.8,1.2,-6.6,0.88,G5,:,--
