265.7+04.1 |   97.  82..1559|  122.   82..2582
268.4+02.4 |  116.  82..1559|  107.   82..2582
269.7-03.6 |   59.  82..1559|   70.   82..2582
270.1+24.8 |                |<   3.   89..1570
272.1+12.3 |  198.  82..1559|  235.   75..9002
273.2-03.7 |<   5.  82..1559|
274.6+02.1 |   18.  82..1559|   24.   79..1507
274.6+03.5 |   20.  82..1559|
275.0-04.1 |   29.  82..1559|   71.   82..2582
275.2-02.9 |<   1.  82..1559|   20.   79..1507
275.3-04.7 |   12.  82..1559|   16.   75..9002
275.8-02.9 |   19.  82..1559|   24.   79..1507
277.1-03.8 |   75.  82..1559|   86.   82..2582
278.1-05.9 |  265.  82..1559|  252.   82..2582
278.6-06.7 |   30.  82..1559|   40.   82..2582
278.8+04.9 |   12.  82..1559|   30.   82..2582
279.6-03.1 |   67.  82..1559|   90.   82..2582
281.0-05.6 |  236.  82..1559|  261.   75..9002
283.3+03.9 |   10.  82..1559|<  10.   75..9002
283.8+02.2 |   62.  82..1559|   60.   82..2582
285.4-05.3 |  121.  82..1559|   92.   82..2582
285.6-02.7 |  187.  82..1559|  170.   79..1507
285.7-14.9 |   74.  82..1559|   67.   82..2582
286.0-06.5 |   21.  82..1559|   41.   82..2582
286.3-04.8 |   83.  82..1559|   80.   82..2582
288.4-02.4 |<   5.  82..1559|   24.   79..1507
288.8-05.2 |   95.  82..1559|   57.   82..2582
289.8+07.7 |   16.  82..1559|   12.   75..9002
290.5+07.9 |   53.  82..1559|   55.   75..9002
291.6-04.8 |  175.  82..1559|  195.   82..2582
292.4+04.1 |   11.  82..1559|   26.   75..9002
292.6+01.2 |   62.  82..1559|   67.   82..2582
292.8+01.1 |   43.  82..1559|   41.   75..9002
294.1+43.6 |  206.  82..1559|  207.   75..9002
294.6+04.7 |  765.  82..1559|  859.   82..2582
294.9-04.3 |   37.  82..1559|   34.   82..2582
296.3-03.0 |   62.  82..1559|   76.   82..2582
296.4-06.9 |   31.  82..1559|<  12.   79..1507
296.6-20.0 |   29.  82..1559|   35.   75..9002
298.1-00.7 | 2341.  82..1559| 2301.   82..2582
298.3-04.8 |   23.  82..1559|   26.   75..9002
300.7-02.0 |   49.  82..1559|  125.   79..1507
304.5-04.8 |  152.  82..1559|  170.   82..2582
305.1+01.4 |  140.  82..2501|   25.   82..2501
306.4-00.6 |   28.  82..1559|   60.   79..1507
307.2-03.4 |  459.  82..1559|  413.   82..2582
307.2-09.0 |   19.  82..1559|   30.   75..9002
307.5-04.9 |  102.  82..1559|  106.   79..1507
308.6-12.2 |   10.  82..1559|   14.   79..1507
309.0-04.2 |   11.  82..1559|   18.   82..2582
309.1-04.3 |  366.  82..1559|  480.   82..2582
310.7-02.9 |    5.  82..1559|   18.   79..1507
311.4+02.8 |   39.  82..1559|   33.   75..9002
312.3+10.5 |   79.  82..1559|   95.   82..2582
312.6-01.8 |   36.  82..1559|   65.   79..1507
315.0-00.3 |   56.  82..1559|   73.   75..9002
315.1-13.0 |  296.  82..1559|  325.   82..2582
315.4+09.4 |<  10.  82..1559|<  15.   79..1507
316.1+08.4 |   43.  82..1559|   33.   75..9002
317.1-05.7 |   62.  82..1559|   94.   82..2582
