034.5-06.7 |362   |       | 16.91 |       |B| 88..1306                  |                            |                                                                  |PLX 4502;HD 180871;CSI -01 -19156
034.6+11.8 |296   |       | 13.10 |       |B| 88..1306                  |                            |Of/WR(H)      91.50001                                            |AG +6 2201;BD +06 3649;GCRV 10650;HD 166802;PLX 4174;EM* CDS 964
035.1-00.7 |      |       | 16.96 | 15.16 |B| 91..1502                  |                            |                                                                  |
035.9-01.1 |339   |  14.97| 14.59 | 13.75 | | 79.14506                  |                            |B             79.14506                                            |
036.0+17.6 |269   |  13.50| 14.62 | 14.75 |A| 66..9017,SK 85            |                            |O7 fk         76.25010|O(H)?       91.50001                       |CSI +10 -17512;UBV 15230
036.1-57.1 |441   |  11.81| 13.10 | 13.50 |A| 72.30001,91..1502         |                            |Hg O(H)       91.50001                                            |USNO 271;GCRV 14134;WD 2201 -21. 1;PLX 5437;CSI -21 -22270
037.5-05.1 |361   |       |       |       | |                           |                            |WC early      91.50001                                            |V605 Aql;NOVA AQL 1919;C* 2719;AN 7.1920
037.7-34.5 |419   |       | 12.66 | 12.78 |B| 88..1306,91..1502         |                            |O(H)          91.50001                                            |BD -11 5511;GCRV 13233;HD 200516;TD1 27614
037.8-06.3 |366   |       | 11.1  |       |P| 67.30013                  |                            |WN?           81.27751                                            |GCRV 11824;HD 182083;BD +01 3979;SON 9934;NSV 11959
037.9-03.4 |352   |       | 19.7  |       | | 82.30001                  |                            |                                                                  |
038.1-25.4 |410   |       | 19.1  |       |P| 67.30013                  |                            |                                                                  |
038.2+12.0 |305   |       | 12.3  | 12.5  |C| 81..1008,91..1502         |                            |WR/Of         77...110                                            |
038.4-03.3 |      |       | 15.55 | 14.72 |B| 91..1502                  |                            |                                                                  |
039.5-02.7 |353   |       | 18.3  | 17.3  |C| 91..1502                  |                            |                                                                  |
040.3-00.4 |345   |       | 20.9  |       |P| 67.30013                  |                            |                                                                  |
041.8-02.9 |363   |       | 17.10 | 16.78 |B| 88..1306,89..2255         |                            |                                                                  |
042.0+05.4 |      |       |       | 16.2  |D| 91..1502                  |                            |                                                                  |
042.5-14.5 |      |       | 17.70 | 17.90 |A| KJL 88                    |                            |                                                                  |
042.9-06.9 |375   |       | 16.3  |       |D| 91..1502                  |                            |                                                                  |LF 1 +05 175;BD +05 4196
043.1+03.8 |336   |       | 15.30 | 14.89 |B| 91..1502                  |                            |                                                                  |
043.1+37.7 |216   |       | 12.44 | 12.66 |B| SK 85   ,91..1502         |                            |O6            78..1007|O(H)        91.50001                       |AG +23 1564;BD +24 3048A;GCRV 9624;HD 151121;IDS 16403+23.59A;PLX 3808
043.3+02.2 |      |       | 19.5  | 18.5  |C| 90..1004                  |                            |                                                                  |
043.3+11.6 |311   |       | 15.60 | 15.50 |B| 81..1008,91..1502         |                            |                                                                  |
043.5-13.4 |390   |       | 19.3  |       |P| 67.30013                  |                            |                                                                  |
044.1+05.8 |      |       | 17.2  | 16.5  |C| 91..1502                  |                            |                                                                  |
044.3-05.6 |      |       | 17.2  | 17.3  |C| 91..1502                  |                            |                                                                  |
045.4-02.7 |367   |       | 15.51 | 14.60 |B| SK 89 ,91..1502           |                            |                                                                  |
045.6+24.3 |255   |       |       | 16.4  | | 85..9051                  |                            |IUE obsns     82.29501                                            |
045.7-04.5 |373   |       | 14.47 | 14.37 |A| 91..1502                  |                            |O9            76.25010|O(H)        91.50001                       |PLX 4568;CSI +09 -19291;HD 183932
046.4-04.1 |372   |       |       | 15.2  |B| 78...302                  |                            |WN?           81.27751                                            |HD 183889;CSI +09 -19289;EM* CDS 1073
046.8+03.8 |      |       | 17.98 | 17.78 |A| 90..1004                  |                            |                                                                  |
047.0+42.4 |209   |  14.10| 15.34 | 15.69 |A| 66..9017,72.30001,80.30014|                            |sd O          64...352|Hg O(H)     91.50001                       |CSI +28 -16255;UBV 13929
047.1+04.1 |      |       | 18.6  | 16.9  |C| 91..1502                  |                            |                                                                  |
047.1-04.2 |374   |       | 18.8  |       |P| 67.30013                  |                            |                                                                  |
048.7+01.9 |      |       |       |       | |                           |                            |WC            91.30002                                            |
048.7-01.5 |368   |       |       |       | |                           |                            |                                                                  |
049.3+88.1 |      |       |       | 19.5  |D| 81..1008                  |                            |                                                                  |
050.1+03.3 |350   |  12.16| 12.20 | 11.16 |A| 64...125,72.30001         |                            |WN 8          75.12001                                            |WR 124;CSI +16 -19093;NSV 11797;LS II +164
050.4+05.2 |342   |       | 18.4  |       |P| 67.30013                  |                            |                                                                  |
051.0+02.8 |      |       | 14.56 | 13.42 |A| 86..2788                  |  B9-type star              |? + B9V       86..2788                                            |
051.0-04.5 |      |       | 18.8  | 18.1  |C| 91..1502                  |                            |                                                                  |
051.3+01.8 |      |       | 16.7  | 15.1  |C| 90..2003                  |                            |                                                                  |
051.4+09.6 |330   |       | 13.32 | 13.31 |B| 81..1008,SK 85   ,91..1502|                            |WN b?         81.27751                                            |
051.5+06.1 |341   |       | 19.2  |       |P| 67.30013                  |                            |                                                                  |
