Sa 3-22        |*305+ 3 1 | 13 14.5 -58 52 |305.92 +03.88 | Emission-line star or symbiotic star (b)
Sa 3-119       |*  3- 3 1 | 18 06.5 -27 44 |003.34 -03.37 | Me in the foreground ? (a)
Sa 3-149       |* 28- 2 1 | 18 50.1 -05 15 |028.11 -02.10 | H alpha emission star (a)
Sh 2-266       | 195- 0 1 | 06 18.9 +15 17 |195.66 -00.08 | HII region (a)
ShWi 2-3       |*358- 3 6 | 18 03.3 -29 51 |001.16 -03.78 | M star (b)
SS 129         |          | 18 07.1 -29 36 |001.77 -04.39 | Me star (b)
Ste 2-4        |*356- 3 4 | 17 49.8 -33 32 |356.52 -03.14 | No emission-line object detected (b)
Ste 2          |*309+ 6 1 | 13 38.9 -56 07 |309.56 +06.14 | Star (a)
Ste 3          |*310+ 2 1 | 13 53.4 -58 58 |310.86 +02.95 | Star (a)
StWr 4-9       |*317+19 1 | 14 03.3 -41 23 |317.14 +19.49 | Galaxy (a)
Th 1-I         |  28- 4 2 | 18 58.9 -05 22 |028.99 -04.09 | No emission-line object detected (a)
Th 2-B         | 307- 1 1 | 13 28.6 -63 50 |307.02 -01.25 | No emission-line object detected (a)
Th 3-5         | 355+ 3 1 | 17 19.1 -30 54 |355.21 +03.75 | No emission-line object detected (a)
Th 3-7         | 356+ 4 3 | 17 21.0 -29 23 |356.70 +04.27 | Symbiotic or Me star (a)
Th 3-8         | 354+ 2 1 | 17 22.6 -32 14 |354.54 +02.37 | No emission-line object detected (a)
Th 3-9         | 355+ 2 1 | 17 24.0 -31 02 |355.70 +02.80 | Symbiotic star or emission-line object detected (a)
Th 3-17        | 357+ 3 3 | 17 27.5 -29 03 |357.78 +03.27 | Symbiotic star (a)
Th 3-18        | 358+ 3 5 | 17 28.4 -28 39 |358.23 +03.33 | Symbiotic star (a)
Th 3-20        | 357+ 2 3 | 17 29.1 -29 43 |357.41 +02.62 | Symbiotic star (a)
Th 3-21        | 356+ 1 1 | 17 30.0 -30 39 |356.74 +01.95 | No emission-line object detected (a)
Th 3-28        | 359+ 3 1 | 17 31.0 -26 59 |359.92 +03.78 | WR star (b)
Th 3-29        | 358+ 2 3 | 17 32.5 -29 05 |358.34 +02.35 | Symbiotic star (a)
Th 3-30        | 359+ 2 1 | 17 33.7 -28 07 |359.30 +02.65 | Symbiotic star (a)
Th 3-31        | 358+ 1 2 | 17 34.3 -29 29 |358.22 +01.81 | Symbiotic star ? (a)
Th 3-36        | 359+ 1 2 | 17 39.3 -28 47 |359.41 +01.25 | M star (a)
Th 4-8         |   7+ 2 1 | 17 52.7 -21 15 |007.42 +02.58 | No emission-line object detected (b)
V-V 1-5        | 196- 1 1 | 06 15.8 +14 16 |196.21 -01.21 | HII region (a)
V-V 1-7        | 235+ 1 1 | 07 41.2 -19 00 |235.44 +01.89 | Reflection nebula ? (a)
