PK,f_PK,Name,RAh,RAm,DE-,DEd,DEm,List,Disc,Note,ImFile,Page
056+14.1,M,K 2-6,18,39.1,+,26,52,--,M S4 (Kohoutek 1963),--,--,--
056+04.1,*,K 3-32,19,17.5,+,22,29,--,Kohoutek 1964,*,--,--
056+02.1,--,K 3-35,19,25.6,+,21,24,--,Kohoutek 1964,--,--,--
056-00.1,--,K 3-42,19,37.4,+,20,12,--,Kohoutek 1964,--,--,--
056-06.1,--,K 3-51,20,0.3,+,17,28,--,Kohoutek 1964,--,--,--
057+02.1,M,K 4-29,19,28.5,+,22,58,--,M S4 (Kohoutek 1964),--,--,--
057+01.1,*,K 4-30,19,31.0,+,22,52,--,Kohoutek 1964,--,--,--
057-01.1,--,He 2-447,19,43.2,+,21,13,--,Henize 1964,--,--,--
057-02.1,M,K 4-35,19,46.7,+,20,0,--,M S4 (Kohoutek 1964),--,--,--
057-03.1,M,K 4-38,19,49.1,+,19,50,--,M S4 (Kohoutek 1964),--,--,--
057-08.1,--,NGC 6879,20,8.2,+,16,46,--,Pickering 1883,--,--,--
058+12.1,*,K 4-9,18,51.7,+,28,28,--,Kohoutek 1964,*,--,--
058+09.1,--,Si 1-2,19,4.1,+,27,8,S6,Strigl 1996,--,bb036-040,5
058+06.1,--,A 57,19,15.0,+,25,32,--,Abell 1955,--,--,--
058+01.1,--,K 3-40,19,34.2,+,23,33,--,Kohoutek 1964,--,--,--
058-05.1,--,WeSb 5,19,59.5,+,19,46,S2,"Weinberger, Sabbadin 1981",--,bb036-040,5
058-10.1,--,IC 4997,20,17.9,+,16,34,--,Fleming 1896,*,--,--
059+04.1,--,K 3-34,19,22.0,+,25,13,--,Kohoutek 1964,--,--,--
059+02.1,--,K 3-37,19,31.7,+,24,26,--,Kohoutek 1964,--,--,--
059+02.2,--,K 3-39,19,33.8,+,24,48,--,Kohoutek 1964,--,--,--
059-00.1,M,He 2-446,19,42.0,+,23,20,--,M S4 (Henize 1964),--,--,--
059-00.2,--,PN 1943+2251,19,43.4,+,22,51,S6,Van de Steene etal. 1996a,*,bb036-040,5
059-01.1,--,He 1-3,19,46.3,+,22,1,--,Henize 1961,*,bb036-040,5
059-01.2,--,We 1-8,19,46.7,+,22,18,S1,Weinberger 1977,--,bb036-040,5
059-18.1,--,A 72,20,47.7,+,13,22,--,Abell 1955,--,--,--
060+01.1,--,He 2-440,19,36.1,+,25,9,--,Henize 1964,--,--,--
060+01.2,--,IRAS19367+2458,19,36.8,+,24,59,S5,"Hu, Dong 1992",*,bb041-045,1
060+00.1,M,K 4-32,19,40.0,+,24,23,--,M S4 (Kohoutek 1964),--,--,--
060-00.1,--,K 3-45,19,44.1,+,24,4,--,Kohoutek 1964,--,--,--
060-02.1,M,K 4-39,19,51.0,+,23,6,--,M S4 (Kohoutek 1964),--,--,--
060-03.1,--,NGC 6853,19,57.4,+,22,35,--,Huggins 1864,*,--,--
060-04.1,--,A 68,19,58.0,+,21,35,--,Abell 1955,--,--,--
060-07.1,--,He 1-5,20,9.7,+,20,11,--,Henize 1961,*,--,--
060-07.2,--,NGC 6886,20,10.5,+,19,50,--,Copeland 1884,--,--,--
061+41.1,--,DDDM 1,16,38.6,+,38,48,S1,"Dolidze, Dzhimshelejshvili '66",--,bb041-045,1
061+08.1,--,K 3-27,19,12.5,+,28,35,--,Kohoutek 1964,*,--,--
061+03.1,--,He 2-437,19,30.9,+,26,46,--,Henize 1964,*,--,--
061+02.1,*,He 2-442,19,37.7,+,26,23,--,Henize 1964,*,--,--
061-09.1,--,NGC 6905,20,20.2,+,19,57,--,J. Herschel 1831,*,--,--
062+09.1,--,NGC 6765,19,9.2,+,30,28,--,Minkowski 1946,*,--,--
062-00.1,--,M 2-48,19,48.4,+,25,47,--,Minkowski 1947,--,--,--
062-01.1,M,K 4-40,19,52.1,+,24,50,--,M S1 (Kohoutek 1964),--,--,--
063+13.1,--,NGC 6720,18,51.7,+,32,58,--,"Messier, Darquier 1779",*,--,--
063+00.1,*,K 3-48,19,50.1,+,27,11,--,Kohoutek 1964,*,--,--
063-03.1,*,K 3-54,20,2.9,+,25,18,--,Kohoutek 1964,--,--,--
063-03.2,M,K 4-42,20,4.6,+,24,52,--,M S4 (Kohoutek 1964),--,--,--
063-12.1,*,He 2-467,20,33.7,+,20,1,--,Henize 1964,*,--,--
064+48.1,--,NGC 6058,16,2.7,+,40,49,--,Curtis 1918,--,--,--
064+15.1,--,M 1-64,18,48.2,+,35,11,--,Minkowski 1946,--,--,--
064+05.1,--,BD+30 3639,19,32.8,+,30,24,--,Campbell 1893,*,--,--
064+02.1,M,K 4-33,19,43.7,+,28,31,--,M S4 (Kohoutek 1964),--,--,--
064+00.1,M,K 3-47,19,48.4,+,28,4,--,M S1 (Kohoutek 1964),*,--,--
064-02.1,--,K 3-53,20,1.3,+,26,52,--,Kohoutek 1964,--,--,--
064-09.1,*,K 4-43,20,26.0,+,22,41,--,Kohoutek 1964,*,--,--
065+03.1,--,TuWe 1,19,41.8,+,30,7,S5,"Tamura, Weinberger 1993",--,bb041-045,1
065+00.1,--,NGC 6842,19,53.0,+,29,9,--,Curtis 1919,--,--,--
065-03.1,--,We 1-9,20,7.0,+,26,18,S1,Weinberger 1977,--,bb041-045,1
065-05.1,--,He 1-6,20,15.2,+,25,12,--,Henize 1961,--,--,--
065-27.1,--,Ps 1,21,27.6,+,11,57,--,Pease 1928,*,--,--
065-27.2,M,CIPG 1,21,27.6,+,11,57,S1,"M S2 (Caloi, Panagia 1974)",--,--,--
066+02.1,*,K 4-37,19,49.0,+,30,55,--,Kohoutek 1964,--,--,--
066+02.2,--,KLW 4,19,48.0,+,30,7,S6,Kerber etal. 1996,--,bb041-045,1
066-05.1,--,PC 24,20,17.5,+,26,51,--,"Peimbert, Costero 1961",--,--,--
066-28.1,--,NGC 7094,21,34.5,+,12,34,--,Kohoutek 1963,*,--,--
067-00.1,--,K 3-52,20,1.2,+,30,24,--,Kohoutek 1964,--,--,--
068+14.1,*,SP 4-1,18,58.7,+,38,17,S3,Stephenson 1985,--,bb041-045,1
068+03.1,--,PC 23,19,50.0,+,32,52,--,"Peimbert, Costero 1961",--,--,--
068+01.1,--,K 4-41,19,54.6,+,32,14,--,Kohoutek 1964,--,--,--
068+01.2,--,He 1-4,19,57.3,+,31,46,--,Henize 1961,--,--,--
068-00.1,--,M 1-75,20,2.8,+,31,19,--,Minkowski 1946,--,--,--
068-02.1,--,He 2-459,20,11.9,+,29,25,--,Henize 1964,--,--,--
069+03.1,--,K 3-46,19,48.1,+,33,38,--,Kohoutek 1964,--,--,--
069+02.1,--,K 3-49,19,52.1,+,33,14,--,Kohoutek 1964,--,--,--
069+01.1,M,KJ 1-2,19,59.0,+,33,21,S1,M S6 (Kazaryan 1966),--,--,--
069+01.2,--,KLW 5,19,58.8,+,32,19,S6,Kerber etal. 1996,--,bb041-045,2
069+00.1,--,K 3-55,20,5.0,+,32,8,--,Kohoutek 1964,--,--,--
069-02.1,--,NGC 6894,20,14.4,+,30,25,--,J. Herschel 1823,--,--,--
069-03.1,--,K 3-58,20,19.9,+,29,50,--,Kohoutek 1964,--,--,--
070+03.1,*,TuWe 2-4,19,52.4,+,34,59,S6,"Tamura, Weinberger 1995",*,bb041-045,2
070+02.1,--,KLW 6,19,58.0,+,34,21,S6,Kerber etal. 1996,--,bb041-045,2
070+01.1,M,K 3-50,19,59.8,+,33,24,--,M S1 (Kohoutek 1964),--,--,--
070+01.2,M,NGC 6857,19,59.9,+,33,23,--,M S1 (Seyfert 1947),--,--,--
071+04.1,*,TuWe 2-3,19,49.0,+,36,12,S6,"Tamura, Weinberger 1995",*,bb041-045,2
071-02.1,--,M 3-35,20,19.1,+,32,20,--,Minkowski 1948,--,--,--
072+00.1,--,K 3-57,20,10.9,+,34,11,--,Kohoutek 1964,--,--,--
072-07.1,*,IRAS20406+2953,20,40.7,+,29,53,S6,Garcia-Lario etal. 1996,--,bb041-045,2
072-17.1,--,A 74,21,14.6,+,23,56,--,Abell 1955,*,bb041-045,2
073-02.1,--,K 3-76,20,23.1,+,33,25,S1,Kohoutek 1972,--,bb041-045,3
073-02.2,*,GM 1-11,20,22.5,+,33,52,S4,"Gasparyan, Parsamyan 1988",*,bb041-045,3
074+02.1,--,NGC 6881,20,9.0,+,37,16,--,Pickering 1881,--,--,--
074+01.1,M,M 1-76,20,14.6,+,36,57,--,M S2 (Minkowski 1946),--,--,--
075+35.1,--,Sa 4-1,17,12.5,+,49,20,S3,Sanduleak 1983,--,bb041-045,3
075+05.1,*,V 1016 Cyg,19,55.3,+,39,42,S3,prob. Crampton etal. 1970,*,bb041-045,3
075+04.1,--,Anon.,20,2.5,+,39,27,--,--,--,--,--
075-04.1,M,He 2-468,20,39.3,+,34,34,--,M S6 (Henize 1964),*,--,--
076+01.1,--,A 69,20,18.1,+,38,15,--,Abell 1955,--,--,--
076+01.2,*,KJPN 3,20,15.4,+,38,41,S1,"Kazaryan, Parsamyan 1971",*,bb041-045,3
076-05.1,*,LSII+34 26,20,46.3,+,34,16,S6,Parthasarathy 1993,*,bb041-045,3
077+14.1,--,A 61,19,17.7,+,46,9,--,Abell 1955,*,--,--
077+03.1,--,KJPN 1,20,10.7,+,40,36,S1,"Kazaryan, Parsamyan 1971",*,bb041-045,4
077+03.2,--,KJPN 2,20,13.6,+,40,25,S1,"Kazaryan, Parsamyan 1971",*,bb041-045,4
077+02.1,*,KJ 2-1,20,15.4,+,39,36,S1,Kazaryan 1976,*,bb041-045,4
078+18.1,--,A 50,18,58.0,+,48,24,--,Abell 1955,--,--,--
078+05.1,--,DD 1,20,7.0,+,42,21,S1,Dolidze 1971,*,bb041-045,4
078+00.1,--,SD 1,20,27.5,+,40,5,S1,Sherwood 1969,*,bb041-045,4
078-02.1,--,K 4-53,20,40.4,+,37,30,S1,Kohoutek 1972,--,bb041-045,4
079+06.1,--,K 3-56,20,5.3,+,44,6,--,Kohoutek 1964,--,--,--
