Group,Name,HubCode,HubBar,MB,MWay,V0
11 -0+10,N 4818,2,X,-20.66,--,1012.0
11 -0+10,N 4984,1,X,-20.04,--,1101.0
11 -0+10,N 5088,5,A,-19.74,--,1324.0
11-18+18,N 5170,3,A,-21.0,--,1347.0
11-18,N 5247,5,A,-20.95,--,1216.0
11-19+19,1312-22,10,--,--,--,1330.0
11-19,N 5042,5,X,--,--,1210.0
11-20+20,N 5037,1,A,-20.21,--,1730.0
11-20,N 5054,3,A,-21.18,--,1587.0
11-21+21,1322-19,6,X,--,--,1815.0
11-21,1323-21,10,--,--,--,1273.0
11-21,N 5084,-2,--,-20.41,--,1558.0
11-21,N 5087,-2,A,-20.51,--,1666.0
11-21,N 5134,1,A,-20.09,--,1532.0
11-22+22,1321-24,10,--,--,--,1880.0
11-22,1325-27,10,--,--,--,1656.0
11-22,N 5061,-5,--,-21.19,--,1775.0
11-22,N 5085,5,A,-20.71,--,1780.0
11-22,N 5101,0,B,-20.95,--,1679.0
11-23+22,1304-28,7,B,--,--,2019.0
11-23+22,N 4965,9,A,--,--,2068.0
11  0+22,1324-29,10,P,--,--,1705.0
11-24+24,1212+06,-5,P,-17.73,--,1844.0
11-24,N 4215,-2,A,-19.63,--,1980.0
11-24,N 4224,1,A,-20.08,--,2543.0
11-24,N 4233,-2,--,-19.65,--,2117.0
11-24,N 4235,1,A,-20.75,--,2487.0
11-24,N 4260,1,B,-20.29,--,1734.0
11-24,N 4261,-5,--,-21.41,--,2089.0
11-24,N 4270,-2,--,-19.63,--,2233.0
11-24,N 4273,5,B,-20.58,--,2234.0
11-24,N 4281,-2,--,-20.52,--,2488.0
11-24,N 4324,-2,A,-20.13,--,1582.0
11-24,N 4378,1,A,-20.53,--,2447.0
11+24,N 3976,5,X,-20.98,--,2381.0
11+24,N 4234,10,--,-19.12,--,1952.0
11+24,N 4412,4,BP,-19.75,--,2185.0
11-25+24,1221+00,10,--,--,--,1928.0
11-25+24,N 4385,1,B,-19.78,--,2011.0
11+26+24,1229-02,13,P,--,--,2100.0
11+26+24,N 4348,3,--,-20.74,--,2055.0
11+26+24,N 4454,1,B,-19.87,--,2220.0
11-27+27,1247-10,8,--,--,--,2251.0
11-27,1249-09,6,--,--,--,2108.0
11-27,N 4658,5,B,-20.86,--,2250.0
11-28+28,1334-11,7,X,--,--,2349.0
11-28,N 5254,5,A,--,--,2194.0
11-29+29,N 4593,3,B,-21.58,--,2560.0
11-29,N 4602,4,X,-21.39,--,2417.0
11-30+30,N 4891,3,P,--,--,2389.0
11-30,N 4899,5,X,-20.82,--,2497.0
11-30,N 4902,3,B,-21.14,--,2563.0
11-31+31,1310-15,8,A,--,--,2348.0
11-31,N 5017,-5,--,-19.83,--,2384.0
11-31,N 5044,-5,--,-21.01,--,2548.0
11-31,N 5049,-2,--,-19.49,--,2588.0
11-32+32,N 5161,6,X,-21.12,--,2196.0
11-32,N 5188,1,BP,-20.49,--,2169.0
11+32,1310-32,8,B,--,--,2178.0
11-33+33,1305-22,9,--,--,--,2434.0
11-33,1306-24,10,--,--,--,2687.0
11-33,1307-23,10,P,--,--,2783.0
11-33,1308-23,5,B,--,--,2672.0
11-34+34,N 4428,5,X,-20.78,--,2874.0
11-34,N 4433,4,X,-20.81,--,2755.0
11-35+35,1355-29,3,A,-21.46,--,2496.0
11-35,1358-30,7,X,--,--,2428.0
11-35,N 5464,10,B,-20.07,--,2528.0
11+36+36,U 8084,8,B,-18.7,--,2670.0
11+36,U 8153,6,--,-19.23,--,2779.0
11+36,U 8263,5,B,-18.94,--,2949.0
11 -0,1258-04,10,--,--,--,2855.0
11 -0,1309-11,6,B,--,--,1963.0
11 -0,1402-24,6,B,--,--,2191.0
11 -0,1427-34,7,B,-20.15,--,2858.0
11 -0,N 4653,6,X,-20.19,--,2506.0
11 -0,N 4939,4,A,-22.43,--,2973.0
11 -0,N 4947,3,B,-20.71,--,2194.0
11 -0,N 5018,-5,--,-21.46,--,2729.0
11 -0,N 5077,-5,--,-20.52,--,2682.0
11 -0,N 5147,8,B,-19.45,--,1020.0
12 -1 +1,1135+48,9,BP,-17.15,--,744.0
12 -1,1156+46,10,--,--,--,1210.0
12 -1,N 3718,1,BP,-20.19,--,1068.0
12 -1,N 3726,5,X,-20.35,--,914.0
12 -1,N 3729,1,BP,-19.25,--,1117.0
