11 -1 +1    1216+14    13 P             -314.   
11 -0       N 5018     -5     -21.46    2729.
11 -0       N 5077     -5     -20.52    2682.
11 -0       N 5147      8B    -19.45    1020.
12 -1 +1    1135+48     9BP   -17.15     744.
12 -1       1156+46    10               1210.
12 -1       N 3718      1BP   -20.19    1068.
12 -1       N 3726      5X    -20.35     914.
12 -1       N 3729      1BP   -19.25    1117.
12 -1       N 3769      3B    -19.95     773.
12 -1       N 3782      6XP   -18.25     793.
12 -1       N 3870     -2                822.
12 -1       N 3877      5A    -20.25     954.
12 -1       N 3893      5X    -20.27    1043.
12 -1       N 3913      7A    -18.45    1053.
12 -1       N 3917      6A    -19.55    1056.
12 -1       N 3924      9     -16.55    1077.
12 -1       N 3928     13 P   -18.15    1057.
12 -1       N 3938      5A    -20.26     852.
12 -1       N 3949      4A    -19.92     868.
12 -1       N 3953      5B    -20.63    1139.
12 -1       N 3972      4A    -19.25     947.
12 -1       N 3982      4X    -19.45    1208.
12 -1       N 3990     -2     -17.75     820.
12 -1       N 3992      4B    -20.75    1142.
12 -1       N 4010      9     -19.15     968.
12 -1       N 4013      4     -19.55     883.
12 -1       N 4026     -2     -19.47     958.
12 -1       N 4051      4X    -20.25     763.
12 -1       N 4085      5X    -18.84     794.
12 -1       N 4088      5XP   -20.47     844.
12 -1       N 4100      5A    -20.15    1153.
12 -1       N 4102      3X    -19.02     953.
12 -1       N 4111     -2A    -19.65     842.
12 -1       N 4138     -2A    -18.85    1091.
12 -1       N 4142      6B    -18.23    1257.
12 -1       N 4143     -2X    -19.05     831.
12 -1       N 4157      3X    -20.15     854.
12 -1       N 4183      6A    -18.85     987.
12 -1       N 4217      3     -19.85    1098.
12 -1       N 4218     -2     -18.82    1462.
12 -1       N 4220     -2A    -18.95    1052.
12 -1       N 4346     -2B    -18.95     922.
12 -1       N 4389      6BP   -18.75     786.
12 -1       U 6399      9     -17.75     873.
12 -1       U 6446      7A    -18.45     725.
12 -1       U 6628      9A    -18.25     901.
12 -1       U 6667      5     -17.75    1051.
12 -1       U 6713      9     -17.05     966.
12 -1       U 6816     10B    -17.03     998.
12 -1       U 6818     13 P   -17.25     857.
12 -1       U 6840      9B    -16.90    1102.
12 -1       U 6917      9B    -18.65     996.
12 -1       U 6923     10     -17.55    1172.
12 -1       U 6930      7X    -18.45     851.
12 -1       U 6956      9B               995.
12 -1       U 6962      6X    -18.39     827.
12 -1       U 6973      2 P   -18.62     756.
12 -1       U 6983      6B    -18.35    1166.
12 -1       U 7089      9     -18.05     826.
12 -1       U 7218     10 P   -16.75     882.
12 -2 +1    N 3631      5A    -20.69    1239.
12 -2 +1    N 3657      5XP   -19.55    1293.
12 -2 +1    U 6251      9X    -16.78    1006.
12 -3 +1    N 3733      5     -19.72    1278.
12 -3 +1    N 3756      5X    -19.96    1382.
12 -3 +1    N 3804      5A    -18.96    1479.
12 -3 +1    N 3850      5B    -18.19    1264.
12 -3 +1    N 3898      2A    -20.10    1272.
12 -3 +1    N 3998     -2A    -20.12    1238.
12 -3 +1    U 6616      7A    -18.37    1261.
12 -3 +1    U 6706      9 P   -18.71    1525.
12 -3 +1    U 6912     13 P   -17.73    1468.
12 -4 +1    U 6448     13 P   -17.30    1121.
12 -4 +1    U 6534      6     -19.41    1400.
12 -5 +1    N 3945     -2B    -20.30    1341.
12 -5 +1    N 4036     -2     -20.56    1510.
12 -5 +1    N 4041      4A    -20.08    1360.
12 -5 +1    U 6682      9               1439.
12 -5 +1    U 7009     10     -17.93    1250.
12 -5 +1    U 7056      6B    -18.33    1406.
12 +5 +1    N 4121     -5     -17.74    1600.
12 +5 +1    N 4125     -5     -21.35    1495.
12 +5 +1    U 7020     -2     -17.92    1586.
12 -6 +1    1204+40    10                914.
12 -6 +1    N 4145      7X    -20.21    1048.
12 -6 +1    N 4151      2X    -20.46    1022.
12 -6 +1    N 4156      3B    -17.02     759.
12 -6 +1    N 4369      1A    -19.87    1091.
12 -6 +1    U 7125      9     -18.71    1098.
12 -6 +1    U 7175      9     -17.50    1202.
12 -6 +1    U 7207     10               1077.
12 -6 +1    U 7257      9     -17.62     967.
12 +6 +1    N 3930      5X    -19.03     936.
12 +6 +1    N 3941     -2B    -19.98     940.
12 +6 +1    U 6955     10     -18.46     938.
12 -0 +1    1222+67    13 P   -15.65     926.
12 -0 +1    1244+48    12               1214.
12 -0 +1    N 3359      5B    -20.59    1131.
12 -0 +1    N 3556      6B    -20.77     785.
12 -0 +1    N 4800      3A    -18.72     831.
12 -0 +1    U 5846     10     -16.10    1122.
12 -0 +1    U 5979     10A    -17.17    1261.
12 -0 +1    U 6447     13 P   -17.77    1425.
12 -0 +1    U 7534     10B    -17.08     845.
12 -0 +1    U 8146      6     -17.56     805.
12 -7 +7    N 2985      2A    -20.65    1431.
12 -7       N 3027      7B    -19.30    1211.
12 -7       U 5455     10               1438.
12 -7       U 5612      8B    -18.93    1161.
12 -8 +7    N 3252      6B    -18.09    1299.
12 -8 +7    N 3403      4A    -19.37    1359.
12 -9 +9    N 3259      4X    -19.59    1867.
12 -9       U 5776     13 P   -17.37    1746.
12-10+10    N 2591      5     -19.70    1509.
12-10       N 2655      0X    -21.02    1624.
12-10       N 2715      5X    -20.08    1304.
12-10       N 2748      4A    -19.88    1562.
12+10       N 3057      8B    -18.71    1717.
12+10       U 4238      7B    -19.43    1714.
12+10       U 4841      7X    -18.60    1289.
12-11+11    0635+75    13 P              972.
12-11       N 2146      2BP   -20.24    1108.
12-11       U 3371     10               1003.
12+11       U 3137      3     -18.27    1193.
12-12+12    N 3610     -5     -20.73    1869.
12-12       N 3613     -5     -20.99    2154.
12-12       N 3619      0A    -19.63    1748.
12-12       N 3642      4A    -20.66    1729.
12-12       N 3669      9     -20.19    2041.
12-12       N 3683      5B    -19.87    1783.
12+12       1130+55    13 P             1815.
12-13+12    N 3445      9X    -19.79    2116.
12-13+12    N 3458     -2X    -19.15    1891.
12 -0+12    N 3471      1     -19.89    2188.
12 -0+12    U 6027     10               1824.
12-14+14    N 3065     -2A    -19.61    2117.
12-14       N 3066      4XP   -19.08    2204.
12+15+15    U 2953      2AP   -20.91    1092.
12+15       U 3203     12 P   -18.79     937.
12-16+16    N 3780      5A    -21.16    2491.
12-16       N 3888      4X    -20.17    2507.
12-17+17    N 2551      0A    -19.68    2375.
12-17       U 4390      7B    -18.52    2326.
12+17       N 2633      3B    -19.99    2302.
12-18+18    1124+54    13 P             2979.
12-18       N 3656     -5 P   -20.24    2910.
12+18       N 3549      5A    -21.27    2944.
12-19+19    U 2800     10               1385.
12-19       U 2813     10               1611.
12-19       U 2855      5X    -20.63    1410.
12-20+19    U 2729      0               2140.
12-20+19    U 2765      0               1881.
12+20+19    0335+66     0               1697.
12+20+19    U 3144     10B    -18.28    1830.
12 -0+19    U 3190      5A    -19.44    1766.
12 -0+19    U 3317     10               1424.
12 -0+19    U 3439      5     -19.37    1685.
12-21+21    0848+73    13 P             2556.
12-21       U 4576      3B    -19.65    2744.
12+21       N 2544     -2     -20.78    2949.
12 -0       0939+76    13 P   -17.99    2526.
12 -0       1243+71    13 P   -16.62    1228.
12 -0       N 2787     -2B    -18.93     759.
12 -0       U 3580      1A    -19.97    1356.
12 -0       U 3730     13 P   -18.98    2868.
12 -0       U 3975      8B    -19.05    2639.
12 -0       U 4173     10     -17.31    1054.
12 -0       U 4888      5A    -20.38    2417.
12 -0       U 5688      9B    -18.88    2063.
13 -1 +1    N 3073     -5 P   -18.03    1132.
13 -1       N 3079      9B    -21.01    1200.
13 -1       N 3206      6B    -19.31    1245.
13 -1       U 5459      5     -18.74    1184.
13 +1       1023+56    13 P              880.
13 +1       N 3264      9B    -18.16    1023.
13 +1       N 3310      4XP   -20.09    1064.
13 +1       U 5460      7B    -18.39    1151.
13 +1       U 5720     13 P   -18.48    1519.
13 -2 +2    N 3353     13 P   -17.93     949.
13 -2       U 5848      9     -16.86     914.
13 -3 +3    U 5998     13 P   -17.49    1320.
13 -3       U 6029     13 P   -18.03    1442.
13 -4 +4    N 2685     -2BP   -19.30     965.
13 -4       U 4683     10                999.
13 -5 +5    0917+64    13 P   -17.36    1582.
13 -5       N 2805      7X    -20.72    1851.
13 -5       N 2814     13     -18.02    1778.
13 -5       N 2820      5BP   -19.62    1691.
13 -5       N 2880     -2B    -19.60    1621.
13 -6 +5    N 2654      1     -19.89    1478.
13 -6 +5    N 2726      1     -19.50    1526.
13 -6 +5    N 2742      5A    -19.83    1393.
13 -6 +5    N 2768     -5     -21.13    1503.
13 -0 +5    0946+55    13 P   -16.69    1559.
13 -0 +5    N 2950     -2B    -20.02    1452.
13 -7 +7    1138+35    10 P   -17.75    1510.
13 -7       1143+35    13 P   -18.00    1346.
13 -7       N 3755      5XP   -19.40    1575.
13 -7       N 3813      5A    -19.99    1474.
13 +7       U 6531      8B    -17.88    1580.
13 -8 +8    1127+37    12 P   -18.07    2014.
13 -8       N 3652      5BP   -20.52    2100.
13 -8       N 3665     -2A    -20.86    2012.
13 -9 +9    N 3900     -2A    -20.20    1666.
13 -9       N 3912      1     -19.59    1724.
13-10+10    N 3694     13 P   -19.25    2250.
13-10       U 6491      8     -18.64    2523.
13-11+11    N 4158      0     -20.35    2480.
13-11       U 7170      5     -18.69    2382.
13+12+11    1209+16    13 P   -19.10    2400.
13+12+11    N 4152      5X    -20.35    2086.
13 -0       1008+58    13 P             2270.
13 -0       1013+45    13 P   -16.77    1668.
13 -0       1039+48    13 P   -17.30    1585.
13 -0       1046+52    13     -18.40    2410.
13 -0       1149+35    13 P             2168.
13 -0       N 2549     -2A    -19.46    1168.
13 -0       N 3225      5     -19.73    2227.
13 -0       N 3320      6     -20.38    2367.
13 -0       N 3448     13     -19.79    1468.
13 -0       N 3583      3B    -21.05    2188.
13 -0       N 3614      5X    -20.91    2381.
13 -0       N 3687      1X    -20.25    2373.
13 -0       N 3689      5X    -20.24    2698.
13 -0       N 3786      1XP   -20.40    2744.
13 -0       N 3788      2XP   -20.11    2322.
13 -0       N 4162      4A    -20.94    2454.
13 -0       N 4275     12     -19.42    2307.
13 -0       U 4121      9B    -17.11    1180.
13 -0       U 5518     10               2109.
13 -0       U 5953     13 P   -18.73    1804.
13 -0       U 6162      6     -19.30    2268.
13 -0       U 6637     13 P   -18.92    2937.
14 -1 +1    1242+28    12     -15.38     958.
14 -1       N 4062      5A    -18.27     764.
14 -1       N 4136      5X    -18.23     606.
14 -1       N 4150     -2A    -17.48     235.
14 -1       N 4173      7B    -17.53    1113.
14 -1       N 4203     -2X    -18.38    1094.
14 -1       N 4245      0B    -17.74     881.
14 -1       N 4251     -2B    -18.40     999.
14 -1       N 4274      2B    -19.22     914.
14 -1       N 4278     -5     -18.82     642.
14 -1       N 4283     -5     -17.02    1124.
14 -1       N 4308     -5     -15.83     602.
14 -1       N 4310     -2XP   -17.13     893.
14 -1       N 4314      1B    -18.65     878.
14 -1       N 4359      5B    -17.43    1256.
14 -1       N 4393      7X    -17.53     741.
14 -1       N 4414      5A    -19.12     723.
14 -1       N 4448      2B    -18.43     686.
14 -1       N 4494     -5     -19.23    1289.
14 -1       N 4525      5     -17.53    1134.
14 -1       N 4559      6X    -20.07     810.
14 -1       N 4562      6     -16.53    1377.
14 -1       N 4565      3A    -20.34    1213.
14 -1       U 7300     10               1202.
14 -1       U 7673     10                639.
14 +1       1244+26    -5 P   -15.14     870.
14 +1       N 4020      7     -16.73     742.
14 +1       N 4455      7     -16.45     611.
14 +1       U 6900     10     -14.26     541.
14 +1       U 7007      9                786.
14 -2 +1    N 4725      2XP   -20.65    1199.
14 -2 +1    N 4747      5BP   -17.80    1183.
14 +2 +1    N 4670      0BP   -17.24    1068.
14 +3 +3    N 4826      2A    -19.15     394.
14 +3       U 8024     10     -14.11     380.
14 -4 +4    N 3985      9B    -16.68     600.
14 -4       N 4096      5X    -19.39     644.
14 -4       N 4242      8X    -17.91     580.
14 -4       N 4248     13     -16.13     556.
14 -4       N 4258      4X    -20.59     521.
14 -4       N 4288      7B    -16.43     602.
14 -4       N 4460     -2B    -17.23     624.
14 -4       N 4485     10B    -17.66     724.
14 -4       N 4490      7BP   -19.55     629.
14 -4       N 4618      9B    -18.12     602.
14 -4       N 4625      9XP   -16.69     667.
14 -4       N 4707      9     -16.12     569.
14 -4       U 7267      9     -15.47     561.
14 -4       U 7271      7B    -15.47     599.
14 -4       U 7408     10A    -15.86     530.
14 -4       U 7608     10     -15.72     601.
14 -4       U 7639     10     -15.32     462.
14 -4       U 7690     10 P   -16.37     598.
14 -4       U 7699      5B    -16.76     539.
14 -4       U 7719      8     -15.25     728.
14 -4       U 7774      7     -15.57     574.
14 -4       U 7950     10     -14.76     612.
14 -5 +5    N 5023      5     -17.29     484.
14 -5       N 5055      4A    -20.14     575.
14 -5       N 5194      4AP   -20.75     573.
14 -5       N 5195     13 P   -19.32     658.
14 -5       N 5229      5B    -15.82     476.
14 -5       U 8313      5B    -15.83     699.
14 -5       U 8331     10A    -14.29     358.
14 -5       U 8683     10     -15.74     748.
14 -6 +6    N 4534      8     -17.75     830.
14 -6       N 4631      7B    -20.12     631.
14 -6       N 4656      9BP   -19.21     667.
14 -6       N 4687     13 P   -15.51     724.
14 -6       U 7916     10                640.
14 -7 +7    1223+48    13 P   -13.86     367.
14 -7       1236+33    10                329.
14 -7       N 4144      6X    -16.87     331.
14 -7       N 4163     10A    -13.62     188.
14 -7       N 4190     10     -14.04     255.
14 -7       N 4214     10X    -17.57     309.
14 -7       N 4244      6A    -17.60     276.
14 -7       N 4395      9A    -17.14     332.
14 -7       N 4449     10B    -17.66     262.
14 -7       N 4736      2A    -19.37     368.
14 -7       U 6817     10     -14.34     269.
14 -7       U 7559     10B    -13.15     252.
14 -7       U 7577     10     -14.63     254.
14 -7       U 7599      9     -13.01     312.
14 -7       U 7605     10     -13.03     329.
14 -7       U 7698     10     -14.85     343.
14 -7       U 7866     10     -15.08     396.
14 -7       U 7949     10                371.
14 -7       U 8188      9     -15.62     380.
14 -7       U 8215     10                314.
14 -7       U 8308     10                259.
14 -7       U 8320     10B    -15.45     291.
14 +8 +7    U 8651     10     -13.86     287.
14 +8 +7    U 8760     10     -13.87     273.
