notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
*,SDSS J11239+0055,11,23,58.9,--,0,55,43,O,--,2,--,--,--,0.102,S1,--,19.87,--,--,-19.1,--,--,2,11,21,24.9,--,1,12,12
*,1WGA J1123.9+4135,11,23,59.1,--,41,35,52,O,--,--,--,--,--,0.053,--,--,16.83,--,--,-20.7,--,1539,2204,11,21,15.7,--,41,52,21
*,RXS J11240+3110,11,24,0.6,--,31,10,0,--,--,--,--,--,--,0.109,S1,--,17.9,--,--,-21.2,--,--,113,11,21,20.3,--,31,26,29
--,IRAS 11215-2806,11,24,2.7,-,28,23,15,R,0.02,271,--,1678,--,0.014,S2,--,13.0,--,--,-21.6,514,--,513,11,21,34.7,-,28,6,46
*,SDSS J11240+0244,11,24,5.1,--,2,44,39,O,--,1,--,--,--,0.255,S1,--,19.35,--,--,-21.7,--,--,1,11,21,30.8,--,3,1,8
--,RXS J11241+0612,11,24,8.7,--,6,12,53,O,--,157,--,--,--,0.036,S1.8,--,16.2,--,--,-20.5,157,--,675,11,21,33.7,--,6,29,22
*,2QZ J112409-0217,11,24,9.9,-,2,17,20,O,--,--,--,--,--,0.461,S1,*,19.45,--,-0.67,-22.9,--,489,489,11,21,36.5,-,2,0,51
*,2QZ J112413-0056,11,24,13.0,-,0,56,17,O,--,--,--,--,--,0.104,S1,*,20.21,--,0.28,-18.8,--,487,487,11,21,39.4,-,0,39,48
*,SDSS J11242+0257,11,24,15.6,--,2,57,31,O,--,2,--,--,--,0.023,S1,--,17.92,--,--,-17.8,--,--,2,11,21,41.3,--,3,14,0
*,SBS 1121+606,11,24,17.9,--,60,20,26,O,--,--,--,--,--,0.2,--,--,18.2,--,--,-22.3,1283,--,1304,11,21,25.1,--,60,36,55
*,SDSS J11245+0259,11,24,30.0,--,2,59,3,O,--,2,--,--,--,0.034,S1,--,17.24,--,--,-19.3,--,--,2,11,21,55.7,--,3,15,32
*,2QZ J112436+0116,11,24,36.9,--,1,16,14,O,--,--,--,--,--,0.432,S1,*,20.55,--,-0.29,-21.6,--,489,489,11,22,2.9,--,1,32,43
*,2QZ J112437-0109,11,24,37.1,-,1,9,34,O,--,--,--,--,--,0.579,S1,*,19.87,--,0.07,-22.9,--,489,489,11,22,3.5,-,0,53,5
*,2QZ J112437+0057,11,24,37.7,--,0,57,48,O,--,--,--,--,--,0.396,S1,*,19.98,--,-0.85,-22.0,--,489,489,11,22,3.7,--,1,14,17
*,1WGA J1124.9+3846,11,24,56.0,--,38,46,33,O,--,--,--,--,--,0.446,--,R,19.1,--,--,-22.6,1320,--,1320,11,22,13.7,--,39,3,2
*,GSC 4926 01061,11,24,56.3,-,3,48,40,O,--,--,--,--,--,0.023,S2,--,15.04,--,--,-20.7,--,--,1254,11,22,23.2,-,3,32,11
*,SDSS J11249+0207,11,24,56.8,--,2,7,30,O,--,1,--,--,--,0.27,S1,--,20.24,--,--,-20.9,--,--,1,11,22,22.6,--,2,23,59
*,Q 1122+4753,11,25,1.4,--,47,37,30,--,--,--,--,--,--,0.108,--,R,19.17,--,--,-19.4,1795,--,1795,11,22,16.0,--,47,53,59
*,MCG-01.29.018,11,25,2.1,-,5,4,7,O,--,--,--,--,--,0.028,S2,--,14.53,--,--,-21.6,--,--,1254,11,22,29.2,-,4,47,37
*,SDSS J11250-0036,11,25,2.7,-,0,36,35,O,--,2,--,--,--,0.374,S1,--,21.18,--,--,-20.7,--,--,2,11,22,29.0,-,0,20,5
*,SDSS J11250+0058,11,25,5.0,--,0,58,26,O,--,2,--,--,--,0.03,S1,--,19.73,--,--,-16.6,--,--,2,11,22,31.0,--,1,14,56
*,SDSS J11251+0237,11,25,7.4,--,2,37,18,O,--,1,--,--,--,0.261,S1,--,20.25,--,--,-20.8,--,--,1,11,22,33.1,--,2,53,48
*,2QZ J112507+0158,11,25,7.6,--,1,58,5,O,--,--,--,--,--,0.385,S1,*,20.71,--,-0.36,-21.2,--,489,489,11,22,33.5,--,2,14,35
*,SDSS J11251+6758,11,25,11.2,--,67,58,0,O,--,2,--,--,--,0.117,S1,--,19.4,--,--,-19.9,--,--,2,11,22,11.2,--,68,14,29
*,SDSS J11252+0249,11,25,13.4,--,2,49,18,O,--,1,--,--,--,0.376,S1,--,19.22,--,--,-22.7,--,--,1,11,22,39.1,--,3,5,48
*,SDSS J11252-0106,11,25,16.1,-,1,6,17,O,--,2,--,--,--,0.105,S1,--,19.77,--,--,-19.3,--,--,2,11,22,42.5,-,0,49,47
*,SDSS J11252+0223,11,25,16.6,--,2,23,24,O,--,2,--,--,--,0.087,S1,--,18.08,--,--,-20.5,--,--,2,11,22,42.4,--,2,39,54
