RefCode,f_RefCode,Text
119,--,"Bailey J.,Pooley G. 1968,MNRAS 138,51."
119,=,1968MNRAS.138...51B
120,--,"Bajaja E.,Aguero E.,Paolantonio S. 1999,A&AS 136,179."
120,=,1999A&AS..136..179B
121,--,"Baker J.C.,Hunstead R.W.,Kapahi V.K.,Subramanya C.R. 1999,ApJS 122,29."
121,=,1999ApJS..122...29B
122,--,"Baldwin J.A. 1975,ApJ 201,26."
122,=,1975ApJ...201...26B
123,--,"Baldwin J.A.,Burbidge E.M.,Hazard C. et al. 1973,ApJ 185,739."
123,=,1973ApJ...185..739B
124,--,"Baldwin J.A.,Smith H.E.,Burbidge E.M. et al. 1976,ApJ 206,L83."
124,=,1976ApJ...206L..83B
125,--,"Baldwin J.A.,Burke W.L.,Gaskell C.M.,Wampler E.J. 1978,Nat 273,431."
125,=,1978Natur.273..431B
126,--,"Baldwin J.A.,Wampler E.J.,Burbidge E.M. 1981,ApJ 243,76."
126,=,1981ApJ...243...76B
127,--,"Baldwin J.A.,McMahon R.,Hazard C.,Wiliams R.E. 1988,ApJ 327,103."
127,=,1988ApJ...327..103B
128,--,"Baldwin J.A.,Wampler E.J.,Gaskell C.M. 1989,ApJ 338,630."
128,=,1989ApJ...338..630B
129,--,"Baldwin J.A.,Ferland G.J.,Korista K.T. et al. 1996,ApJ 461,664."
129,=,1996ApJ...461..664B
130,--,"Barbieri C. 1970,Mem. Soc. Astron. Ital. 41,271."
130,=,1970MmSAI..41..271B
131,--,"Barbieri C.,Benvenuti P. 1974,A&AS 13,269."
131,=,1974A&AS...13..269B
132,--,"Barbieri C.,Cristiani S. 1986,A&AS 63,1."
132,=,1986A&AS...63....1B
133,--,"Barbieri C.,Romano G. 1976,A&A 50,15."
133,=,1976A&A....50...15B
134,--,"Barbieri C.,Erculiani L.,Rosino L. 1968,Publ. Obs. Padova N143."
134,=,1968POPad.143....1B
135,--,"Barbieri C.,Capaccioli M.,Zambon M. 1975,Mem. Soc. Astron. Ital. 46,461."
135,=,1975MmSAI..46..461B
136,--,"Barbieri C.,Barbon R.,de Bastiani L. et al. 1985,A&AS 61,163."
136,=,1985A&AS...61..163B
137,--,"Barbieri C.,Cristiani S.,Iovino A.,Nota A. 1987,A&AS 67,551."
137,=,1987A&AS...67..551B
138,--,"Barcons X.,Carballo R.,Ceballos M.T.,Warwick R.S.,Gonzalez-Serrano J.I. 1998,"
138,--,"MNRAS 301,L25."
138,=,1998MNRAS.301L..25B
139,--,"Barcons X.,Carrera F.J.,Watson M.G. et al. 2002,A&A 382,522."
139,=,2002A&A...382..522B
140,--,"Barcons X.,Carrera F.J.,Ceballos M.T. 2003,MNRAS 339,757."
140,=,2003MNRAS.339..757B
141,--,"Barger A.J.,Cowie L.L.,Mushotzky R.F.,Richards E.A. 2001,AJ 121,662."
141,=,2001AJ....121..662B
142,--,"Barger A.J.,Cowie L.L.,Bautz M.W. et al. 2001,AJ 122,2177."
142,=,2001AJ....122.2177B
143,--,"Barger A.J.,Cowie L.L.,Brandt W.N. et al. 2002,AJ 124,1839."
143,=,2002AJ....124.1839B
144,--,"Bartel N.,Shapiro I.I.,Huchra J.P.,Kuhr H. 1984,ApJ 279,112."
144,=,1984ApJ...279..112B
145,--,"Barth A.J.,Filippenko A.V.,Moran E.C. 1999,ApJ 515,L61."
145,=,1999ApJ...515L..61B
146,--,"Barth A.J.,Filippenko A.V.,Moran E.C. 1999,ApJ 525,673."
146,=,1999ApJ...525..673B
147,--,"Barth A.J.,Tran H.D.,Brotherton M.S. et al. 1999,AJ 118,1609."
147,=,1999AJ....118.1609B
148,--,"Barth A.J.,Ho L.C.,Filippenko A.V.,Rix H.-W.,Sargent W.L.W. 2001,ApJ 546,134."
148,=,2001ApJ...546..134B
149,--,"Barthel P.D.,Miley G.K.,Schilizzi R.T.,Lonsdale C.J. 1988,A&AS 73,515."
149,=,1988A&AS...73..515B
150,--,"Barthel P.D.,Tytler D.R.,Thomson B. 1990,A&AS 82,339."
150,=,1990A&AS...82..339B
151,--,"Barvainis R.,Lonsdale C.,Antonucci R. 1996,AJ 111,1431."
151,=,1996AJ....111.1431B
152,--,"Barvainis R.,Lonsdale C. 1997,AJ 113,144."
152,=,1997AJ....113..144B
153,--,"Basilakos S.,Georgantopoulos I.,Perez-Fournon et al. 2002,MNRAS 331,417."
153,=,2002MNRAS.331..417B
154,--,"Bassani L.,Coe M.J.,Malkan M.A. et al. 1989,ApJ 344,726."
154,=,1989ApJ...344..726B
155,--,"Battistini P.,Braccesi A.,Formiggini L. 1974,A&A 35,93."
155,=,1974A&A....35...93B
156,--,"Battistini P.,Braccesi A.,Formiggini L.,Lari C. 1975,A&A 40,217."
156,=,1975A&A....40..217B
157,--,"Bauer F.E.,Condon J.J.,Thuan T.X.,Broderick J.J. 2000,ApJS 129,547."
157,=,2000ApJS..129..547B
158,--,"Beauchemin M.,Borra E.F.,Edwards G. 1990,MNRAS 247,182."
158,=,1990MNRAS.247..182B
159,--,"Beaver E.A.,Harms R.,Hazard C. et al. 1976,ApJ 203,L5."
159,=,1976ApJ...203L...5B
160,--,"Bechtold J.,Forman W.,Giacconi R. et al. 1983,ApJ 265,26."
160,=,1983ApJ...265...26B
161,--,"Bechtold J.,Elvis M.,Fiore F. et al. 1994,AJ 108,374."
161,=,1994AJ....108..374B
162,--,"Becker R.H.,White R.L.,Edwards A.L. 1991,ApJS 75,1."
162,=,1991ApJS...75....1B
163,--,"Becker R.H.,Helfand D.J.,White R.L. 1992,AJ 104,531."
163,=,1992AJ....104..531B
164,--,"Becker R.H.,Gregg M.D.,Hook I.M. et al. 1997,ApJ 479,L93."
164,=,1997ApJ...479L..93B
165,--,"Becker R.H.,White R.L.,Gregg M.D. et al. 2001,ApJS 135,227."
165,=,2001ApJS..135..227B
166,--,"Becker R.H.,Fan X.,White R.L. et al. 2001,AJ 122,2850."
166,=,2001AJ....122.2850B
167,--,"Beckmann V.,Bade N.,Wucknitz O. 1999,A&A 352,395."
167,=,1999A&A...352..395B
168,--,"Beckmann V.,Engels D.,Bade N.,Wucknitz O. 2003,A&A 401,927."
168,=,2003A&A...401..927B
169,--,"Bedford D.K.,Vilhu O.,Petrov P. 1988,MNRAS 234,319."
169,=,1988MNRAS.234..319B
170,--,"Beer S.H.,Vaughan A.E. 1999,Publ. astron. Soc. Aust. 16,134."
170,=,1999PASA...16..134B
171,--,"Beichman C.A.,Wynn-Williams C.G.,Lonsdale C.J. et al. 1985,ApJ 293,148."
171,=,1985ApJ...293..148B
172,--,"Beichman C.A.,Soifer B.T.,Helou G. et al. 1986,ApJ 308,L1."
172,=,1986ApJ...308L...1B
173,--,"Beichman C.A.,Chester T.J.,Cutri R. et al. 1998,PASP 110,367."
173,=,1998PASP..110..367B
174,--,"Benn C.R.,Rowan-Robinson M.,McMahon R.G.,Broadhurst T.J.,Lawrence A. 1993,"
174,--,"MNRAS 263,98."
174,=,1993MNRAS.263...98B
175,--,"Benn C.R.,Vigotti M.,Pedani M. et al. 2002,MNRAS 329,221."
175,=,2002MNRAS.329..221B
176,--,"Bennett C.L.,Lawrence C.R.,Burke B.F.,Hewitt J.N.,Mahoney J. 1986,ApJS 61,1."
176,=,1986ApJS...61....1B
177,--,"Berger J.,Cordoni J.P.,Fringant A.M. et al. 1991,A&AS 87,389."
177,=,1991A&AS...87..389B
178,--,"Bergeron J.,Kunth D. 1980,A&A 85,L11."
178,=,1980A&A....85L..11B
179,--,"Bergeron J.,Kunth D. 1984,MNRAS 207,263."
179,=,1984MNRAS.207..263B
180,--,"Bergeron J.,Boisse P. 1991,A&A 243,344."
180,=,1991A&A...243..344B
181,--,"Bergeron J.,Boksenberg A.,Dennefeld M.,Tarenghi M. 1983,MNRAS 202,125."
181,=,1983MNRAS.202..125B
182,--,"Bergeron J.,Petitjean P.,Cristiani S. et al. 1999,A&A 343,L40."
182,=,1999A&A...343L..40B
183,--,"Bergh S. van den 1966,ApJ 144,866."
183,=,1966ApJ...144..866B
184,--,"Bergvall N.,Ekman A.B.G.,Lauberts A. et al. 1978,A&AS 33,243."
184,=,1978A&AS...33..243B
185,--,"Bergvall N.,Johansson L.,Olofsson K. 1986,A&A 166,92."
185,=,1986A&A...166...92B
186,--,"Bershady M.A.,Trevese D.,Kron R.G. 1998,ApJ 496,103."
186,=,1998ApJ...496..103B
187,--,"Bertaud C.,Dumortier B.,Veron P. et al. 1966,A&A 3,436."
187,=,1969A&A.....3..436B
188,--,"Best P.N.,Roettgering H.J.A.,Lehnert M.D. 1999,MNRAS 310,223."
188,=,1999MNRAS.310..223B
189,--,"Beuermann K.,Thomas H.-C.,Reinsch K. et al. 1999,A&A 347,47."
189,=,1999A&A...347...47B
190,--,"Bhatnagar S.,Gopal-Krishna,Wisotzki L. 1998,MNRAS 299,L25."
190,=,1998MNRAS.299L..25B
191,--,"Bicay M.D.,Kojoian G.,Seal J.,Dickinson D.F.,Malkan M.A. 1995,ApJS 98,369."
191,=,1995ApJS...98..369B
192,--,"Bieging J.H.,Biermann P.,Fricke K.,Pauliny-Toth I.I.K.,Witzel A. 1977,A&A 60,353."
192,=,1977A&A....60..353B
193,--,"Binette L.,Carignan C.,Bolton J.G.,Wright A.E. 1981,Aust. J. Phys. 34,407."
193,=,1981AuJPh..34..407B
194,--,"Biretta J.A.,Schneider D.P.,Gunn J.E. 1985,AJ 90,2508."
194,=,1985AJ.....90.2508B
195,--,"Birkinshaw M.,Davies R.L. 1985,ApJ 291,32."
195,=,1985ApJ...291...32B
196,--,"Bischof O.B.,Becker R.H. 1997,AJ 113,2000."
196,=,1997AJ....113.2000B
