1961BOTT....3...33P Peimbert & Costero          (PC)
1989RMxAA..17...25P Pena et al.                 (PaRu1)
1990A&A...237..454P Pena et al.                 (PaRu2)
1962BAICz..11..256P Perek                       (Pe1,Pe2)
1993IAUS..155...37P Persi et al.
1986ApJS...60..543P Pesch & Sanduleak
1990MNRAS.245..204P Pollacco et al.             (V348 Sgr)
1988A&A...192..182P Pottasch & Parthasarathy
1987A&A...177L..49P Pottasch et al.
1988A&A...205..248P Pottasch et al.             (IRAS, TaJu,SrWe)
1988A&AS...76..317P Preite-Martinez             (PM survey)
1984A&A...139..230P Pritchet                    (RWT)
1978A&A....70..589P Purgathofer                 (Pu)
1980A&A....88..275P Purgathofer                 (Pu)
1980A&A....87L...5P Purgathofer & Weinberger    (PuWe)
1991A&AS...91..481R Ratag & Pottasch            (IRAS)
1990A&A...233..181R Ratag et al.                (IRAS)
1999A&AS..135..487R Rauch
1991A&A...241..457R Rauch et al.
1999AJ....117.1834R Reddy & Hrivnak
1996AJ....112.2053R Reddy & Parthasarathy
1999ApJ...524..831R Reddy et al.
1985ApJ...288..622R Reynolds                    (Sh2)
1994Ap&SS.216...43R Riera et al.
1995A&A...302..137R Riera et al.                (to He 3-1475)
1995Ap&SS.224..549R Riera et al.
1992MNRAS.256..437R Robinson et al.
1960MNRAS.121..103R Rodgers et al.              (RCW)
1977A&A....60..147S Sabbadin et al.             (Sh2)
1999ApJ...524L.125S Sahai
1998ApJ...493..301S Sahai et al.
1999ApJ...514L.115S Sahai et al.
1974PASP...86..215S Sanduleak                   (Sa1, SP1)
1975PW&SO...2a...1S Sanduleak                   (Sa2)
1976PW&SO...2...57S Sanduleak                   (Sa3, SP2)
1983PASP...95..619S Sanduleak                   (Sa4)
1972ApJ...178..183S Sanduleak & Stephenson      (CPD)(MWC 574)
1972ApJ...178..183S Sanduleak & Stephenson      (MWC 574)
1987A&AS...69..527S Saurer & Weinberger         (SrWe)
1990MNRAS.245..484S Scarrott et al.
1976A&A....46..139S Schuster & West             (SuWt)
1992A&A...265L..37S Schwarz & Corradi           (BI Cru)
1947PASP...59...35S Seyfert                     (NGC 6857)
1936BHarO.902...26S Shapley                     (Sp)
1953ApJ...118..362S Sharpless                   (Sh1)
1959ApJS....4..257S Sharpless                   (Sh2)
1987PASP...99...27S Shaw & Bidelman             (NGC 2242)
1985PASP...97.1071S Shaw & Wirth                (SAWI)
1969Obs....89..207S Sherwood                    (SD)
                    Skiff & Acker               (SkAc)                               1996, priv. commun. to S1 SECGPN
1998MNRAS.300L..29S Skinner et al.
1971AJ.....76..338S Slettebak & Brundage
1991A&A...248..547S Slijkhuis et al.
1994ApJ...424L.123S Smith & Lambert
1976ApJS...32..217S Smith et al.                (CTIO)
1975A&A....39..307S Stenholm                    (SM)
1978PASP...90..396S Stephenson                  (SP3)
1985PASP...97..930S Stephenson                  (SP4)
1971PW&SO...1a...1S Stephenson & Sanduleak      (LSS)                                Cat. <III/43>
1974AJ.....79...47S Stienon et al.              (HBV 475)
1972POAN....2...59S Stock & Wroblewski          (SKWL)
                    Strigl                      (Si)                                 1996, priv. communication to S1 SECGPN
1999BAAS...31.1537S Su et al.
1940PNAS...26..454S Swings & Struve             (SwSt)                               and 1940, Proc. Nat. Acad. Sci. 26, 548
1993IAUS..155...34T Tamura & Weinberger         (TuWe)
1995A&A...298..204T Tamura & Weinberger         (TuWe 2)
1993Ap&SS.210..159T Tamura et al.
