114-04.1  A 82           IRAS 23433+5646 nearby. Coord. 70.002.006 rad: 
114-04.1  A 82           deviation in RA from optical position.
116+00.1 *We 2-262       Ko,Ku (1999): suspected central star measured.
116+00.1 *We 2-262       Coordinates differ too much.
117+18.1  IC 1454        Coordinates 50.134.178 not correct.
118+08.2  A 86           Coordinates differ too much.
118-74.1  NGC 246        Coordinates 09.133.025 probably not correct;
118-74.1  NGC 246        IRAS 00445-1207 nearby.
120+18.1 *Sh 2-174       Ko,Ku (1999): position for GD 561.
120-05.1  Sh 2-176       Coordinates differ too much, very large nebula.
120-05.1  Sh 2-176       Ko,Ku (1999): coord. uncertain because no central star
120-05.1  Sh 2-176       known.
124+10.1  EL 0103+73     Coordinates differ too much.
124-07.1  WeSb 1         Coordinates differ too much.
125-47.1  PHL 932        Coordinates 50.134.178 not correct.
125-47.1  PHL 932        IRAS 00572+1528 nearby.
128-04.1 *S 22           Very large object; coordinates differ too much.
128-04.1 *S 22           Ko,Ku (1999): central star candidate measured.
129+04.1  K 3-91         Coord. 70.002.006 rad: deviation in DEC from
129+04.1  K 3-91         optical position.
129-02.1 *We 2-5         Coordinates 50.134.178 not correct.
130+03.1  K 3-92         IRAS 02000+6443 nearby.
130-10.1  NGC 650-1      Coordinates differ too much.
136+05.1  HEFE 1         Position of the 15th mag star as a candidate for
136+05.1  HEFE 1         the nucleus.
137+16.1 *EL 0419+72     Ko,Ku (1999): suspected central star measured.
138+04.1 *HtDe 2         Ko,Ku (1999): suspected central star measured.
138+04.1 *HtDe 2         Coordinates differ too much.
141-07.1  A 5            Ko,Ku (1999): suspected central star measured.
149-03.1 *IsWe 1         Ko,Ku (1999): suspected central star measured.
149-09.1 *HtDe 3         Ko,Ku (1999): identification corresponds with that of
149-09.1 *HtDe 3         SECGPN.
151+00.1  K 3-64         Coord. 70.002.006 rad: deviation in DEC from
151+00.1  K 3-64         optical position.
156+12.1 *HtDe 4         Ko,Ku (1999): identif. uncertain because made only
156+12.1 *HtDe 4         according to the coordinates.
158+00.1 *Sh 2-216       Ko,Ku (1999): LSV+46 21 measured as central star .
160-00.1  We 1-2         Ko,Ku (1999): suspected central star measured.
161-14.1  IC 2003        Probably printing error in coordinates 12.133.017.
163-00.1  We 1-3         Ko,Ku (1999): suspected central star measured.
164+31.1  JnEr 1         Coordinates differ too much.
165-06.1  K 3-67         Coordinates differ too much.
166+10.1  IC 2149        Probably printing error in coordinates 11.133.011.
170+15.1  NGC 2242       IRAS 06304+4448 nearby.
171-25.1  Ba 1           Coord. differ too much. IRAS 03506+1920 nearby.
173+03.1 *Pu 2           In the discovery paper RA 05:59:12 wrong.
173-05.1 *K 2-1          Coordinates 34.134.010 probably not correct.
174-14.1  H 3-29         Coordinates differ too much.
