NUM,NGC/Other Cat.,NGC/IC,Con,RA,DEC,VMAG,BMAG,Stars,Size,Class,n
95,,,Mon,06h 30m 30.0s,"+09? 56' 00""",nl,nl,10,27,Neb,
96,,,Mon,06h 30m 18.0s,"+02? 52' 00""",7.3,,12,7,Plei,
97,,,Mon,06h 31m 18.0s,"+05? 55' 00""",,5.4,9,21,Plei,
98,2243,NGC2243,Cma,06h 29m 34.5s,"-31? 16' 53""",9.4,,(100),5,Praes,
99,2244,NGC2244,Mon,06h 31m 55.6s,"+04? 56' 35""",4.8,,18,24,Plei,
100,2250,NGC2250,Mon,06h 33m 49.9s,"-05? 05' 04""",,8.9,(10),7,Plei,
101,2251,NGC2251,Mon,06h 34m 38.5s,"+08? 21' 59""",7.3,,20,10,Plei,
102,2252,NGC2252,Mon,06h 34m 42.9s,"+05? 21' 59""",7.7,,10¡À,20,Plei,
103,2254,NGC2254,Mon,06h 35m 49.7s,"+07? 40' 24""",9.1,,20,4,Plei,
104,,,Mon,06h 36m 30.0s,"+04? 49' 00""",,9.6,15,21,Chain,
105,Tr.5,,Mon,06h 37m 36.0s,"+09? 26' 00""",,10.9,20,8,Plei,
106,,,Mon,06h 37m 06.0s,"+05? 57' 00""",,4.6,23,45,Plei,
107,,,Mon,06h 37m 42.0s,"+04? 44' 00""",,5.1,30,35,Plei,
108,2259,NGC2259,Mon,06h 38m 21.4s,"+10? 53' 01""",10.8,,(25),4.5,Plei,
109,2262,NGC2262,Mon,06h 39m 38.1s,"+01? 08' 37""",11.3,,(35),3.5,Plei,14
110,,,Mon,06h 38m 24.0s,"+02? 01' 00""",,10.5,60,12,Praes,
111,,,Mon,06h 38m 42.0s,"+06? 54' 00""",,7,8,3.2,¦ÌNorm,
112,2264,NGC2264,Mon,06h 40m 58.3s,"+09? 53' 44""",4.1,,45,20,¦ÌNorm,
113,2266,NGC2266,Gem,06h 43m 19.2s,"+26? 58' 10""",9.5,,50¡À,6,Praes,
114,2269,NGC2269,Mon,06h 43m 17.1s,"+04? 37' 28""",10,,6¡À,4,Plei,
115,,,Mon,06h 46m 30.0s,"+01? 46' 00""",,9.2,25,7,Plei,
116,2281,NGC2281,Aur,06h 48m 17.8s,"+41? 04' 44""",5.4,,23,14,Plei,
117,2286,NGC2286,Mon,06h 47m 40.1s,"-03? 08' 52""",7.5,,50,14,Plei,
118,2287 (M41),NGC2287,Cma,06h 46m 00.0s,"-20? 46' 00""",4.5,,160,38,Praes,
119,2301,NGC2301,Mon,06h 51m 45.3s,"+00? 27' 33""",6,,60,12,Plei,
120,2304,NGC2304,Gem,06h 55m 11.9s,"+17? 59' 19""",10,,30¡À,5,Praes,
121,,,Cma,06h 54m 12.0s,"-24? 38' 00""",2.6,,20,50,Plei,
122,2309,NGC2309,Mon,06h 56m 03.6s,"-07? 10' 28""",10.5,,14¡À,3,Plei,
