Sh2,GlLund,GbLund,GLon,GLat,RAh,RAm,RAds,DE-,DEd,DEm,DEs,RA1950h,RA1950m,RA1950ds,DE1950-,DE1950d,DE1950m,DE1950s,Diam,Form,Struct,Bright,Stars
294,1919,26,2242,12,7,11,480,-,9,16,0,7,14,111,-,9,21,14,7,3,2,3,0
295,1921,-14,2244,-27,6,58,0,-,11,19,0,7,0,206,-,11,23,16,8,1,1,1,1
296,1922,-6,2246,-20,7,1,60,-,11,4,0,7,3,270,-,11,8,29,200,3,2,3,10
297,1932,-12,2255,-26,7,0,360,-,12,11,0,7,2,556,-,12,15,27,7,3,2,3,1
298,1955,12,2278,-1,7,14,0,-,13,1,0,7,16,190,-,13,6,23,22,3,3,3,1
299,1987,28,2310,15,7,26,60,-,15,5,0,7,28,228,-,15,11,12,1,3,1,1,0
300,1989,28,2311,15,7,26,300,-,15,12,0,7,28,466,-,15,18,14,3,2,1,1,0
301,1991,-31,2315,-44,7,5,240,-,18,19,0,7,7,363,-,18,23,47,9,2,2,3,0
302,2003,21,2326,9,7,27,120,-,16,46,0,7,29,268,-,16,52,17,21,2,1,2,4
303,2009,-82,2334,-95,6,49,480,-,22,18,0,6,51,548,-,22,21,41,90,2,2,2,0
304,2014,-112,2339,-124,6,39,180,-,24,2,0,6,41,222,-,24,4,55,200,3,2,2,0
305,2015,11,2338,-2,7,25,420,-,18,19,0,7,27,550,-,18,25,11,4,3,2,3,0
306,2020,9,2343,-4,7,26,120,-,18,54,0,7,28,242,-,19,0,13,30,3,2,1,4
307,2023,21,2346,8,7,31,60,-,18,32,0,7,33,190,-,18,38,32,6,3,2,3,0
308,2023,-9,2348,-101,6,50,0,-,23,49,0,6,52,47,-,23,52,41,35,3,3,2,1
309,2025,10,2348,-2,7,27,420,-,19,13,0,7,29,540,-,19,19,19,12,2,1,2,0
310,2049,-53,2373,-65,7,8,540,-,24,25,0,7,10,586,-,24,30,1,480,3,2,2,2
311,2109,14,2432,4,7,48,120,-,26,11,0,7,50,163,-,26,18,40,45,3,2,3,2
312,2192,140,2512,131,8,54,480,-,25,18,0,8,56,587,-,25,29,36,720,3,2,2,0
313,2725,396,3036,400,12,48,120,-,22,19,0,12,50,515,-,22,35,19,12,1,2,2,0
