HCG,m_HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
51,f,11,19,47.72,+,24,34,4.4,17.0,8.5,S0,1,--,7532,30,0,15.4,1,43.9,13.67,1,65.8,1.56,15.1,14.79,0.2,-19.6,--
51,g,11,19,49.49,+,24,34,9.6,7.0,5.7,cI,13,--,--,--,--,16.34,1,19.7,15.03,1,22.5,1.27,15.92,15.73,0.2,-18.7,--
52,a,11,23,41.32,+,21,22,16.2,24.9,14.3,SBab,4,--,12979,38,0,15.54,0,38.9,13.88,0,47.9,1.57,15.28,14.9,0.1,--,--
52,b,11,23,38.86,+,21,22,54.9,21.0,4.7,Sc,7,--,13040,73,0,16.83,0,21.2,15.24,0,25.3,1.53,16.37,15.66,0.2,--,--
52,c,11,23,41.59,+,21,19,47.4,23.8,7.9,Scd,8,--,12630,61,0,16.68,0,23.7,15.41,0,28.9,1.17,16.26,15.69,0.2,--,--
52,d,11,23,38.68,+,21,21,47.3,8.2,6.1,Sdm,10,--,6293,65,0,17.7,0,15.6,16.68,0,17.3,0.97,17.05,16.76,0.2,--,--
53,a,11,26,13.01,+,21,4,15.3,69.6,23.4,SBbc,6,--,6261,31,0,13.87,0,75.3,12.52,0,86.3,1.3,13.48,12.91,0.2,--,N3697 U6479
53,b,11,26,22.67,+,21,0,54.2,24.5,14.3,S0,1,m,6166,81,0,15.11,1,35.2,13.44,1,46.9,1.57,15.01,14.73,0.2,--,--
53,c,11,26,21.21,+,21,1,32.3,19.5,12.0,SBd,9,m,6060,50,0,15.26,1,37.9,14.22,1,43.6,1.0,15.17,14.81,0.2,--,Mk1296
53,d,11,26,37.44,+,21,2,57.3,14.8,8.2,Sc,7,--,9070,174,2,16.78,0,21.5,15.44,0,26.6,1.22,16.66,16.27,0.1,--,--
