Name,DSPshort,DSPlong
NGC5275,"F, S, R, gmbM","faint, small, round, gradually much brighter middle"
NGC5276,"F, S","faint, small"
NGC5277,"eF, S, R, bM","extremely faint, small, round, brighter middle"
NGC5278,"pF, R, vS neb 40"" f, * n","pretty faint, round, very small nebula 40 arcsec to east, star to north"
NGC5279,"F, vS, f of 2","pretty faint, round, very small nebula 40 arcsec to east, star to north"
NGC528,"F, pL, R, lbM","faint, pretty large, round, a little brighter middle"
NGC5280,"F, vS, R, bM","faint, very small, round, brighter middle"
NGC5281,"Cl, B, S, pC, iR, st 10…12","a cluster, bright, small, pretty compressed, irregularly round, stars from 10th to 12th magnitude"
NGC5282,"F, S, R, gbM * 14","faint, small, round, gradually brighter middle equivalent to 14th magnitude star"
NGC5283,"F, S, stell","faint, small, stellar"
NGC5284,"Cl, L, vRi, st 7…16","a cluster, large, very rich, stars from 7th to 16th magnitude"
NGC5285,"eF, vS, R, gvlbM","extremely faint, very small, round, gradually a very little brighter middle"
NGC5286,"globular, vB, pL, R, rrr, st 15","a globular cluster, very bright, pretty large, round, well resolved, clearly consisting of stars of 15th magnitude"
