RAh,RAm,RAs,DE-,DEd,DEm,ESO,Text
19,21,6,-,62,13.2,142- ?   2,real?
19,21,59,-,61,27.0,142- ?   5,real?
19,23,39,-,27,31.3,525- G   5,in field 460
19,23,55,-,26,48.5,525- G?  6,vis on PSS
19,24,14,-,58,53.5,142- G  10,"fits descr of IC, but nominal pos indicates other"
19,24,14,-,58,53.5,142- G  10,side of G 12
19,24,16,-,37,34.8,338-IG   3,eF bridge? to starlike obj 1.0 sf
19,24,57,-,58,59.0,142-IG  14,in G 12 group
19,29,7,-,62,31.8,105-IG   5,stars? impos
19,29,11,-,29,29.6,460- G  10,also denoted as PN PK 9-21 1
19,29,19,-,64,28.6,105- G   6,E 0.8 p
19,31,38,-,61,8.3,142- G  25,"compact 2.9' n, IC Dec off 11'"
19,32,10,-,44,4.9,283-IG  10,eF bridge? to S comp 1.9 s
19,32,48,-,65,55.5,105-IG  11,star? impos; sev S comps around
19,33,25,-,37,40.0,338- G  14,1 deg error in NGC Dec
19,33,36,-,42,24.5,338- G  15,compact E 3.4 f
19,33,47,-,52,11.2,232- G  12,sev S comps involved
19,33,55,-,47,41.9,232-IG  13,connected w sev S comps
19,34,30,-,58,19.7,142-IG  28,in cl
19,34,37,-,49,27.0,232-IG  15,"+ compact, or imp star?"
19,34,37,-,58,20.5,142-IG  29,in cl
19,39,17,-,51,55.6,232-IG  18,sev S comps; in cluster
19,39,30,-,60,46.2,142- G  36,RA of IC off 0.9 m
19,40,4,-,52,1.6,232-IG  20,comp 0.6 s ; in cluster
19,40,56,-,28,31.3,460- G  30,NGC Dec 9' off
19,41,34,-,54,13.7,185-IG  17,in group
19,42,6,-,50,25.0,232- G  23,nf of 2
19,42,15,-,32,28.4,398- G  30,in field 460
19,43,9,-,51,58.2,232-IG  25,compact 0.5 np ; in cl
19,43,35,-,23,15.5,526-PN   3,MCG-4-46
19,45,59,-,43,48.0,283-IG  18,vF bridge to S comp 0.9 s
19,46,34,-,51,28.4,233- G   2,"L in group, S comp 0.4 nf"
19,50,12,-,42,51.0,284- G   1,interact? w S comp 1.0 n
19,50,40,-,38,7.0,339-IG   4,in cl
19,50,47,-,58,51.8,142- G  51,S comp sf
19,50,47,-,62,4.0,142- G  52,"compact? sf, S comp 0.9 sf"
19,54,25,-,49,6.3,233-IG  12,2 stars superimp
19,56,11,-,55,30.7,185- G  43,S comp 1.5 sp
19,57,19,-,42,5.8,339- G  21,contact w S comp sp
19,57,22,-,47,12.5,284-IG   8,open spir strongly interact w Irr 1.4 nf and w SO
19,57,22,-,47,12.5,284-IG   8,0.8 sp; S comp 1.9 sp
19,57,30,-,53,6.2,185-IG  47,bridge between two compacts
19,57,39,-,58,49.6,143-IG   2,"con? w compact 0.6 n, in group"
19,58,47,-,56,13.7,185- G  52,strong absorption band
19,59,33,-,55,7.2,185- G  55,"B centre, or * superimp"
19,59,34,-,54,59.2,185- G  56,irr centre; sev S comps around
20,0,53,-,60,18.4,143-IG   5,dif bridge over compact to S comp 1.2 sf
20,2,2,-,51,0.7,233-IG  24,"cz=9900(2C) H? at RA=200203, Dec=-510116"
20,2,2,-,51,0.7,233-IG  24,"cz=12100(2C) at RA=200203, Dec=-510028"
20,2,50,-,48,31.1,233- G  28,IC RA only 4 s off
20,2,50,-,56,32.1,185- G  63,S comp 2.1 sf
20,2,54,-,40,20.5,339- G  32,NGC RA off 5 min
20,2,54,-,42,54.5,284- G  16,"compact 0.6 nf, S comp 1.9 np"
20,2,55,-,60,53.0,143- G   8,compact 1.4 sf
20,3,8,-,22,4.0,595-SC  13,GCl-116
20,3,50,-,43,46.6,284- G  18,nom value of RA off 0.8
20,4,28,-,56,18.4,185- G  70,S comp 1.6 np
20,4,45,-,66,21.8,105- G  26,S comp 1.3 f
20,5,38,-,55,51.4,186- G   3,"fits descr of IC but RA off 1.2 min, cf. G 05"
20,5,41,-,46,29.8,284- G  20,"2 S comps 2.5 sp, 1.6 nf"
20,7,59,-,45,44.5,284- G  23,nominal value of RA off 2.2 min
20,9,24,-,53,39.1,186- G  14,"nominal position off 0.9 m, 6'"
20,9,40,-,46,18.7,284- G  28,"interact w S comp 1.1 f; 2 more comps sp, sf"
20,9,48,-,71,8.6,73- G  27,"nom value of RA off 0.9 min, cf. G 30"
20,9,55,-,79,11.0,25-SC  18,"nominal pos off 5.5 m, 17'"
20,10,6,-,44,58.1,284- G  29,"sp part bent northw, S comp (one of sev) 3.2 np"
20,10,24,-,44,40.7,284- G  31,redshift?
20,11,25,-,71,17.0,73- G  30,"nom coordinates off 0.7 min, 8'; fits descr"
20,11,25,-,71,17.0,73- G  30,better than G 27
20,11,35,-,45,30.2,284- ?  34,reg apparently devoid of galaxies larger than 1'
20,11,42,-,70,55.3,73-IG  32,"n arm ext into plume, disturbed by IG 33, in Se 137/3,"
20,11,42,-,70,55.3,73-IG  32,in cl
20,11,44,-,70,54.2,73-IG  33,"in Se 137/3, in cl"
20,12,50,-,44,27.3,284-IG  41,"tail, in cl"
20,13,3,-,47,7.2,284- G  44,"connected? w S comp 1.5 n, S ring galaxy 5.9 nf"
20,13,6,-,71,0.8,73-IG  35,in cl
20,13,16,-,46,41.2,284-IG  45,connected: w 2 S comps 2' sp
20,13,23,-,71,0.6,73-IG  36,in cl
20,13,34,-,52,26.1,233- G  52,in group
20,14,16,-,71,1.0,73-IG  37,in cl
20,14,26,-,71,0.3,73-IG  38,in cl
20,15,1,-,41,12.4,340- G  11,"IC position off 0.6 min, 33'"
20,15,7,-,71,9.9,73-IG  39,interacting w S comp 0.3 s
20,16,1,-,27,33.6,527- G  18,in field 462
20,16,22,-,39,26.7,340-IG  17,"distorted F arms, L in group, Ag RA off 2.6 min"
20,18,9,-,40,32.0,340- G  18,in cl
20,18,14,-,48,9.9,234- G   9,"S comp 1.2 np, in G 11 group"
20,19,4,-,59,16.0,143- G  23,in group w G 25
20,19,8,-,46,59.6,285- G   3,Dec of Se off 5'
20,19,33,-,44,26.0,285- G   4,S comp 1.6 p
20,20,42,-,50,35.7,234- G  22,in cl
20,20,52,-,53,0.3,186- G  40,in cl
20,21,13,-,20,19.5,596- G  30,in cl
20,22,19,-,30,2.1,462- ?  18,IC 5007 Dec 10' off
20,22,45,-,41,5.7,340- G  29,B spir arms + sev conds between
20,23,18,-,39,14.7,340-IG  30,contact w sev S comps
20,24,30,-,44,46.5,285-IG  14,long streamer to *like obj 1.1 sp
20,24,31,-,43,5.3,285-IG  15,L 2 of 4
20,24,42,-,52,0.6,234-IG  33,in G 32 group
20,25,5,-,38,40.9,340- G? 34,in cl
20,25,21,-,36,11.6,400- G  29,in cluster
