GC,18 01 50.52,-08 57 31.6,+inf,,+10.23,+11.98,1.060E+04,-39.6,F8,1.00,,,NGC 6517,
GC,18 03 36.40,-26 04 21.0,+inf,,+14.90,,5.800E+03,,,3.10,,,Terzan 10,
GC,18 03 34.02,-30 02 02.3,+inf,,+8.27,+9.48,7.700E+03,-21.1,F7/8,2.00,,,NGC 6522,
GC,18 03 50.51,-00 17 51.5,+inf,,+10.47,+11.41,6.800E+03,-215.1,G0,1.70,,,NGC 6535,
GC,18 04 49.64,-30 03 22.6,+inf,,+9.60,+11.13,7.900E+03,+206.6,G3,0.76,,,NGC 6528,
GC,18 04 49.68,-07 35 09.1,+inf,,+9.33,+11.16,7.800E+03,+31.0,G4,3.40,,,NGC 6539,
GC,18 06 08.60,-27 45 55.0,+inf,,+9.30,,5.300E+03,-17.7,,,,,NGC 6540,
GC,18 07 20.58,-24 59 50.4,+inf,,+7.77,+9.23,3.000E+03,-27.3,F9,2.42,,,NGC 6544,
GC,18 08 02.36,-43 42 53.6,+inf,,+6.30,+7.06,7.500E+03,-158.7,F6,2.12,,,C 78,NGC 6541,
GC,18 08 21.81,-19 49 47.0,+inf,,+27.74,,3.600E+03,,,3.30,,,2MS-GC01,
GC,18 09 06.00,-46 25 23.0,+inf,,+12.00,,2.140E+04,,,2.10,,,ESO-SC06,
GC,18 09 17.60,-25 54 31.3,+inf,,+8.06,+9.79,6.000E+03,-3.2,G4,2.06,,,NGC 6553,
GC,18 09 36.50,-20 46 44.0,+inf,,+24.60,,4.900E+03,-238.0,,1.10,,,2MS-GC02,
GC,18 10 17.60,-31 45 50.0,+inf,,+9.26,+10.37,7.400E+03,-197.2,F7,4.30,,,NGC 6558,
GC,18 10 44.20,-07 12 27.4,+inf,,+10.34,+12.10,5.400E+03,+155.7,,4.76,,,IC 1276,
GC,18 12 15.80,-22 44 31.0,+inf,,+15.63,,4.800E+03,+94.1,,1.50,,,Terzan 12,
GC,18 13 38.80,-31 49 36.8,+inf,,+8.55,+9.89,1.090E+04,-28.1,G1,1.60,,,NGC 6569,
GC,18 14 06.60,-28 38 06.0,+inf,,+11.00,,6.500E+03,,,1.10,,,BH 261,
GC,18 18 30.50,-16 58 38.0,+inf,,,,5.500E+03,,,,,,GLIMPSE02,
GC,18 18 37.60,-52 12 56.8,+inf,,+8.27,+9.03,1.350E+04,+222.9,F6,1.46,,,NGC 6584,
GC,18 23 40.51,-30 21 39.7,+inf,,+7.87,+8.98,7.900E+03,+53.9,G4/5,1.64,,,NGC 6624,
GC,18 24 32.81,-24 52 11.2,+inf,,+6.79,+7.87,5.500E+03,+17.0,F8,3.94,,,M 28,NGC 6626,
GC,18 30 56.10,-25 29 50.9,+inf,,+9.02,+10.17,9.400E+03,+18.1,G0,1.02,,,NGC 6638,
GC,18 31 23.10,-32 20 53.1,+inf,,+7.64,+8.65,8.800E+03,+39.9,G2/3,1.68,,,M 69,NGC 6637,
GC,18 31 54.10,-23 28 30.7,+inf,,+9.13,+10.24,8.100E+03,-57.2,F8,1.46,,,NGC 6642,
GC,18 35 45.63,-32 59 26.6,+inf,,+8.62,+9.56,1.000E+04,-111.7,G3,0.96,,,NGC 6652,
GC,18 36 23.94,-23 54 17.1,+inf,,+5.10,+6.08,3.200E+03,-146.3,F5,6.72,,,M 22,NGC 6656,
GC,18 41 29.90,-19 49 33.0,+inf,,+11.02,+12.24,1.280E+04,-43.0,,1.16,,,Pal 8,
GC,18 43 12.76,-32 17 31.6,+inf,,+7.87,+8.59,9.000E+03,+220.3,F5,1.42,,,M 70,NGC 6681,
GC,18 48 49.70,-01 29 50.0,+inf,,+22.24,,4.200E+03,,,1.30,,,GLIMPSE01,
GC,18 53 04.30,-08 42 22.0,+inf,,+8.10,+9.27,6.900E+03,-107.6,F9,2.66,,,NGC 6712,
GC,18 55 03.33,-30 28 47.5,+inf,,+7.60,+8.45,2.650E+04,+141.3,F7/8,1.64,,,M 54,NGC 6715,
GC,18 55 06.04,-22 42 05.3,+inf,,+9.28,+10.28,7.100E+03,+22.8,F6,1.36,,,NGC 6717,
