N1246       1155  On edge of calib cutout. N1244 in cutout.                     
N1246       1871  OXN, asym env?                                                
N1249       1127r B bar w dust lane, F pat arms.                                
N1249       1826  B bar, pat arms w many knots.                                 
N1255       3820  Short OX bar, thick arms w many knots.                        
N1256       3749  OXN (w frshrtnd bar?). 2nd in grp.                            
N1258       3749  OXN and bar, pat arms w sev F knots. 1st in grp; cE1 0.8 nnp. 
N1288       2770  OXN, (r'): 0.6 x 0.5, many knots on thin arms.                
N1291=N1269 3536  OXN, short bar, eF knots on (R): 8.1 x 7.0.                   
N1292       2654  OXN (w bar?), B v pat arms w sev knots.                       
N1297       3749  OXN, short bar, dust in B lens, FE corona. * sup 1.0 nnf. lsb 
N1297       3749    comp 3.2 n.                                                 
N1300       3749  OXN, pB bar, thin knotty arms.                                
N1300       5541  (r'): 2.8 x 2.0.                                              
N1301       3749  OXN, highly incl; pat arms w dust lane.                       
N1302       3820  OXN and bar, (r): 1.05 x 0.9; inner arms form another (r): 2.1
N1302       3820    x 2.0. Out arms form (R): 3.2 x 2.9; many F knots. * sup 2.1
N1302       3820    np.                                                         
N1306       3820  OX w trace of pat arms.                                       
N1310       1050r OXN.                                                          
N1310       2765  OXN, prob knotty (r): 0.7 x 0.5, knotty arms.                 
N1311       1127r Dark lane, F outlying patches. Type on this plate (SA?b?) rej.
N1311       1892  OX square N, pat exts (arms?) w knots. Type on this plate     
N1311       1892    (SB?a?pec) rej.                                             
N1311       3594  Edge-on Sm sim to N55, v knotty; part res?                    
N1313        932  Extreme out dim: 17' x 10'.                                   
N1313        958  Overall dim: 16.0: x 10.5:. lsb F dwarf 19.5 nf.              
N1313       1871  Overall dim: 15.5 x 10.0. lsb dwarf 19.5 nf.                  
N1313A       958  OX. 16' sf N1313.                                             
N1313A      1155  OX. v thick arms.                                             
N1313A      1871  OXN.                                                          
N1315       3749  OXN, F bar, (r'): 0.8 x - in pB lens. 2nd in grp.             
N1316       1050r Lens 7.2 x 6.4, dim incl F corona.                            
N1316       2698  Near plate edge.                                              
N1316       2765  OXN, dist lens and corona; incomp (R'): 15' x -. P(b) w N1317 
N1316       2765    6.1 n.                                                      
N1316C      1050r B lens, vF corona. S0: 5.1 nf.                                
N1316C      2698  Trace of arc in corona?                                       
N1316C      2765  OXN, eF (R'): 1.6 x - in corona.                              
N1317=N1318 1050r OXN, * 0.9 np.                                                
N1317=N1318 2765  OX elong N, (r'): 1.6 x 1.6, dist (R'): 3.4: x 3.0:. In corona
N1317=N1318 2765    of N1316 and P(b) at 6.1.                                   
N1319       3749  OX w jet(?) to nf. 4th in grp.                                
N1319       5541  OX w F ext; no jet seen on this plate (cf J3749, F547 above). 
N1319       5541    Type uncertain.                                             
N1325       3749  OXN (w bar?), (r'): 1.2 x 0.5. N2841 type arms. * sup 1.0 sf. 
N1325       3749    1st in grp.                                                 
N1325A      3749  pBN, pF knotty (r): 0.9 x 0.7; F arms. 3rd in grp. Near calib 
N1325A      3749    cutout.                                                     
N1326       1050r OXN, B bar and (r): 1.1 x 0.8, lens 1.3 x 1.1, (R): 2.5 x 1.6.
N1326       2770  Many eF knots in arms.                                        
N1326A      1050r pB bar, otherwise lsb and pat. P(b?) at 2.2 w N1326B.         
N1326A      2770  pF bar, F (r'): 0.9 x 0.7: w knots, pat arms. P(b) w N1326B   
N1326A      2770    2.4 sf.                                                     
N1326B      1050r Bar 2.0 x 0.4. Patchy.                                        
N1326B      2770  B bar, many knots, slightly dist arms. P(b) w N1326A 2.4 np.  
N1327       3820  OX bar, thin arms form (R'): 0.9 x 0.3. Note correct coord;   
N1327       3820    IC2 notes, EU, and RNGC idents incorrect.                   
N1329       5541  OXN, knotty (r'): 0.5 x 0.5, F env. Sa?sp w * sup 4.0 ssp.    
N1331=I0324 5541  OX w trace of struct? Poss SAB(s)0-?. In corona of N1332 2.8  
N1331=I0324 5541    npp.                                                        
N1332       5541  OXN w dust pats on sp side. 1st in grp; SB(rs)dm pec 3.4 np.  
N1336       1050r pFN, F corona. * sup 0.2 sp.                                  
N1336       2770  OXN, pB lens, globulars in lens and corona?                   
N1339       1050r Poss S0-. Covered by defect, data unreliable.                 
N1339       2654  Poss jet in lens?                                             
N1339       2698  eF arcs in corona.                                            
N1339       2770  OXN, poss SA0-. Sev F gal sup.                                
N1341       1050r vhsb. Dbl or tri * (or com gal?) 1' sf.                       
N1341       2765  OXN and bar, thick smo arms w few knots.                      
N1344=N1340 2654  OX elong N, (r'): 3.1 x - in lens, vF(R'): 16.5 x -. Poss F   
N1344=N1340 2654    exts to 12' - 14' from N.                                   
