SNR,RAh,RAm,RAs,DE-,DEd,DEm,MajDiam,---,MinDiam,u_MajDiam,type,l_S(1GHz),S(1GHz),u_S(1GHz),Sp-Index,u_Sp-Index,Names
G069.0+02.7,19,51,30,+,32,45,80.0,x,--,?,?,--,120.0,?,--,v,CTB 80
G069.7+01.0,20,0,45,+,32,35,16.0,x,--,--,S,--,1.6,--,0.8,--,--
G073.9+00.9,20,12,20,+,36,3,22.0,x,--,?,S?,--,9.0,?,0.3,?,--
G074.0-08.5,20,49,0,+,30,30,230.0,x,160.0,--,S,--,210.0,--,--,v,Cygnus Loop
G074.9+01.2,20,14,10,+,37,3,8.0,x,6.0,--,F,--,9.0,--,--,v,CTB 87
G076.9+01.0,20,20,30,+,38,33,9.0,x,12.0,--,?,--,2.0,--,0.6,--,--
G078.2+02.1,20,19,0,+,40,15,60.0,x,--,--,S,--,340.0,--,0.5,--,"DR4, gamma Cygni"
G082.2+05.3,20,17,30,+,45,20,95.0,x,65.0,--,S,--,120.0,?,0.5,?,W63
G084.2-00.8,20,51,30,+,43,16,20.0,x,16.0,--,S,--,11.0,--,0.5,--,--
G084.9+00.5,20,48,45,+,44,42,6.0,x,--,--,S,--,0.8,--,0.4,--,--
G089.0+04.7,20,43,30,+,50,25,120.0,x,90.0,--,S,--,220.0,--,0.4,--,HB21
G093.3+06.9,20,51,0,+,55,10,27.0,x,20.0,--,S,--,9.0,--,0.54,--,"DA 530, 4C(T)55.38.1"
G093.7-00.2,21,27,45,+,50,35,80.0,x,--,--,S,--,65.0,--,0.3,--,"CTB 104A, DA 551"
G094.0+01.0,21,23,10,+,51,40,30.0,x,25.0,--,S,--,15.0,--,0.44,--,3C434.1
G109.1-01.0,22,59,30,+,58,37,28.0,x,--,--,S,--,20.0,--,0.5,--,CTB 109
G111.7-02.1,23,21,10,+,58,32,5.0,x,--,--,S,--,2720.0,--,0.77,--,"Cassiopeia A, 3C461"
G112.0+01.2,23,13,40,+,61,30,30.0,x,--,?,S?,--,7.0,?,0.6,?,--
G114.3+00.3,23,34,45,+,61,38,90.0,x,55.0,--,S,--,6.0,?,0.3,?,--
G116.5+01.1,23,51,20,+,62,58,80.0,x,60.0,--,S,--,11.0,?,0.8,?,--
G116.9+00.2,23,56,40,+,62,10,34.0,x,--,--,S,--,9.0,?,0.5,?,CTB 1
G117.4+05.0,23,52,30,+,67,30,60.0,x,80.0,?,S?,--,30.0,?,0.5,?,--
G119.5+10.2,0,4,0,+,72,30,90.0,x,--,?,S,--,36.0,--,0.6,--,CTA 1
G120.1+01.4,0,22,30,+,63,52,8.0,x,--,--,S,--,56.0,--,0.61,--,"Tycho, 3C10, SN1572"
G126.2+01.6,1,18,30,+,64,0,70.0,x,--,--,S?,--,7.0,--,--,v,--
G127.1+00.5,1,25,0,+,62,55,45.0,x,--,--,S,--,13.0,--,0.6,--,R5
G130.7+03.1,2,1,55,+,64,35,9.0,x,5.0,--,F,--,33.0,--,0.1,--,"3C58, SN1181"
G132.7+01.3,2,14,0,+,62,30,80.0,x,--,--,S,--,45.0,--,0.6,--,HB3
G152.2-01.2,4,5,30,+,48,24,110.0,x,--,?,S?,--,16.0,?,0.7,?,--
G156.2+05.7,4,54,40,+,51,47,110.0,x,--,--,S,--,5.0,--,0.5,--,--
G160.9+02.6,4,57,0,+,46,36,140.0,x,120.0,--,S,--,110.0,--,0.6,--,HB9
G166.0+04.3,5,23,0,+,42,52,55.0,x,35.0,--,S,--,7.0,?,0.4,?,VRO 42.05.01
G166.2+02.5,5,15,30,+,41,50,90.0,x,70.0,--,S,--,11.0,--,0.5,--,OA 184
G179.0+02.6,5,50,30,+,31,5,70.0,x,--,--,S?,--,7.0,--,0.4,--,--
G180.0-01.7,5,36,0,+,27,50,180.0,x,--,--,S,--,65.0,--,--,v,S147
G182.4+04.3,6,5,0,+,29,0,50.0,x,--,--,S,--,1.2,--,0.4,--,--
G184.6-05.8,5,31,30,+,21,59,7.0,x,5.0,--,F,--,1040.0,--,0.3,--,"Crab Nebula, 3C144, SN1054"
G189.1+03.0,6,14,0,+,22,36,45.0,x,--,--,S,--,160.0,--,0.36,--,"IC443, 3C157"
G192.8-01.1,6,6,30,+,17,20,78.0,x,--,--,S,--,20.0,?,0.6,?,PKS 0607+17
G205.5+00.5,6,36,0,+,6,30,220.0,x,--,--,S,--,160.0,--,0.5,--,Monoceros Nebula
G206.9+02.3,6,46,0,+,6,30,60.0,x,40.0,--,S?,--,6.0,--,0.5,--,PKS 0646+06
G211.7-01.1,6,43,10,+,0,24,70.0,x,--,?,S?,--,15.0,?,0.5,?,--
G260.4-03.4,8,20,30,-,42,50,60.0,x,50.0,--,S,--,130.0,--,0.5,--,"Puppis A, MSH 08-44"
G261.9+05.5,9,2,20,-,38,30,40.0,x,30.0,--,S,--,10.0,?,0.4,?,--
G263.9-03.3,8,32,30,-,45,35,255.0,x,--,--,C,--,1750.0,--,--,v,Vela (XYZ)
G272.2-03.2,9,5,15,-,51,50,15.0,x,--,?,S?,--,0.4,--,0.6,--,--
G279.0+01.1,9,56,0,-,53,0,95.0,x,--,--,S,--,30.0,?,0.6,?,--
G284.3-01.8,10,16,30,-,58,45,24.0,x,--,?,S,--,11.0,?,0.3,?,MSH 10-53
G286.5-01.2,10,33,50,-,59,26,26.0,x,6.0,--,S?,--,1.4,?,--,?,--
G289.7-00.3,10,59,10,-,60,2,18.0,x,14.0,--,S,--,6.2,--,0.2,?,--
G290.1-00.8,11,1,0,-,60,40,19.0,x,14.0,--,S,--,42.0,--,0.4,--,MSH 11-61A
G291.0-00.1,11,9,45,-,60,22,15.0,x,13.0,--,C,--,16.0,--,0.29,--,(MSH 11-62)
G292.0+01.8,11,22,20,-,59,0,12.0,x,8.0,--,C?,--,15.0,--,0.4,--,MSH 11-54
G293.8+00.6,11,32,40,-,60,37,20.0,x,--,--,C,--,5.0,?,0.6,?,--
G294.1-00.0,11,33,50,-,61,22,40.0,x,--,--,S,>,2.0,?,--,?,--
G296.1-00.5,11,48,40,-,62,17,37.0,x,25.0,--,S,--,8.0,?,0.6,?,--
G296.5+10.0,12,7,0,-,52,10,90.0,x,65.0,--,S,--,48.0,--,0.5,--,PKS 1209-51/52
G296.8-00.3,11,56,0,-,62,18,20.0,x,14.0,--,S,--,9.0,--,0.6,--,1156-62
G298.5-00.3,12,10,0,-,62,35,5.0,x,--,?,?,--,5.0,?,0.4,?,--
G298.6-00.0,12,11,0,-,62,20,12.0,x,9.0,--,S,--,5.0,?,0.3,--,--
G299.2-02.9,12,12,30,-,65,13,18.0,x,11.0,--,S,--,0.5,?,--,?,--
G299.6-00.5,12,19,0,-,62,52,13.0,x,--,--,S,--,1.0,?,--,?,--
G301.4-01.0,12,35,0,-,63,33,37.0,x,23.0,--,S,--,2.1,?,--,?,--
G302.3+00.7,12,42,55,-,61,52,17.0,x,--,--,S,--,5.0,?,0.4,?,--
G304.6+00.1,13,2,50,-,62,26,8.0,x,--,--,S,--,14.0,--,0.5,--,Kes 17
G308.1-00.7,13,34,10,-,62,49,13.0,x,--,--,S,--,1.2,?,--,?,--
G308.8-00.1,13,39,0,-,62,8,20.0,x,30.0,?,C?,--,15.0,?,0.4,?,--
G309.2-00.6,13,43,0,-,62,39,15.0,x,12.0,--,S,--,7.0,?,0.4,?,--
G309.8+00.0,13,47,0,-,61,50,25.0,x,19.0,--,S,--,17.0,--,0.5,--,--
G310.6-00.3,14,1,40,-,62,23,8.0,x,--,--,S,--,5.0,?,--,?,Kes 20B
G310.8-00.4,14,3,40,-,62,31,12.0,x,--,--,S,--,6.0,?,--,?,Kes 20A
G311.5-00.3,14,2,0,-,61,44,5.0,x,--,--,S,--,3.0,?,0.5,--,--
G312.4-00.4,14,9,20,-,61,29,38.0,x,--,--,S,--,45.0,--,0.36,--,--
G315.4-02.3,14,39,0,-,62,17,42.0,x,--,--,S,--,49.0,--,0.6,--,"RCW 86, MSH 14-63"
G315.4-00.3,14,32,10,-,60,23,24.0,x,13.0,--,?,--,8.0,--,0.4,--,--
G315.9-00.0,14,34,40,-,59,58,25.0,x,14.0,--,S,--,0.8,?,--,?,--
G316.3-00.0,14,37,40,-,59,47,29.0,x,14.0,--,S,--,20.0,?,0.4,--,(MSH 14-57)
G317.3-00.2,14,45,50,-,59,34,11.0,x,--,--,S,--,4.7,?,--,?,--
G318.2+00.1,14,51,0,-,58,51,40.0,x,35.0,--,S,>,3.9,?,--,?,--
G318.9+00.4,14,54,40,-,58,17,30.0,x,14.0,--,C,--,4.0,?,0.2,?,--
G320.4-01.2,15,10,30,-,58,58,35.0,x,--,--,C,--,60.0,?,0.4,--,"MSH 15-52, RCW 89"
G320.6-01.6,15,21,50,-,59,27,60.0,x,30.0,--,S,--,--,?,--,?,--
G321.9-01.1,15,19,50,-,58,2,28.0,x,--,--,S,>,3.4,?,--,?,--
G321.9-00.3,15,16,45,-,57,23,31.0,x,23.0,--,S,--,13.0,--,0.3,--,--
G322.5-00.1,15,19,30,-,56,55,15.0,x,--,--,C,--,1.5,--,0.4,--,--
