Seq,GLON,GLAT,RAh,RAm,DE-,DEd,DEm,Diam1,Diam2,Area,Color,Bright,ID,Name
732,157.08,32.78,8,4,+,60,10,25,5,0.028,2,6,23,--
733,157.48,32.66,8,3,+,59,50,35,7,0.049,2,6,23,--
734,157.58,-20.59,3,23,+,31,30,10,2,0.002,3,4,0,DG  14
735,157.62,-3.9,4,18,+,44,15,4,4,0.003,4,6,0,S 214
736,157.76,-8.9,4,0,+,40,30,210,120,4.852,2,6,0,--
737,157.77,2.28,4,45,+,48,28,1,1,0.001,2,3,0,DG  45
738,158.14,-13.85,3,45,+,36,30,300,120,7.51,3,6,54,--
739,158.22,5.92,5,4,+,50,16,8,5,0.009,1,5,0,--
740,158.25,-21.08,3,24,+,30,44,20,10,0.039,1,5,0,--
741,158.31,-20.44,3,26,+,31,13,9,7,0.014,1,3,0,NGC 1333
742,158.62,0.7,4,41,+,46,40,55,30,0.26,3,5,35,--
743,158.71,-33.88,2,53,+,20,0,140,70,1.951,2,5,66,--
744,158.73,0.83,4,42,+,46,40,50,15,0.151,3,4,35,S 216
745,159.17,3.33,4,55,+,47,56,9,9,0.012,3,3,0,S 217
746,159.31,-21.67,3,26,+,29,40,10,10,0.007,1,4,0,DG  16
747,159.33,2.55,4,52,+,47,19,2,2,0.001,3,3,0,S 219
748,159.39,-14.36,3,48,+,35,20,40,30,0.303,1,4,54,--
749,159.59,-18.51,3,36,+,32,0,150,60,1.82,2,6,62,--
750,159.84,12.5,5,45,+,52,30,90,20,0.408,3,6,34,S 218
751,159.9,11.58,5,40,+,52,0,160,20,0.88,4,6,34,--
752,159.95,-11.9,3,58,+,36,50,300,60,2.842,3,4,54,--
753,160.07,-35.54,2,53,+,18,0,100,60,1.056,2,6,66,--
754,160.09,1.93,4,52,+,46,20,60,15,0.166,4,6,0,S 221
755,160.16,0.97,4,48,+,45,40,12,6,0.015,4,6,0,--
756,160.18,-12.15,3,58,+,36,30,160,40,0.982,3,1,54,NGC 1499
757,160.45,-15.24,3,49,+,34,0,45,15,0.158,3,6,54,--
758,160.47,-17.86,3,41,+,31,59,10,10,0.011,2,2,62,IC  348
759,161.3,3.18,5,2,+,46,10,90,30,0.716,3,6,0,--
760,161.45,14.78,6,3,+,52,10,25,15,0.092,1,6,0,--
761,161.59,-20.85,3,36,+,29,0,140,30,0.119,2,6,0,--
762,161.73,-35.81,2,57,+,17,0,30,30,0.158,2,5,66,--
763,162.83,-31.84,3,10,+,19,40,25,12,0.081,2,6,0,--
764,163.16,12.53,5,55,+,49,40,40,10,0.118,3,6,50,--
765,163.76,12.22,5,55,+,49,0,50,20,0.181,3,6,50,--
766,165.14,-8.51,4,28,+,35,20,3,3,0.002,1,4,0,--
767,165.38,-8.73,4,28,+,35,20,3,3,0.002,1,4,0,NGC 1579
768,165.93,2.44,5,14,+,42,0,70,10,0.187,4,4,0,S 223
769,166.16,4.52,5,24,+,43,0,20,3,0.011,4,5,0,S 224
770,166.39,-23.63,3,43,+,24,0,90,90,1.042,1,3,64,--
771,166.39,-23.63,3,43,+,24,0,60,40,0.834,1,1,64,NGC 1432
772,166.39,-23.63,3,43,+,24,0,180,180,4.113,1,5,64,--
773,166.92,-25.2,3,40,+,22,30,150,120,5.739,1,6,64,DG  20
774,167.05,-21.26,3,52,+,25,20,180,30,1.116,1,3,64,--
775,167.58,-19.18,4,0,+,26,30,50,20,0.243,3,6,64,--
776,167.67,-22.55,3,50,+,24,0,200,60,3.046,1,6,64,--
777,168.1,-19.04,4,2,+,26,15,20,18,0.074,3,4,64,DG  26
778,168.13,2.97,5,23,+,40,30,10,3,0.014,4,5,0,S 225
779,168.34,-20.57,3,58,+,25,0,150,60,2.708,3,6,64,--
780,168.49,-0.89,5,8,+,37,58,2,2,0.002,4,3,0,S 226
781,168.71,0.89,5,16,+,38,50,30,20,0.065,4,5,0,S 227
782,169.02,-15.54,4,16,+,28,5,15,10,0.032,2,5,0,IC  359
783,169.24,-0.94,5,10,+,37,20,10,8,0.015,3,5,116,--
784,169.24,-0.94,5,10,+,37,20,2,2,0.002,3,1,116,S 228
785,169.3,-14.89,4,19,+,28,20,5,5,0.011,3,4,0,DG  30
786,170.0,-18.29,4,10,+,25,30,180,100,2.669,3,4,64,IC  360
787,171.1,0.22,5,20,+,36,30,180,20,1.134,4,6,57,--
788,171.88,-15.66,4,24,+,25,59,5,2,0.002,3,4,64,C 33
789,171.92,3.27,5,35,+,37,30,120,30,0.986,4,6,0,--
790,172.02,30.47,7,54,+,47,20,30,10,0.103,2,6,0,--
791,172.07,-2.72,5,11,+,34,0,100,30,0.493,3,3,57,--
792,172.09,-9.72,4,45,+,29,42,10,6,0.018,1,4,0,--
793,172.09,-14.64,4,28,+,26,30,360,120,6.62,4,6,64,--
794,172.15,-0.01,5,22,+,35,30,55,10,0.173,3,3,57,--
795,172.16,-2.02,5,14,+,34,20,50,30,0.331,3,2,57,IC  405
796,172.56,-2.05,5,15,+,34,0,240,240,8.412,3,4,57,--
797,172.72,2.04,5,32,+,36,10,60,10,0.12,4,6,0,--
798,172.98,-7.37,4,56,+,30,29,8,5,0.011,1,4,0,DG  48
799,173.17,-17.99,4,20,+,23,30,140,10,0.423,3,5,64,--
800,173.19,-16.48,4,25,+,24,30,300,30,3.25,4,6,64,--
801,173.21,31.7,8,2,+,46,30,90,20,0.314,2,4,0,--
802,173.33,2.37,5,35,+,35,50,2,2,0.002,3,3,0,S 233
803,173.44,2.54,5,36,+,35,50,12,10,0.021,3,4,0,--
804,173.46,-0.16,5,25,+,34,20,13,10,0.014,3,2,57,IC  417
805,173.48,3.24,5,39,+,36,10,40,40,0.401,3,4,0,S 232
806,173.48,-13.73,4,35,+,26,5,4,2,0.002,3,5,64,DG  42
807,173.58,-1.75,5,19,+,33,20,40,30,0.194,3,2,57,IC  410
808,173.65,2.89,5,38,+,35,50,10,5,0.014,3,2,0,S 231
809,173.8,-5.83,5,4,+,30,46,2,2,0.001,4,5,0,DG  50
810,173.92,0.24,5,28,+,34,10,4,4,0.002,3,1,0,NGC 1931
811,173.96,30.38,7,55,+,45,40,60,10,0.06,2,4,0,--
812,174.03,-15.98,4,29,+,24,13,4,4,0.007,2,5,64,DG  37
813,174.12,-13.67,4,37,+,25,39,4,4,0.004,3,3,64,IC 2087
814,174.34,-17.75,4,24,+,22,50,10,6,0.014,1,2,64,C 34
815,174.71,-15.34,4,33,+,24,8,1,1,0.001,3,5,64,DG  40
816,175.28,-16.7,4,30,+,22,50,130,30,1.201,4,6,64,--
817,176.18,-20.82,4,19,+,19,30,7,7,0.002,3,2,0,NGC 1554
818,177.8,-0.23,5,36,+,30,40,22,10,0.053,3,5,0,DG  66
819,177.84,-20.28,4,25,+,18,40,150,20,1.215,4,6,69,--
820,178.55,-53.38,2,47,-,4,0,40,8,0.052,1,6,0,--
821,178.87,-20.16,4,28,+,18,0,6,3,0.002,3,3,69,S 239
822,180.05,-1.66,5,36,+,28,0,200,180,0.0,3,3,0,S 240
823,180.71,4.3,6,1,+,30,30,4,4,0.005,1,2,0,C 61
824,180.93,4.18,6,1,+,30,15,2,2,0.002,3,2,59,DG  85
825,181.0,4.13,6,1,+,30,10,10,10,0.014,4,5,59,--
826,182.3,0.07,5,48,+,27,0,7,7,0.011,3,3,0,S 242
827,182.41,0.27,5,49,+,27,0,10,10,0.014,3,3,0,DG  84
828,182.72,-28.39,4,11,+,10,5,5,5,0.011,1,3,0,DG  28
829,183.46,-33.3,3,57,+,6,30,22,10,0.042,4,4,79,--
830,183.99,-4.16,5,36,+,23,20,8,5,0.003,3,5,0,S 243
831,184.36,-28.85,4,13,+,8,40,30,15,0.089,1,6,80,--
832,184.36,-28.85,4,13,+,8,40,6,3,0.002,1,4,80,--
833,184.62,-5.65,5,32,+,22,0,8,4,0.003,3,1,0,NGC 1952
834,184.96,-29.26,4,13,+,8,0,140,25,0.926,4,6,0,--
835,185.03,-34.34,3,57,+,4,50,20,7,0.032,4,4,79,--
836,186.52,-34.66,3,59,+,3,40,80,12,0.352,4,4,79,--
837,186.8,-5.37,5,38,+,20,19,3,3,0.002,1,5,0,--
838,186.96,-16.62,4,59,+,14,0,90,30,0.722,3,6,0,S 246
839,187.35,-34.86,4,0,+,3,0,600,30,5.345,4,5,79,S 245
840,188.65,3.75,6,16,+,23,18,8,4,0.007,1,3,63,IC  444
841,188.69,4.25,6,18,+,23,30,50,40,0.634,3,5,63,S 249
842,188.71,-26.47,4,30,+,7,0,270,120,9.965,2,6,90,--
843,189.02,0.91,6,6,+,21,36,10,10,0.014,4,3,0,S 247
844,189.13,2.97,6,14,+,22,30,50,40,0.0,0,0,0,IC  443
845,189.33,4.4,6,20,+,23,0,40,30,0.391,3,4,0,DG 101
846,189.66,-24.95,4,37,+,7,10,10,4,0.007,3,5,91,S 250
847,189.67,-24.65,4,38,+,7,20,25,5,0.018,3,6,91,--
848,189.68,-14.57,5,12,+,12,58,2,2,0.002,2,5,73,--
849,189.78,-27.14,4,30,+,5,50,10,2,0.007,3,5,90,S 251
850,189.78,-13.76,5,15,+,13,20,5,3,0.003,3,2,73,--
851,189.78,-13.76,5,15,+,13,20,15,8,0.018,4,5,73,--
852,189.94,-26.94,4,31,+,5,50,10,10,0.025,4,6,90,--
853,189.99,-37.03,3,58,+,0,0,930,120,26.9,4,6,79,--
854,190.1,0.58,6,7,+,20,30,40,30,0.229,3,1,0,NGC 2175
855,191.42,-0.74,6,5,+,18,42,3,2,0.002,1,2,0,C 62
856,191.43,-52.2,3,10,-,9,25,15,15,0.056,3,4,0,--
857,192.05,-14.01,5,19,+,11,20,70,10,0.063,4,5,73,--
858,192.48,-0.21,6,9,+,18,2,10,10,0.025,3,5,0,S 254
859,192.63,-0.02,6,10,+,18,0,4,4,0.003,3,2,0,IC 2162
860,193.74,-22.66,4,53,+,5,20,40,4,0.011,3,5,0,S 260
861,194.03,-39.47,3,57,-,4,0,90,15,0.296,4,5,79,--
