OCL-197     437   NGC 6996        085.46 -00.47 20 54.7 +44 26  O-1133  21 00 +42  255 288
OCL-198     439   NGC 7044        085.87 -04.13 21 11.1 +42 17  O-1133  21 00 +42   95 172
OCL-199     441   Berkeley 56     086.04 -05.18 21 15.8 +41 41  O-1133  21 00 +42   50 138
OCL-200     443   Barhatova 1     086.20 +00.84 20 52.  +45 51  O- 533  20 58 +48  253  35
OCL-201     445   CR 428          086.21 -01.41 21 01.4 +44 23  O-1133  21 00 +42  194 284
OCL-202     447   NGC 6991        087.53 +01.39 20 55.0 +47 13  E- 533  20 58 +48  231 110
OCL-203     449   NGC 7039        087.96 -01.73 21 09.4 +45 27  O- 533  20 58 +48   88  15
OCL-204     451   IC 1369         089.59 -00.42 21 10.4 +47 32  O- 533  20 58 +48   87 130
OCL-205     453   NGC 7062        089.93 -02.72 21 21.4 +46 10  O- 589  21 32 +48  300  55
OCL-206     455   Berkeley 91     090.07 +00.13 21 10.0 +48 16  O- 533  20 58 +48   96 171
OCL-207     457   Berkeley 53     090.34 +03.66 20 55.0 +50 50  E- 533  20 58 +48  224 307
OCL-208     459   NGC 7067        091.19 -01.67 21 22.4 +47 48  O- 589  21 32 +48  289 142
OCL-209     461   NGC 7082        091.19 -02.95 21 27.6 +46 52  O- 589  21 32 +48  251  92
OCL-210     463   NGC 7031        091.32 +02.26 21 05.7 +50 38  O- 533  20 58 +48  131 295
OCL-211     465   NGC 7092        092.46 -02.28 21 30.4 +48 13  O- 589  21 32 +48  221 163
OCL-212     469   Berkeley 55     093.02 +01.84 21 15.1 +51 34  O- 598  20 54 +54   19  28
OCL-213     471   IC 5146         094.39 -05.50 21 51.5 +47 02  O- 589  21 32 +48   25 102
OCL-214     473   NGC 7086        094.41 +00.20 21 28.8 +51 22  O-1496  21 32 +54  225  10
OCL-215     475   NGC 7209        095.51 -07.34 22 03.2 +46 15  O- 599  22 06 +48  233  54
OCL-216     479   Barhatova 2     095.75 -01.51 21 42.5 +50 59  O- 589  21 32 +48  118 304
