MCG-06-03-030 *IC 1657   01 11 48 -32 56 12.   3   1 0.8   0.3  1  2.7   0.5    56 3  2.8   0.7   170      F   F   ;9#B  1                                                  S B      L                                                                                          2 2 16 1.8
MCG-06-04-001 *          01 15 06 -36 04 16.   3   1 0.04  0.04 2  0.7   0.4    4     1.4   1.2            N   N8  ; H                                                      S B      L                                                                              2 Q 3
MCG-06-04-002 *          01 15 06 -34 07 13.   3   1            2  0.8   0.7    5  1                           L   ;1SAF   , HPC                                                                                                                                                5 2 17 1.3
MCG-06-04-003 *          01 15 36 -36 36 15.   3   1               0.8   0.3    5  3  1.0   0.4     0   FC                                                                  S        L
MCG-06-04-004 *          01 16 06 -37 23 15.   3   1 0.15  0.1  1  0.6   0.3          1.3   0.7   110   E4                                                                  SO       L
MCG-06-04-005            01 17 00 -34 22 12.5  2   1 0.4   0.3  1                                       E
MCG-06-04-006 *          01 17 36 -33 22 14.   3   1 0.3   0.25 1  1.1   0.3    34 5  1.4   0.2     0          L   ;29A1                                                    SO :     L                                                                    1 2 007           2.0 1 2 17 0.7
MCG-06-04-007 *          01 17 42 -33 21 15.   3   1 0.2   0.2  2  0.6   0.6    46 1                           LP4 ; LB                                                                                                                                   1 D 006           2.0
MCG-06-04-008 *NGC  491A 01 17 54 -34 10 15.   3   1 0.15  0.1  3  2.0   0.5    46 3  2.3   1.0   102          L   ; LB                                    R  SX 7*         S 2      L
MCG-06-04-009 *          01 18 54 -36 23 14.   3   1 0.3   0.3  2  1.5   0.5    4  3  1.8   0.7   151          N3  ; DB                                                     S B      L
MCG-06-04-010 *          01 19 00 -36 45 14.5  2   1 0.15  0.15 1  0.6   0.6          1.2   0.8 1  50 1 E                                                                   SO       L
MCG-06-04-011 *NGC  491  01 19 06 -34 20 13.0  2   6 0.7   0.5  2  1.3   0.8          1.5   1.1    93   E4                                                 R  SBR32         S B      L   3899 185                     0.03 250 0.72 250                                         1 2 19 0.6
MCG-06-04-012 *          01 19 18 -36 49 15.   3   1            2  1.3   0.08   4  5  1.6   0.2   129   FB                                                                  S 2:     L
MCG-06-04-013 *          01 19 24 -33 24 14.5  2   1 0.4   0.4  1                     1.2   0.9         E                                                                   SO       L
MCG-06-04-014 *          01 19 48 -34 27 15.   3   1            1  0.5   0.3    2  2  1.6   0.4    12   FC                                                                  SA       L
MCG-06-04-015 *          01 20 54 -35 11 15.5  2   1            1  0.5   0.4    35 1  1.3   1.0    18 1 FCP                                                                 S B      L
MCG-06-04-016 *          01 21 00 -35 00 14.5  2   1 0.2   0.15 1  1.4   0.2    24 5  1.9   0.2    53   FB                                                                  S B:     L
MCG-06-04-017 *          01 21 06 -33 06 14.   3   1 0.5   0.3  2  1.2   0.6    36 3  1.7   0.8   126          L   ;22A                                                     S B      L                                                                                          1 2 19 0.8
MCG-06-04-018            01 21 36 -36 03 15.   3   1 0.1   0.1  2  0.5   0.5    4  1                           N   ; DB
MCG-06-04-019 *NGC  526A 01 21 42 -35 20 14.5  2   1 0.3   0.2  1               46                             N   ; HP                                                                  5400 143                     0.09 143 0.97 143                   1 2 020     B7    0.6
MCG-06-04-020 *NGC  526B 01 21 45 -35 20 14.5  2   1 0.3   0.2  1               46                             N   ; H                                                                                                                                    1 D 019     B7    0.6
MCG-06-04-021 *NGC  527A 01 21 48 -35 23 13.   3   1 1.0   0.25 1  1.6   0.3    5  3                    FA                                                                                                                                                1 2 022           0.8 1 2 19 1.4
MCG-06-04-022 *NGC  527B 01 21 48 -35 23 15.5  2   1            2  0.6   0.15   4  3                    FA                                                                                                                                                1 D 021           0.8
MCG-06-04-023            01 22 00 -35 00 13.   3   1 0.5   0.4  2  0.8   0.6    6  2                    FA
MCG-06-04-024            01 22 06 -37 37 14.   3   1            2  1.0   0.5    3  2                           L   ; DA    ;22A
MCG-06-04-025 *          01 22 18 -33 26 14.5  2   1 0.4   0.2  1  1.2   0.4    36 3  2.0   1.0   168          L   ;11A4                                                    S B      L                                                                                          1 2 16 1.8
MCG-06-04-026 *NGC  534  01 22 30 -38 25 14.   3   1 0.3   0.25 1  1.0   1.0    36 1  1.1   0.9 1 142 1        NE3 ; H                                                      SO       L                                                                    1 3 028           1.5
MCG-06-04-027            01 23 00 -33 42 15.   3   1            2  0.6   0.3    3  2                    FA
MCG-06-04-028 *NGC  544  01 23 00 -38 23 15.1  2 254 0.3   0.3  1  1.0   1.0    46    1.2   0.9 1              N   ; HP                                                     SO       L                                                                    1 T 029
MCG-06-04-029 *NGC  546  01 23 00 -38 22 14.8  2 254 0.3   0.2  1  1.1   0.4    4  3  1.8   0.7    35          NE3 ;2#A  1                                                  S B      L                                                                    1 T 026               2 2 19 1.0
