Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Bt,SBe,e1,e2,e3,e4,e5,B-Ve,e_B-Ve,gB-V,U-Be,e_U-Be,gU-B,V-Re,e_V-Re,gV-R,V-Ie,e_V-Ie,gV-I,Nap,LastA,Tphot,Mode,Q
IC4713,18,24,47.0,-,67,15,24,14.24,22.17,0.015,0.011,0.016,0.415,0.002,0.83,0.024,-0.187,0.18,0.027,9.99,--,9.99,9.99,--,9.99,9.99,13,0.03,10.1,1,2
IC4717,18,28,58.0,-,58,0,42,13.9,21.43,0.003,0.004,0.005,0.149,0.0,0.92,9.99,9.99,0.49,0.059,9.99,--,9.99,9.99,1.2,9.99,9.99,28,0.05,1.6,1,1
IC4718,18,29,21.0,-,60,10,0,13.85,21.19,0.011,0.012,0.013,0.46,0.002,0.91,0.038,-0.126,0.3,0.058,-0.198,--,9.99,9.99,--,9.99,9.99,11,0.05,0.5,1,2
IC4719,18,28,57.0,-,56,46,12,13.49,21.97,0.009,0.006,0.009,0.0,0.0,0.59,1.0,9.99,-0.06,1.0,9.99,--,9.99,9.99,--,9.99,9.99,8,0.03,8.1,0,2
IC4720,18,29,11.0,-,58,26,35,13.35,22.66,0.007,0.004,0.008,0.147,0.004,0.54,0.017,0.04,-0.11,0.072,0.089,--,9.99,9.99,1.52,9.99,9.99,34,0.05,5.9,1,2
IC4721,18,30,3.0,-,58,32,12,12.08,23.82,0.028,0.013,0.033,0.328,0.021,0.83,0.046,-0.179,0.17,0.053,-0.235,0.5,1.001,9.99,1.33,1.001,9.99,43,0.1,3.2,1,3
IC4722,18,30,13.0,-,57,49,54,13.67,22.95,0.01,0.005,0.012,0.161,0.005,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,34,0.12,5.3,1,2
IC4729,18,34,45.0,-,67,28,18,13.3,22.28,0.01,0.009,0.018,0.207,0.0,0.77,0.045,-0.17,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,12,0.05,8.6,1,2
IC4731,18,34,0.0,-,62,59,12,13.78,20.97,0.006,0.005,0.005,0.399,0.001,1.11,0.005,9.99,0.6,0.015,9.99,--,9.99,9.99,--,9.99,9.99,11,0.02,2.8,1,1
IC4734,18,34,8.0,-,57,32,6,14.04,21.44,0.003,0.003,0.004,0.096,0.0,0.91,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,27,0.09,2.1,1,1
IC4736,18,34,20.0,-,57,56,17,14.75,23.08,0.006,0.004,0.006,0.105,0.001,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,26,0.02,5.8,1,2
IC4741,18,36,55.0,-,63,59,48,13.53,22.01,0.019,0.009,0.012,0.0,0.0,0.96,1.0,9.99,0.44,1.0,9.99,--,9.99,9.99,--,9.99,9.99,9,0.1,1.9,0,2
IC4742,18,37,5.0,-,63,54,35,12.86,22.27,0.011,0.015,0.028,0.532,0.009,1.11,0.039,9.99,0.58,0.021,0.045,0.7,0.07,9.99,1.34,0.05,9.99,21,0.08,-3.1,1,2
IC4747,18,39,53.0,-,72,40,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4753,18,38,55.0,-,62,9,24,14.43,20.72,0.02,0.049,0.03,1.203,0.007,0.84,0.057,0.189,0.68,0.17,-0.549,0.67,0.109,9.99,1.47,0.351,-0.766,12,0.04,-5.0,1,2
IC4764,18,42,22.6,-,63,32,39,14.56,22.01,0.005,0.008,0.007,0.386,0.001,1.02,0.038,0.143,0.48,0.055,-0.148,0.57,0.062,9.99,1.22,9.99,9.99,10,0.11,-7.5,1,2
IC4765,18,42,34.6,-,63,23,3,12.09,23.32,0.011,0.031,0.066,0.528,0.013,1.12,0.006,0.021,0.55,0.032,0.077,0.54,0.029,-0.161,1.24,0.03,-0.181,29,0.28,-5.7,1,3
IC4766,18,42,52.5,-,63,20,48,15.03,21.81,0.017,0.014,0.013,0.0,0.0,1.05,0.015,9.99,0.48,0.071,9.99,--,9.99,9.99,--,9.99,9.99,9,0.08,-0.9,0,2
IC4767,18,42,57.2,-,63,27,35,14.14,22.85,0.012,0.026,0.03,0.636,0.005,1.0,0.07,-0.162,0.58,0.047,9.99,0.54,1.002,9.99,1.34,1.002,9.99,11,0.37,-13.2,1,2
IC4769,18,43,0.9,-,63,12,38,13.61,23.84,0.009,0.016,0.028,0.626,0.01,1.02,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.25,9.99,9.99,35,0.32,-10.2,1,2
IC4775,18,44,11.0,-,57,14,24,15.03,23.1,0.009,0.007,0.012,0.318,0.004,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,25,0.05,4.7,1,2
IC4785,18,48,32.0,-,59,19,0,12.81,23.44,0.016,0.026,0.048,0.524,0.009,0.89,0.107,-0.384,--,9.99,9.99,--,9.99,9.99,1.35,9.99,9.99,39,0.36,-7.7,1,3
IC4789,18,50,59.0,-,68,37,59,15.13,22.67,0.006,0.004,0.007,0.23,0.001,0.86,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,24,0.04,7.3,1,2
IC4796,18,52,24.0,-,54,16,47,13.13,21.47,0.02,0.012,0.017,0.583,0.004,0.99,0.007,-0.054,0.48,0.03,-0.177,--,9.99,9.99,--,9.99,9.99,15,0.07,-2.0,1,2
IC4797,18,52,25.0,-,54,22,18,12.19,20.83,0.003,0.007,0.009,0.463,0.0,1.02,0.006,-0.01,0.56,0.041,9.99,0.6,0.02,-0.038,1.26,0.023,-0.104,32,0.13,-8.8,1,2
IC4799,18,54,10.0,-,64,0,0,13.83,22.65,0.038,0.024,0.036,0.0,0.0,0.78,1.0,9.99,0.05,1.0,9.99,--,9.99,9.99,--,9.99,9.99,9,0.13,1.9,0,3
IC4800,18,54,1.0,-,63,12,24,13.49,22.83,0.024,0.038,0.063,0.992,0.013,0.96,1.0,9.99,0.41,1.0,9.99,--,9.99,9.99,--,9.99,9.99,11,0.15,-4.0,1,3
IC4806,18,57,15.0,-,57,36,11,12.78,22.07,0.049,0.018,0.038,0.529,0.015,0.83,0.047,-0.429,0.28,0.056,-0.501,--,9.99,9.99,1.29,9.99,9.99,38,0.09,1.4,1,3
IC4808,18,57,28.0,-,45,23,5,12.89,22.45,0.01,0.006,0.012,0.214,0.003,0.7,0.077,-0.237,--,9.99,9.99,--,9.99,9.99,1.41,9.99,9.99,38,0.1,2.4,1,2
IC4810,18,58,49.0,-,56,13,54,14.01,23.87,0.008,0.005,0.011,0.15,0.005,0.88,0.001,9.99,0.05,0.001,9.99,--,9.99,9.99,1.23,9.99,9.99,29,0.13,1.9,1,2
IC4814,19,0,40.0,-,58,39,17,14.68,22.14,0.007,0.005,0.008,0.226,0.001,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,29,0.03,5.0,1,2
IC4817,19,2,2.0,-,56,14,12,14.42,23.84,0.01,0.015,0.031,0.323,0.009,0.94,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.22,9.99,9.99,29,0.25,-1.6,1,2
IC4819,19,2,43.0,-,59,32,35,14.55,24.3,0.004,0.003,0.007,0.11,0.003,0.91,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,24,0.12,2.2,1,1
IC4820,19,4,31.0,-,63,32,41,14.69,24.14,0.016,0.012,0.024,0.0,0.0,0.87,9.99,9.99,0.06,0.165,9.99,--,9.99,9.99,--,9.99,9.99,9,0.12,7.0,0,2
IC4821,19,5,27.0,-,55,5,48,13.95,22.46,0.005,0.003,0.005,0.093,0.002,0.86,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,30,0.01,8.2,1,1
IC4827,19,8,53.0,-,60,56,41,12.6,22.03,0.018,0.008,0.014,0.457,0.011,0.95,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.22,9.99,9.99,26,0.15,-2.7,1,2
IC4830,19,9,28.0,-,59,22,48,13.02,22.22,0.009,0.005,0.009,0.142,0.003,0.93,0.03,9.99,0.32,0.04,9.99,--,9.99,9.99,1.17,9.99,9.99,36,0.07,3.4,1,2
IC4831,19,10,9.0,-,62,21,29,12.63,22.43,0.035,0.011,0.015,0.808,0.009,1.04,1.0,9.99,0.54,1.0,9.99,--,9.99,9.99,--,9.99,9.99,11,0.08,-0.7,1,3
IC4832,19,9,53.0,-,56,41,41,13.9,22.2,0.02,0.011,0.014,0.272,0.0,1.06,0.058,-0.118,0.46,0.029,-0.059,--,9.99,9.99,--,9.99,9.99,11,0.05,1.2,1,2
IC4836,19,11,53.0,-,60,17,17,12.76,22.6,0.035,0.044,0.133,0.534,0.014,0.65,0.01,-0.054,0.04,0.053,9.99,--,9.99,9.99,--,9.99,9.99,20,0.18,7.7,1,3
IC4837,19,11,11.0,-,54,45,0,13.13,21.77,0.041,0.015,0.027,0.566,0.002,0.51,0.004,-0.073,-0.15,0.026,9.99,--,9.99,9.99,--,9.99,9.99,26,0.03,5.9,1,3
IC4837A,19,11,14.0,-,54,13,12,12.29,22.41,0.008,0.006,0.007,0.24,0.002,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,10,0.06,-3.6,1,2
IC4838,19,12,15.0,-,61,42,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4839,19,11,31.0,-,54,42,47,13.06,22.61,0.005,0.004,0.009,0.099,0.002,0.89,0.02,-0.278,0.27,0.057,-0.435,--,9.99,9.99,1.15,9.99,9.99,49,0.04,7.2,1,2
IC4840,19,11,43.0,-,56,17,48,14.26,21.9,0.03,0.013,0.012,0.0,0.0,0.67,0.01,9.99,0.1,0.06,9.99,--,9.99,9.99,--,9.99,9.99,9,0.08,-0.9,0,2
IC4842,19,14,58.0,-,60,44,12,13.37,22.2,0.007,0.012,0.019,0.456,0.004,1.04,0.035,-0.159,0.44,0.031,0.121,0.62,0.056,-0.002,1.25,0.055,0.043,15,0.09,-2.0,1,2
IC4844,19,14,55.0,-,56,7,6,14.1,22.23,0.003,0.002,0.004,0.089,0.001,0.92,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,32,0.08,1.6,1,1
IC4845,19,15,58.0,-,60,28,59,12.03,20.83,0.015,0.033,0.042,1.013,0.004,0.74,0.021,0.128,0.18,0.019,-0.038,--,9.99,9.99,--,9.99,9.99,13,0.18,-14.9,1,3
IC4852,19,22,2.0,-,60,26,12,13.51,22.13,0.012,0.009,0.017,0.487,0.0,0.74,0.014,-0.132,0.05,0.026,0.034,--,9.99,9.99,--,9.99,9.99,23,0.03,4.8,1,2
IC4854,19,23,2.0,-,59,25,0,13.64,22.83,0.065,0.019,0.036,0.0,0.0,0.79,1.0,9.99,0.1,1.0,9.99,--,9.99,9.99,--,9.99,9.99,9,0.11,5.7,0,3
IC4857,19,24,22.0,-,58,52,18,13.52,23.16,0.011,0.019,0.057,0.245,0.011,0.61,0.095,-0.452,--,9.99,9.99,--,9.99,9.99,1.45,9.99,9.99,32,0.16,6.2,1,3
IC4862,19,26,38.0,-,67,25,48,14.68,23.07,0.013,0.005,0.011,0.288,0.006,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,25,0.07,3.9,1,2
IC4864,19,32,55.0,-,77,40,11,15.09,22.17,0.026,0.018,0.027,0.754,0.003,1.18,0.081,0.208,0.85,0.025,9.99,0.75,0.112,0.0,1.58,0.107,-0.075,10,0.09,0.8,1,3
IC4866,19,30,9.0,-,61,15,18,13.65,22.36,0.012,0.007,0.011,0.0,0.0,0.94,1.0,9.99,0.38,1.0,9.99,--,9.99,9.99,--,9.99,9.99,9,0.1,2.9,0,2
IC4870,19,32,48.0,-,65,55,30,14.22,21.04,0.049,0.016,0.012,0.0,0.0,0.08,0.04,9.99,-0.35,0.02,9.99,--,9.99,9.99,--,9.99,9.99,9,0.0,10.0,0,3
IC4872,19,31,31.9,-,57,37,48,13.95,23.75,0.016,0.006,0.015,0.197,0.011,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,24,0.08,5.3,1,2
IC4876,19,33,49.0,-,52,57,18,14.38,22.99,0.014,0.005,0.01,0.194,0.005,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,22,0.06,6.0,1,2
