ESO084-009 041345.7-625616 14.15  22.78   .015   .021   .036   .351   .001   .66  .021  9.990  9.99 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  10   .17   5.5 1 3
ESO084-026 043602.0-651430 14.10  20.98   .005   .012   .013  1.196   .010  1.02  .031   .113   .69  .040  -.170   .63  .031  9.990  1.26  .043  -.189  11   .06  -5.0 1 2
ESO084-027 043631.0-644023 15.31  23.57   .025   .035   .058   .000   .000  1.24 1.000  9.990   .39 1.000  9.990  9.99 9.990  9.990  9.99 9.990  9.990   7   .23  -2.0 0 3
ESO084-033 043830.0-641818 14.03  22.05   .004   .004   .006   .123   .001   .90 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  29   .06   3.0 1 1
ESO084-034 043957.0-631206 14.66  23.90   .004   .008   .015   .258   .005   .98 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.23 9.990  9.990  25   .28  -5.4 1 2
ESO085-002 044617.0-630705 15.18  22.29   .004   .004   .004   .161   .000   .90 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  28   .03   2.9 1 1
ESO085-005 044749.0-633259   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .009   .00  .000   .000   0   .00    .0 0 0
ESO085-030 050105.0-632147 14.50  21.57   .003   .003   .002   .159   .001   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  33   .01   5.8 1 1
ESO085-038 050356.0-633854 13.47  22.47   .005   .005   .011   .161   .001   .71  .031   .084  9.99 9.990  9.990  9.99 9.990  9.990  1.36 9.990  9.990  40   .10   5.2 1 2
ESO086-062 060847.0-654312 13.79  22.95   .054   .021   .057   .355   .012  1.12  .025  -.068   .29  .112  -.636   .57  .047  -.078  1.09  .122  -.398  13   .04   6.3 1 3
ESO087-003 061816.0-655942 14.16  22.58   .003   .002   .004   .075   .001   .96 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.23 9.990  9.990  23   .16  -3.8 1 1
ESO087-014 062236.0-625623   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .007   .00  .000   .000   0   .00    .0 0 0
ESO087-028 063255.0-625711 14.44  23.80   .004   .011   .017   .180   .001  1.05  .055  -.252   .27  .246  -.839   .74  .062   .119  1.55  .063  9.990  12   .36 -15.6 1 2
ESO087-035 064245.0-661041   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .006   .00  .000   .000   0   .00    .0 0 0
ESO087-050 065334.0-630911 16.15  23.77   .007   .004   .007   .155   .002   .91 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  19   .10   2.3 1 2
ESO088-017 072851.0-664730 13.55  21.89   .004   .004   .006   .144   .001   .92 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  32   .05   1.4 1 1
ESO089-012 080927.0-644712 14.52  22.13   .003   .004   .006   .207   .001   .99 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.24 9.990  9.990  22   .37  -6.7 1 6
ESO090-009 085458.0-671529 14.05  21.78   .002   .001   .003   .035   .000   .85 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.17 9.990  9.990  23   .13   8.8 1 6
ESO090-015 090112.0-644224 14.38  21.43   .003   .003   .005   .000   .000   .90 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  17   .31   3.1 0 6
ESO097-013 140918.0-650618 10.66  23.71   .058   .021   .050   .964   .037  1.49  .010  9.990   .85  .070  9.990   .06 9.990  9.990   .69 9.990  9.990  12   .38  -2.9 1 3
