Dataset,Rres,e_Rres,Nmeas,Wres,e_Wres,o_Wres,Bcorr,Vcorr,Rcorr,Icorr,Ucorr,WG,WZ,Ngal,WD
BFW-78,-0.16,0.02,2.0,-0.02,0.06,39.6,0.0,0.0,0.0,0.0,0.0,0.75,1.0,64,1.0
DAK-78,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
DDT-78,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1,1.0
ESO-78,0.08,0.46,118.0,0.02,0.25,103.6,0.02,0.02,0.0,0.0,0.01,0.2,1.0,60,1.0
GRD-78,-0.06,0.07,74.0,-0.06,0.07,72.1,-0.06,-0.08,-0.06,-0.05,0.0,1.0,1.0,17,1.0
KEE-78,-0.14,0.33,51.0,-0.12,0.14,35.5,-0.08,-0.09,0.0,0.0,-0.08,0.25,1.0,53,1.0
LBE-78,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,2,1.0
MPG-78,0.0,0.0,0.0,-0.01,0.08,6.9,0.0,0.0,0.0,0.0,0.0,0.65,1.0,2,1.0
OPO-78,0.08,0.23,5.0,0.03,0.19,3.4,0.01,0.05,0.04,0.0,-0.02,0.3,0.8,2,1.0
OPW-78,0.22,0.21,9.0,0.16,0.14,7.1,0.07,0.07,0.07,0.0,0.07,0.45,0.65,5,1.0
PER-78,0.08,0.11,9.0,0.08,0.11,9.0,0.04,0.04,0.0,0.0,0.0,0.55,1.0,1,1.0
PUS-78,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1,1.0
RFS-78,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
SS1-78,0.01,0.09,31.0,-0.0,0.19,23.8,-0.0,0.02,-0.02,0.0,0.07,0.35,1.0,25,1.0
SS2-78,0.05,0.13,11.0,0.09,0.03,10.0,0.05,0.03,0.0,0.0,0.07,0.9,1.0,13,1.0
SS3-78,-0.01,0.08,8.0,-0.02,0.06,7.0,0.0,-0.02,-0.03,0.0,-0.01,0.8,1.0,9,1.0
SSW-78,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,2,1.0
SVI-78,-0.01,0.11,606.0,-0.02,0.05,492.8,-0.02,0.01,0.0,0.0,0.03,0.92,1.0,403,1.0
TOM-78,0.03,0.48,51.0,-0.02,0.31,28.2,0.0,0.03,0.0,0.0,-0.02,0.11,1.0,88,1.0
TTH-78,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
TWG-78,0.08,0.0,1.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,8,1.0
WDA-78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,2,1.0
DOR-79,0.07,0.15,13.0,-0.01,0.16,8.6,0.0,0.0,0.02,0.0,0.02,0.45,0.7,38,1.0
DOT-79,-0.19,0.35,84.0,-0.22,0.3,64.9,-0.19,-0.23,0.0,0.0,-0.2,0.25,0.8,23,1.0
FOW-79,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
FRE-79,-0.01,0.01,2.0,-0.01,0.01,2.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
GAL-79,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
GRV-79,-0.32,0.12,6.0,-0.31,0.11,5.8,-0.07,-0.07,0.0,0.0,-0.07,0.6,0.65,1,1.0
HUC-79,-0.09,0.03,5.0,-0.05,0.03,5.0,-0.05,-0.07,-0.05,0.0,-0.05,1.0,1.0,5,1.0
KIN-79,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,5,1.0
LOS-79,0.01,0.04,40.0,0.01,0.08,35.5,0.01,0.01,0.0,0.0,-0.01,0.45,1.0,26,1.0
LYU-79,-0.01,0.42,26.0,-0.11,0.43,19.4,-0.02,0.01,0.0,0.0,-0.04,0.3,0.45,3,1.0
MIL-79,-0.11,0.21,7.0,-0.2,0.12,4.7,-0.05,-0.05,0.0,0.0,-0.05,0.4,0.45,1,1.0
MI2-79,-0.21,0.36,6.0,-0.09,0.24,5.1,-0.05,-0.05,0.0,0.0,-0.05,0.2,1.0,1,1.0
PFA-79,0.03,0.04,280.0,0.03,0.03,266.0,0.03,0.02,-0.02,0.0,0.02,1.0,1.0,106,1.0
QUH-79,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,5,1.0
ROG-79,-0.21,0.55,7.0,-0.16,0.55,3.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,8,1.0
TOM-79,0.06,0.29,22.0,0.05,0.17,11.0,0.01,-0.03,0.0,0.0,-0.11,0.2,1.0,60,1.0
WEG-79,0.0,0.17,578.0,0.01,0.04,462.3,0.0,-0.01,0.0,0.0,0.03,0.6,1.0,262,1.0
BIP-80,-0.04,0.19,192.0,-0.01,0.08,146.8,0.0,-0.02,0.0,0.0,-0.01,0.39,1.0,56,1.0
COR-80,0.0,0.03,10.0,0.0,0.03,9.8,0.0,-0.01,0.0,0.0,-0.02,1.0,1.0,40,1.0
GFB-80,0.07,0.14,7.0,0.04,0.14,4.7,0.06,0.04,0.04,0.0,0.0,0.4,0.85,4,1.0
GRI-80,-0.01,0.04,151.0,-0.01,0.03,147.5,0.0,0.0,0.0,0.0,0.02,1.0,1.0,251,1.0
HUC-80,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
LER-80,0.3,0.3,9.0,0.18,0.2,4.2,0.05,0.05,0.05,0.0,0.0,0.25,0.6,4,1.0
MWW-80,0.15,0.18,5.0,0.15,0.18,4.8,0.05,0.05,0.05,0.05,0.05,0.35,0.5,1,1.0
PEH-80,0.13,0.06,4.0,0.13,0.06,4.0,0.05,0.05,0.0,0.0,0.0,0.95,0.95,1,1.0
PER-80,0.1,0.04,4.0,0.1,0.04,4.0,0.05,0.05,0.0,0.0,0.0,1.0,1.0,1,1.0
PES-80,-0.07,0.22,40.0,-0.07,0.13,35.3,-0.07,-0.07,0.0,0.0,0.0,0.45,1.0,11,1.0
PUS-80,0.18,0.16,4.0,0.14,0.15,3.2,0.05,0.05,0.05,0.0,0.05,0.35,1.0,2,1.0
ROM-80,0.05,0.23,23.0,0.03,0.12,18.8,0.0,0.0,-0.04,0.0,-0.02,0.4,1.0,36,1.0
ROV-80,0.1,0.07,7.0,0.09,0.06,6.6,0.05,0.02,0.02,0.0,0.03,0.8,1.0,8,1.0
SCH-80,-0.32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
SMY-80,0.0,0.02,48.0,-0.03,0.04,47.2,-0.03,-0.02,-0.03,0.0,-0.01,1.0,1.0,15,1.0
TOM-80,0.15,0.28,31.0,0.02,0.09,13.4,0.01,-0.03,0.0,0.0,-0.01,0.25,1.0,60,1.0
AAM-81,0.08,0.04,8.0,0.08,0.04,8.0,0.08,0.06,0.0,0.0,0.0,1.0,1.0,2,1.0
BDK-81,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,7,1.0
BEL-81,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
BOR-81,-0.14,0.25,28.0,-0.04,0.12,18.1,-0.02,-0.01,0.0,0.0,0.0,0.35,1.0,18,1.0
BUH-81,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.04,0.04,0.0,0.0,0.6,1.0,3,1.0
CTB-81,0.09,0.12,5.0,0.11,0.13,4.2,0.05,0.03,0.0,0.0,0.0,0.45,1.0,8,1.0
DAA-81,0.05,0.17,13.0,0.07,0.17,12.9,0.04,0.02,0.0,0.0,-0.02,0.35,1.0,9,1.0
DIB-81,0.39,0.42,6.0,0.23,0.47,5.6,0.16,0.16,0.16,0.0,0.0,0.1,1.0,30,1.0
DOT-81,0.07,0.18,21.0,0.05,0.17,19.9,0.05,0.06,0.05,0.0,0.06,0.4,0.9,34,1.0
ESO-81,0.08,0.18,56.0,0.08,0.13,51.3,0.06,0.06,0.0,0.0,0.08,0.55,0.7,51,1.0
GHK-81,0.07,0.04,3.0,0.07,0.04,2.8,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
HLG-81,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
HUF-81,-0.01,0.16,9.0,-0.02,0.17,8.6,0.0,-0.02,-0.01,0.08,0.0,0.45,0.55,23,1.0
KIH-81,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,1.0
MOU-81,0.03,0.13,18.0,0.02,0.11,17.1,0.0,-0.02,0.0,0.0,-0.02,0.45,1.0,13,1.0
PFB-81,0.11,0.14,25.0,0.13,0.13,20.3,0.1,0.04,0.0,0.0,0.04,0.35,1.0,36,1.0
THR-81,0.0,0.13,24.0,0.03,0.06,19.2,0.01,-0.04,-0.02,0.0,0.04,0.9,1.0,19,1.0
VGM-81,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
WIR-81,0.19,0.18,12.0,0.06,0.1,5.3,0.06,0.06,0.06,0.0,0.0,0.4,1.0,12,1.0
ARK-82,0.18,0.44,12.0,0.17,0.23,9.6,0.02,-0.01,0.0,0.0,-0.0,0.2,0.65,18,1.0
BOT-82,-0.02,0.19,105.0,-0.03,0.08,96.0,-0.03,-0.02,0.0,0.0,-0.02,0.7,1.0,255,1.0
BUT-82,0.0,0.09,67.0,0.0,0.1,68.9,0.0,0.01,-0.01,0.0,0.0,0.6,1.0,8,1.0
BRS-82,0.07,0.16,29.0,0.07,0.07,22.0,0.07,0.04,0.0,0.0,0.1,0.75,1.0,14,1.0
COR-82,-0.03,0.17,160.0,-0.02,0.14,130.5,-0.03,-0.02,0.0,0.0,-0.03,0.35,0.85,80,1.0
FBS-82,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
FMA-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.0,4,1.0
GAV-82,0.05,0.21,96.0,0.05,0.15,88.2,0.06,0.09,0.0,0.0,0.08,0.5,0.9,51,1.0
GRI-82,0.0,0.05,32.0,0.01,0.06,29.2,0.0,0.0,0.0,0.0,0.0,0.95,1.0,32,1.0
GHJ-82,0.01,0.13,139.0,0.0,0.09,126.6,0.0,-0.01,0.0,0.0,0.01,0.9,0.95,60,1.0
JET-82,-0.09,0.03,2.0,-0.09,0.03,2.0,0.0,0.0,0.0,0.0,0.0,0.65,1.0,1,1.0
MIC-82,0.02,0.08,223.0,0.0,0.05,196.9,0.0,0.01,0.0,0.0,0.03,0.9,1.0,46,1.0
MUH-82,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
PER-82,0.03,0.11,323.0,0.01,0.14,312.2,0.01,0.0,0.0,0.0,0.0,0.5,0.8,77,1.0
