Dataset,Bibcode,Text
BLA-83,1982MNRAS.202..379B,"Blackman, C.P. 1982 MNRAS 202, 379"
BSS-83,1983ApJ...274...39B,"Boroson, T.A., Strom, K.M., Strom, S.E. 1983 ApJ 274, 39"
CWH-75,...................,"Chincharini, G., Walker, M.F., unpublished, quoted in LdV"
GBD-77,1977Obs....97..238G,"Godwin, J.C., Bucknell, M.J., Dixon, K.L., Green, M.R., Peach, F.V., Wallis, R.E., 1977, Observatory 97, 238"
PAW-67,1967ApJ...147..394P,"Pacholczyk, A.G., Wisniewski, W.Z. 1967 ApJ 147, 394"
POU-89,1989Priv..........P,"Poulain, P., private communication, included in PON-94"
POU-90,1990Priv..........P,"Poulain, P., private communication, included in PON-94"
PPN-71,1971MNRAS.153...29P,"Penston, M.V., Penston, M.J., Neugebauer, G., Tritton, K.P., Becklin, E.E., Visvanathan, N. 1971, MNRAS 153, 29"
PRU-97,1998.in.prep......P,"Prugniel, Ph. 1997 in preparation"
SSJ-77,1977ApJ...212..335S,"Strom, S.E., Strom, K.M., Jensen, E.B., Moller, J., Thompson, L.A., Thuan, T.S. 1977, ApJ 212, 335"
SSW-78,1978ApJ...220...62S,"Strom, K.M., Strom, S.E., Wells, D.C., Romonishin, W. 1978, ApJ 220, 62"
UKL-75,1975ApJ...198..261U,"Ulrich, M. H., Kinman, T.D., Lynds, C.R., Riecke, G.H., Ekers, R.D. 1975, ApJ 198, 261"
MDV-01,1978AJ.....83.1331M,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-02,1978AJ.....83.1331M,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-03,1978AJ.....83.1331M,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-04,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-05,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-06,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-07,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-08,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-09,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-10,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-11,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-12,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-13,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-14,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-15,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-16,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-17,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-18,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-19,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-20,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-21,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-22,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-23,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-24,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-25,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-26,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-27,1978AJ.....83.1331D,"McDonald (1960-1976), de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G. 1978, AJ 83, 1331"
MDV-28,...................,"McDonald (1977-1982), Unpublished observations, quoted in LdV"
MDV-29,...................,"McDonald (1977-1982), Unpublished observations, quoted in LdV"
MDV-30,...................,"McDonald (1977-1982), Unpublished observations, quoted in LdV"
MDV-31,...................,"McDonald (1977-1982), Unpublished observations, quoted in LdV"
MDV-32,...................,"McDonald (1977-1982), Unpublished observations, quoted in LdV"
MDV-33,...................,"McDonald (1977-1982), Unpublished observations, quoted in LdV"
MDV-34,...................,"McDonald (1977-1982), Unpublished observations, quoted in LdV"
MDV-35,...................,"McDonald (1977-1982), Unpublished observations, quoted in LdV"
MDV-28,...................,"McDonald (1977-1982), Unpublished observations, quoted in LdV"
MDB-01,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-02,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-03,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-04,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-05,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-06,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-07,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-08,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-09,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-10,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-11,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-12,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-13,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-14,1986ApJS...62..255B,"Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255, McDonald 1980.07"
MDB-15,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-16,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-17,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-18,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDB-19,1986ApJS...62..255B,"McDonald, unpublished observations by R. Buta, quoted in LdV, Buta, R.J., Corwin, H.G. Jr., 1986, ApJS 62,255"
MDS-01,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
MDS-02,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
MDS-03,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
