MCG,n_MCG,OtherName,RAh,RAm,DE-,DEd,DEm,Mag,MajAxisIn,MinAxisIn,MajAxis,MinAxis,IntIn,IntOut,Incl
MCG-03-58-001,--,NGC 7365,22,42.45,-,20,15,14.0,4.0,3.0,6.0,5.0,1,5,2
MCG-03-58-002,--,--,22,43.3,-,19,41,15.0,1.0,1.0,17.0,3.0,2,4,4
MCG-03-58-003,--,--,22,45.05,-,17,37,14.0,2.0,1.5,10.0,4.0,1,3,2
MCG-03-58-004,--,--,22,45.2,-,17,21,15.0,2.0,1.5,12.0,1.5,1,4,5
MCG-03-58-005,--,NGC 7381,22,46.4,-,19,59,15.0,2.0,1.5,6.0,4.0,2,5,2
MCG-03-58-006,--,--,22,46.45,-,16,51,15.0,--,--,3.0,2.0,--,1,2
MCG-03-58-007,*,--,22,46.9,-,19,34,15.0,2.5,1.5,5.0,4.0,1,3,2
MCG-03-58-007a,--,--,22,47.4,-,20,1,14.0,--,--,6.0,3.0,1,2,2
MCG-03-58-008,--,--,22,49.6,-,15,10,14.0,3.5,3.0,--,--,1,--,--
MCG-03-58-009,--,--,22,51.0,-,17,47,15.0,--,--,9.0,6.0,3,4,2
MCG-03-58-010,--,--,22,51.4,-,15,34,16.0,1.5,1.5,5.0,1.5,1,5,3
MCG-03-58-011,*,--,22,51.5,-,15,32,15.0,3.0,2.0,6.0,5.0,2,5,2
MCG-03-58-012,*,--,22,52.3,-,16,26,14.0,3.0,1.0,13.0,9.0,1,5,1
MCG-03-58-013,--,--,22,53.7,-,16,52,14.0,--,--,8.0,3.0,--,1,3
MCG-03-58-014,--,--,22,54.75,-,18,10,14.0,4.0,2.0,8.0,4.0,1,6,2
MCG-03-58-015,--,--,22,57.65,-,16,45,15.0,--,--,5.0,5.0,3,4,1
MCG-03-58-016,--,--,22,57.8,-,15,39,15.0,--,--,5.0,2.0,--,2,2
MCG-03-58-017,--,--,22,57.8,-,15,7,15.0,--,--,4.0,4.0,--,3,1
MCG-03-59-001,--,--,23,9.0,-,15,43,15.0,--,--,13.0,1.0,3,4,5
MCG-03-59-002,--,--,23,11.65,-,19,15,16.0,--,--,4.0,4.0,2,4,1
MCG-03-59-003,--,--,23,14.55,-,18,2,16.0,4.0,2.0,5.0,3.0,1,5,1
MCG-03-59-004,--,--,23,18.2,-,20,26,16.0,--,--,6.0,6.0,4,5,1
MCG-03-59-005,--,--,23,19.2,-,17,0,15.0,2.0,2.0,5.0,5.0,1,3,--
MCG-03-59-006,*,--,23,21.0,-,19,19,14.0,--,--,6.0,4.0,2,4,1
