RPZM 2-48      |          | 17 45.5 -29 45 |359.30 -00.41|     |IRAS 17423-2943
RWT 152        |*219+ 7 1 | 07 29.9 -02 06 |219.24 +07.58| * ? |
Sa 1-4         |*330- 2 2 | 16 15.4 -53 52 |330.22 -02.16|     |Sa 2-138,ESO 178-16,Wray 15-1441
Sa 2-4         |*225- 2 1 | 07 06.7 -11 46 |225.13 -02.00| U   |
Sa 2-18        |*252- 4 1 | 07 53.0 -36 44 |252.09 -04.79|     |ESO 369-02
Sa 2-202       |*346- 4 1 | 17 29.2 -42 32 |346.72 -04.47| H2? |
Sa 3-43        |*355+ 4 1 | 17 17.9 -30 02 |355.79 +04.45| U   |
Sa 3-96        |* 13+ 5 1 | 17 55.8 -15 03 |013.16 +05.07| H   |
Sh 1-118       | 118+ 2 1 | 00 07.6 +64 58 |118.32 +02.48| H2? |ARO 197,VV' 1
Sh 2-216       |*158+ 0 1 | 04 45.0 +46 49 |158.58 +00.76| U   |Simeiz 288,YM 22
ShWi 2-2       |*358- 3 5 | 18 03.1 -29 46 |001.20 -03.70|     |
ShWi 2-4       |*358- 3 7 | 18 03.6 -29 46 |001.27 -03.81|     |
ShWi 2-6       |*358- 3 9 | 18 04.0 -29 27 |001.58 -03.72|     |
SMC 1          |          | 04 25.5 -66 47 |278.91 -38.87|     |
Sp 2-128       |*  7- 3 2 | 18 17.8 -24 03 |007.81 -03.84|     |ESO 522-13,Sa 3-128
SRWW 1         |          | 07 15.7 -01 53 |217.38 +04.53|     |IRAS 07131-0147
StWr 2-37      |*345-13 1 | 18 10.6 -48 26 |345.16 -13.68| U   |Sa 2-304
StWr 2-48      |*331-13 1 | 17 25.1 -59 32 |331.89 -13.13|     |Sa 2-193
TDC 2          |          | 18 49.5 -00 38 |032.15 +00.13|     |IR 32.150
Te   26        |          | 17 07.8 -25 04 |358.55 +09.16|     |
Te   29        |          | 17 08.3 -25 14 |358.49 +08.96|     |
Te   35        |          | 17 14.0 -24 49 |359.58 +08.15|     |
Te   40        |          | 17 16.8 -24 59 |359.80 +07.54|     |
Te   48        |          | 17 07.0 -29 38 |354.73 +06.60|     |
Te   67        |          | 17 22.9 -25 25 |000.23 +06.16|     |
Te   68        |          | 17 24.2 -28 47 |357.60 +04.02|     |
Te   69        |          | 17 24.7 -28 44 |357.69 +03.96|     |
Te  677        |          | 17 33.4 -27 34 |359.73 +03.01|     |
TeJu 14        |          | 17 18.3 -26 22 |358.85 +06.47|     |
Th 3-34        | 356- 0 1 | 17 37.8 -32 15 |356.29 -00.32| U   |ESO 455-27
Th 4-4         |   8+ 3 2 | 17 50.4 -19 54 |008.31 +03.73| * ? |ARO 260,ESO 589-10
V 348 Sgr      |          | 18 40.4 -23 00 |011.12 -07.98| **  |
V 1016 Cyg     |* 75+ 5 1 | 19 57.1 +39 50 |075.17 +05.68| **  |
V 1329 Cyg     |* 77- 5 1 | 20 51.0 +35 35 |077.83 -05.48| **  |HBV 475
V-V 1-2        | 151+ 2 1 | 04 20.0 +53 09 |151.21 +02.14| H   |ARO 212,Sh 2-207,VV' 26
V-V 1-4        | 197- 2 1 | 06 15.2 +12 22 |197.81 -02.25| H2? |ARO 177,Sh 2-271,VV' 40
V-V 3-4        |* 13- 4 2 | 18 30.6 -19 15 |013.45 -04.24| U   |ESO 591-05,Sa 2-341,V-V Anon. 1,IRAS 18276-1916
VBe 1          |*339- 0 1 | 16 45.5 -46 11 |339.12 -00.41|     |G 339.2-0.4
VBe 2          |*325- 1 1 | 15 51.3 -56 21 |325.99 -01.75|     |
VERA  90       |*336- 1 1 | 16 38.1 -48 43 |336.40 -01.15|     |
VERA 104       |*336- 2 1 | 16 42.1 -49 45 |336.05 -02.32|     |
