013.3+32.7 |ESO-B.C+IDS 1985-08-03|b |     0.3 |     8.  |  1107.  |    15.  |   393.  |         |         |
013.4-03.9 |ESO-B.C+CCD 1989-05-28|b |    13.  |         |   725.  |    35.  |   600.  |  1159.  |    75.  |   107.
013.7-10.6 |ESO-B.C+CCD 1989-05-31|b |     5.  |     4.  |   883.  |    22.  |   437.  |         |         |
013.8-02.8 |ESO-B.C+CCD 1989-05-31|b |         |         |   393.  |         |   650.  |  3780.  |   207.  |   207.
013.8-07.9 |ESO-B.C+IDS 1986-07-11|b |    98.  |    16.  |   654.  |     6.  |   419.  |         |         |
014.0-05.5 |ESO-B.C+IDS 1984-04-27|b |    29.  |    37.  |  1075.  |    48.  |   719.  |    28.  |         |
014.2+04.2 |ESO-B.C+CCD 1990-06-24|b |         |         |   357.  |   140.  |  2289.  |  1539.  |    78.  |    89.
014.2-07.3 |ESO-B.C+IDS 1985-08-03|b |         |     4.  |   665.  |    21.  |   492.  |    53.  |     0.4:|     1.0:
014.3-05.5 |ESO-B.C+CCD 1989-06-03|b |     6.  |    11.  |*  439.  |    28.  |   651.  |    93.  |     4.  |     7.
014.6-04.3 |ESO-B.C+IDS 1986-07-11|b |    21.  |    10.  |  1667.  |    23.  |   668.  |    37.  |     3.  |     5.
014.7-11.8 |ESO-B.C+CCD 1989-06-05|b |    96.  |         |   400.  |         |   400.  |         |         |
014.9+06.4 |ESO-B.C+CCD 1989-05-29|b |         |         |   724.  |         |   868.  |  1016.  |   184.  |   196.
014.9-03.1 |ESO-B.C+CCD 1990-06-21|b |         |         |         |    32.  |   875.  |   682.  |    76. :|    49. :
015.4-04.5 |ESO-B.C+IDS 1986-07-12|b |     4.  |     7.  |  1172.  |    27.  |   641.  |         |         |
015.6-03.0 |ESO-B.C+CCD 1989-05-31|b |         |         |  1404.  |         |  1165.  |  1687.  |         |
015.9+03.3 |ESO-B.C+IDS 1985-07-31|b |         |         |    69.  |    40.  |  2380.  |  2667.  |    48.  |    93.
016.0+13.5 |ESO-B.C+IDS 1986-07-10|a |         |         |   171. :|         |   100. :|         |         |
016.0-04.3 |ESO-B.C+IDS 1986-07-09|b |    23.  |     4.  |  1110.  |    23.  |   604.  |  1013.  |    46.  |    64.
016.1-04.7 |ESO-B.C+IDS 1986-07-11|b |    14.  |    13.  |  1988.  |    23.  |   617.  |   237.  |    13.  |    21.
016.4-01.9 |ESO-B.C+IDS 1984-04-26|b |     4.  |         |    56.  |    20.  |   650.  |   292.  |     8.  |    14.
016.9-02.0 |ESO-B.C+CCD 1989-05-30|b |         |         |  1675.  |    66.  |  1730.  |   611.  |    28.  |    44.
017.3-21.9 |ESO-B.C+CCD 1988-08-11|b |         |         |   318.  |         |   231.  |         |         |
017.6-10.2 |ESO-B.C+IDS 1985-08-03|b |    63. :|         |   365.  |         |   278.  |         |         |
017.7-02.9 |ESO-B.C+IDS 1986-07-09|b |    30.  |         |  1021.  |    24.  |   802.  |    57.  |     9.  |    16.
017.9-04.8 |ESO-B.C+IDS 1985-07-18|b |    73. :|         |   733.  |    44. :|   764.  |   146.  |         |
018.0+20.1 |ESO-B.C+IDS 1986-07-09|b |    16.  |     9.  |  1515.  |    20.  |   554.  |         |         |
018.6-02.2 |ESO-B.C+IDS 1985-07-19|b |    47. :|         |  1557.  |    36.  |  1671.  |         |         |     5. :
018.9+03.6 |ESO-B.C+IDS 1985-07-27|a |         |         |         |         |   100.  |    36.  |     2.3:|     2.2:
