286.3+02.8 |ESO-B.C+CCD 1988-03-14|b |    85.  |    11.  |   680.  |         |   421.  |         |         |
286.3-04.8 |ESO-B.C+IDS 1986-01-19|b |    80.  |    22.  |  1674.  |     4.  |   363.  |    24.  |     3.  |     4.
286.5+11.6 |ESO-B.C+CCD 1988-03-14|b |         |         |   739.  |         |   383.  |   293.  |         |
286.8-29.5 |ESO-B.C+CCD 1989-06-03|b |   138.  |         |   213.  |         |   338.  |         |         |
288.4+00.3 |ESO-B.C+IDS 1986-01-19|b |    58.  |         |  1873.  |    18.  |   707.  |  1316.  |   125.  |   116.
288.4-02.4 |ESO-B.C+IDS 1986-01-18|b |         |         |  1312.  |    20.  |   651.  |   887.  |    33.  |    41.
288.7+08.1 |ESO-B.C+IDS 1986-12-15|b |    83.  |         |   622.  |         |   218.  |         |         |
288.8-05.2 |ESO-B.C+IDS 1986-01-20|b |    41.  |         |  1187.  |    19.  |   529.  |   430.  |    53.  |    54.
288.9-00.8 |ESO-B.C+CCD 1988-03-12|b |         |         |    24.  |   138.  |   533.  |     9.  |         |
289.6-01.6 |ESO-B.C+IDS 1984-04-30|b |         |         |   489.  |         |  1509.  |   194.  |         |
289.8+07.7 |ESO-B.C+IDS 1986-01-18|b |    45.  |    15.  |  1132.  |    11.  |   370.  |    27.  |         |
290.1-00.4 |ESO-B.C+IDS 1986-01-23|b |    64.  |         |  1353.  |         |  1017.  |  6083.  |   237.  |   206.
290.5+07.9 |ESO-B.C+IDS 1986-01-18|b |     8.  |         |   714.  |    16.  |   367.  |    46.  |     6.  |     7.
291.4+19.2 |ESO-B.C+IDS 1986-01-23|b |   107.  |         |   466.  |         |   376.  |         |         |
291.6-04.8 |ESO-B.C+IDS 1986-01-22|b |    36.  |    18.  |  1604.  |    18.  |   492.  |   272.  |     5.  |     7.
291.7+03.7 |ESO-B.C+IDS 1984-04-28|b |         |         |    43.  |    13. :|   597.  |   370.  |    40.  |    45.
292.4+04.1 |ESO-B.C+IDS 1986-01-22|b |     3.  |         |   400.  |    19.  |   376.  |    68.  |     1.6 |     3.
292.6+01.2 |ESO-B.C+IDS 1986-01-20|b |    49.  |         |  1790.  |    12.  |   452.  |   869.  |    19.  |    18.
292.7+01.9 |ESO-B.C+CCD 1990-06-20|b |   132.  |         |   561.  |         |  1047.  |         |         |
292.8+01.1 |ESO-B.C+IDS 1986-01-19|b |    16.  |     6.  |  1414.  |    25.  |   640.  |   473.  |    19.  |    35.
293.6+01.2 |ESO-B.C+IDS 1986-01-19|b |    71.  |         |  1303.  |    37.  |   705.  |  4043.  |   216.  |   214.
293.6+10.9 |ESO-B.C+IDS 1986-12-14|b |         |         |  1391.  |         |   338.  |   209.  |         |
294.1+14.4 |ESO-B.C+CCD 1989-05-28|b |         |         |   882.  |         |   295.  |   341.  |         |
294.1+43.6 |ESO-B.C+IDS 1985-07-27|b |   112.  |         |   275.  |         |   323.  |         |         |
294.6+04.7 |ESO-B.C+IDS 1986-01-21|b |    16.  |    15.  |  1667.  |    15.  |   374.  |   194.  |     6.  |    10.
294.9-00.6 |ESO-B.C+IDS 1986-01-20|b |         |         |   920.  |         |   674.  |  1045.  |         |
294.9-04.3 |ESO-B.C+IDS 1984-04-28|b |         |         |   147.  |    20.  |   891.  |   515.  |     4.  |    10.
295.3-09.3 |ESO-B.C+IDS 1986-01-21|b |         |    10.  |   964.  |    17.  |   396.  |    77.  |     1.5 |     4.
296.3-03.0 |ESO-B.C+IDS 1986-01-18|b |    18.  |    10.  |  1842.  |    29.  |   809.  |   344.  |    13.  |    24.
296.4-06.9 |ESO-B.C+IDS 1984-04-28|b |         |         |    91.  |    11.  |   551.  |   198.  |     2.2 |     4.
296.6-20.0 |ESO-B.C+IDS 1986-01-22|b |    21.  |         |   755.  |    21.  |   377.  |   358.  |    42.  |    39.
297.4+03.7 |ESO-B.C+IDS 1984-04-29|b |         |         |    36.  |    16.  |   911.  |   548.  |    13.  |    18.
298.0+34.8 |ESO-B.C+CCD 1988-03-15|b |    34.  |   112.  |   354.  |    19.  |   333.  |         |         |
298.1-00.7 |ESO-B.C+IDS 1984-04-29|b |         |         |   579.  |   209.  |  4944.  |   586.  |   129.  |   147.
298.2-01.7 |ESO-B.C+IDS 1984-04-29|b |    74. :|         |  2119.  |    69.  |  1448.  |  3292.  |   240.  |   264.
298.3-04.8 |ESO-B.C+IDS 1985-07-27|b |    63. :|         |   786.  |         |   294.  |   259.  |    30. :|    24. :
299.0+18.4 |ESO-B.C+IDS 1986-12-16|b |         |         |  1259.  |         |   297.  |   135.  |         |
299.4-04.1 |ESO-B.C+CCD 1989-05-30|b |         |         |   231.  |         |   708.  |   300.  |         |
299.5+02.4 |ESO-B.C+IDS 1984-04-29|b |         |         |   807.  |         |   610.  |   486.  |    83.  |    82.
299.8-01.3 |ESO-B.C+IDS 1985-07-27|b |         |         |  1826.  |    60.  |  1638.  |  3361.  |         |
300.2+00.6 |ESO-B.C+IDS 1984-04-28|b |         |         |    57. :|    61.  |  3231.  |  3671.  |    87.  |   144.
300.4-00.9 |ESO-B.C+IDS 1986-01-18|b |         |         |  2481.  |    51.  |  1887.  |  3001.  |   225.  |   331.
300.5-01.1 |ESO-B.C+IDS 1986-01-19|b |    41.  |    10.  |  1736.  |    26.  |  1356.  |   328.  |    21.  |    35.
300.7-02.0 |ESO-B.C+IDS 1986-01-20|b |     2.3:|         |  1070.  |    52.  |  1443.  |   643.  |    10.  |    21.
300.8-03.4 |ESO-B.C+IDS 1986-12-15|b |    98.  |         |  1356.  |         |   311.  |    99.  |    23. :|    33. :
302.2+02.5 |ESO-B.C+CCD 1988-03-12|b |    96.  |         |  1312.  |         |  1309.  |    87.  |         |
302.6-00.9 |ESO-B.C+CCD 1988-03-14|b |    54.  |         |  1437.  |         |  1123.  |  4455.  |   258.  |   220.
303.6+40.0 |ESO-B.C+CCD 1988-03-13|b |         |         |   209.  |         |   498.  |   419.  |   126.  |    74.
304.2+05.9 |ESO-B.C+IDS 1986-12-16|b |   192.  |         |  2900.  |         |   802.  |    84.  |         |
304.5-04.8 |ESO-B.C+IDS 1986-01-22|b |    12.  |     8.  |*  567.  |    19.  |   380.  |   139.  |     5.  |    11.
304.8+05.1 |ESO-B.C+IDS 1985-07-15|b |         |     5.  |   502.  |    19.  |   565.  |         |         |
305.1+01.4 |ESO-B.C+IDS 1986-01-20|b |         |     5.  |   205.  |    29.  |   856.  |   141.  |         |
305.6-13.1 |ESO-B.C+CCD 1990-06-23|b |   112.  |         |   675.  |         |   403.  |         |         |
305.7-03.4 |ESO-B.C+CCD 1990-06-24|b |         |         |   862.  |         |   410.  |         |         |
306.4-00.6 |ESO-B.C+IDS 1985-07-15|b |         |         |  3192.  |         |  1322.  |   703.  |         |
307.2-03.4 |ESO-B.C+IDS 1986-01-23|b |    55.  |    13.  |  1428.  |     9.  |   350.  |   366.  |    39.  |    42.
307.2-09.0 |END                   |b |     1.2:|     2.4 |   674.  |    24.  |   440.  |    93.  |     0.8 |     2.1
307.3+05.0 |ESO-B.C+IDS 1986-12-16|b |    86.  |         |   446.  |         |   467.  |         |         |
307.5-04.9 |ESO-B.C+IDS 1985-07-15|b |     0.5 |     0.8 |   294.  |    22.  |  1117.  |         |     5.  |     9.
308.2+07.7 |ESO-B.C+CCD 1989-05-27|b |    78.  |         |   512.  |         |   373.  |         |         |
308.6-12.2 |ESO-B.C+CCD 1989-06-03|b |         |         |   358.  |    24.  |   383.  |         |         |
309.0+00.8 |ESO-B.C+IDS 1986-01-20|b |         |     3.  |  1110.  |    44.  |  1293.  |   295.  |     8.  |    18.
309.0-04.2 |ESO-B.C+CCD 1988-03-13|b |         |         |         |         |   481.  |   420.  |    62.  |    56.
309.1-04.3 |ESO-B.C+IDS 1986-01-21|b |         |     3.  |   840.  |    24.  |   369.  |   266.  |     6.  |    11.
309.2+01.3 |ESO-B.C+CCD 1989-05-30|b |         |         |   950.  |         |  1360.  |  3290.  |   290.  |   300.
309.5-02.9 |ESO-B.C+CCD 1990-06-20|b |    22.  |         |  1541.  |    55.  |  1337.  |  1781.  |    62.  |    86.
310.3+24.7 |ESO-B.C+CCD 1989-05-28|a |         |         |   169.  |         |   100.  |         |         |
310.4+01.3 |ESO-B.C+CCD 1989-06-03|b |         |         |  1711.  |         |  3511.  |   939.  |         |
310.7-02.9 |ESO-B.C+IDS 1985-07-15|b |    13. :|         |   971.  |    20.  |   543.  |   468.  |    46.  |    46.
310.8-05.9 |ESO-B.C+CCD 1987-07-20|b |    94.  |         |  1093.  |    19.  |   564.  |    37.  |    10.  |     7.
311.0+02.4 |ESO-B.C+CCD 1988-03-14|a |         |         |    95.  |         |   100.  |   439.  |    43.  |    41.
311.1+03.4 |ESO-B.C+IDS 1984-04-27|b |         |    36. :|   135.  |    54.  |  1127.  |         |         |
311.4+02.8 |ESO-B.C+IDS 1986-01-21|b |    41.  |     5.  |  1235.  |    17.  |   732.  |         |         |
312.3+10.5 |ESO-B.C+IDS 1986-01-22|b |    44.  |    16.  |  1378.  |    10.  |   437.  |         |         |
312.6-01.8 |ESO-B.C+IDS 1983-05-03|b |         |         |    56.  |    47.  |  1178.  |   956.  |    11.  |    19.
313.8-12.6 |ESO-B.C+CCD 1988-03-14|a |         |         |   238.  |         |   100.  |         |         |
315.0-00.3 |ESO-B.C+IDS 1985-07-15|b |    91.  |         |  1498.  |    30.  |   986.  |  5114.  |   213.  |   231.
315.1-13.0 |ESO-B.C+IDS 1984-04-27|b |     0.3 |         |     7.  |     5.  |         |         |     4.  |    14.
315.4+05.2 |ESO-B.C+IDS 1986-01-19|b |    16.  |         |  1390.  |    24.  |   632.  |   584.  |    40.  |    41.
315.4+09.4 |ESO-B.C+IDS 1985-07-16|b |    18.  |    37.  |   292.  |    27.  |   825.  |    77.  |     7.  |     7.
315.7+05.5 |ESO-B.C+CCD 1988-03-12|b |         |         |  1636.  |         |   711.  |         |         |
315.7-01.2 |ESO-B.C+CCD 1988-03-12|a |         |         |    35.  |         |   100.  |   422.  |         |
316.1+08.4 |ESO-B.C+IDS 1983-05-03|b |     8.  |         |   175.  |    21.  |   438.  |   128.  |     3.  |     4.
316.3-01.3 |ESO-B.C+CCD 1988-03-13|a |         |         |    63.  |         |   100.  |   196.  |    30.  |    21.
317.1-05.7 |ESO-B.C+IDS 1985-07-27|b |    36. :|         |   848.  |    21.  |   452.  |   492.  |    57.  |    53.
317.8+03.3 |ESO-B.C+CCD 1988-03-13|b |         |         |   605.  |         |   737.  |  1817.  |         |
318.3-02.0 |ESO-B.C+IDS 1985-08-01|b |    39.  |         |   841.  |    27.  |   451.  |   622.  |    21. :|    16. :
318.3-02.5 |ESO-B.C+CCD 1988-03-15|b |         |         |   490.  |         |   620.  |  1314.  |   183.  |   157.
318.4+41.4 |ESO-B.C+IDS 1986-01-24|a |         |         |   117.  |         |   100.  |    32. :|         |
318.4-03.0 |ESO-B.C+CCD 1988-03-13|b |         |         |   752.  |    56.  |   918.  |  1230.  |   165.  |    81.
319.2+06.8 |ESO-B.C+IDS 1985-07-16|b |    37.  |    16.  |  2005.  |    32.  |   912.  |   896.  |    39.  |    54.
319.6+15.7 |OHP-B.C+IDS 1985-08-01|b |     5.  |     7.  |  1267.  |    18.  |   390.  |   595.  |    15.  |    16.
320.1-09.6 |ESO-B.C+IDS 1984-04-26|b |         |         |         |         |   315.  |   213.  |    10.  |    20.
320.3-28.8 |ESO-B.C+IDS 1985-08-02|b |         |    11.  |  1077.  |    14.  |   347.  |    14.  |         |
320.9+02.0 |ESO-B.C+IDS 1985-07-16|b |         |         |   943.  |    93.  |  2090.  |   639.  |         |    60.
321.0+03.9 |ESO-B.C+IDS 1985-08-02|b |         |         |    15.  |    38.  |   763.  |   465.  |B  100.  |
321.0+08.3 |ESO-B.C+CCD 1989-05-30|b |         |         |  1707.  |         |   543.  |         |         |
321.0-03.8 |ESO-B.C+CCD 1989-06-03|b |    89.  |         |   730.  |         |   779.  |         |         |
321.3+02.8 |ESO-B.C+IDS 1985-07-16|b |         |         |   714.  |    56.  |  1723.  |   518.  |     6.  |    13.
321.3-16.7 |ESO-B.C+CCD 1988-03-14|b |     1.0 |     8.  |  1080.  |    18.  |   345.  |    18.  |     2.2 |     5.
321.8+01.9 |ESO-B.C+IDS 1985-07-27|b |         |         |   710.  |    29. :|   621.  |  1471.  |   144.  |   136.
322.1-06.6 |ESO-B.C+IDS 1985-08-01|b |    47.  |    14.  |   120.  |     4.  |   364.  |    34.  |     2.5 |     3.
322.4-00.1 |ESO-B.C+IDS 1985-07-15|b |         |         |  1124.  |   150.  |  6184.  |  1366.  |    13.  |    47.
322.4-02.6 |ESO-B.C+IDS 1985-07-31|b |         |         |   907.  |    27.  |   513.  |  1033.  |    78.  |    80.
322.5-05.2 |ESO-B.C+IDS 1985-08-01|b |   102.  |    14.  |   815.  |     2.4 |   368.  |    16. :|         |
323.1-02.5 |ESO-B.C+IDS 1983-05-02|b |    43.  |         |   738.  |    31.  |   766.  |    10. :|         |
323.9+02.4 |ESO-B.C+IDS 1985-07-27|b |         |         |   233.  |    47.  |   992.  |   862.  |    16.  |    28.
324.1+09.0 |ESO-B.C+CCD 1990-06-23|b |    95.  |         |   643.  |         |   448.  |         |         |
324.2+02.5 |ESO-B.C+IDS 1983-05-02|b |         |         |         |         |  1107.  |   907.  |    32.  |    63.
324.8-01.1 |ESO-B.C+IDS 1985-07-31|b |         |         |  1282.  |   124.  |  3429.  |  1644.  |    47. :|   120.
325.0+03.2 |ESO-B.C+IDS 1985-07-31|b |         |         |  1451.  |    48.  |  1233.  |   167.  |     9. :|    13. :
325.4-04.0 |ESO-B.C+IDS 1985-08-01|b |    81.  |    16.  |  1418.  |     8.  |   426.  |   111.  |     6.  |     8.
325.8+04.5 |ESO-B.C+IDS 1985-07-31|b |         |         |   440.  |    26.  |   687.  |   258.  |     4. :|     7. :
325.8-12.8 |ESO-B.C+CCD 1987-07-20|b |         |     3.  |*  108.  |    17.  |         |    83.  |     1.2 |     3.
326.0-06.5 |ESO-B.C+IDS 1984-04-26|b |         |         |         |         |   468.  |   188.  |     4.  |     9.
326.1-01.9 |ESO-B.C+CCD 1989-06-01|b |   118.  |         |   689.  |         |   691.  |         |         |
326.7+42.2 |END                   |b |    41.  |         |  1136.  |    34. :|   375.  |   209.  |    53. :|
327.1-01.8 |ESO-B.C+IDS 1984-04-27|b |         |         |    44.  |    29.  |  1239.  |  1331.  |    24.  |    48.
327.1-02.2 |ESO-B.C+IDS 1983-05-03|b |         |         |     7.  |    11.  |  1048.  |  1054.  |    10.  |    22.
327.5+13.3 |ESO-B.C+IDS 1985-07-16|b |         |    11.  |  1190.  |    15.  |   315.  |    36.  |     1.2 |     3.
327.7-05.4 |ESO-B.C+CCD 1990-06-23|a |         |         |    69.  |         |   100.  |         |         |
327.8+10.0 |ESO-B.C+IDS 1985-07-27|b |     6.  |     4.  |  1048.  |    19.  |   374.  |    30.  |     0.9 |     2.0
327.8-01.6 |ESO-B.C+IDS 1985-08-01|b |    37.  |         |  2478.  |    83.  |  3140.  |  2188.  |    66.  |   129.
327.8-06.1 |ESO-B.C+IDS 1985-07-27|b |         |         |   525.  |    18.  |   415.  |   168.  |     7.  |    12.
327.8-07.2 |ESO-B.C+IDS 1985-07-27|b |         |         |  1528.  |         |   454.  |   195.  |         |
327.9-04.3 |ESO-B.C+CCD 1990-06-23|b |         |    53.  |  1125.  |    34.  |   854.  |  1009.  |    56.  |    78.
328.2+01.3 |ESO-B.C+CCD 1987-07-20|b |         |         |   340.  |         |   502.  |   205.  |   100. :|    85. :
328.9-02.4 |ESO-B.C+IDS 1985-08-03|b |         |         |   359.  |    28.  |   972.  |    86.  |    33. :|    24.
329.0+01.9 |ESO-B.C+CCD 1990-06-20|b |    98.  |         |   716.  |         |  1044.  |         |         |
329.3-02.8 |ESO-B.C+IDS 1985-07-16|b |    78.  |    19.  |  1975.  |     6.  |   429.  |   244.  |    28.  |    31.
329.4-02.7 |ESO-B.C+IDS 1985-07-16|b |         |     8. :|   949.  |    32.  |   696.  |    45.  |     2.4:|     2.4:
329.5+01.7 |ESO-B.C+CCD 1987-07-20|b |         |         |   228. :|         |   226.  |   263. :|         |
329.5-02.2 |ESO-B.C+CCD 1989-06-01|b |    96.  |         |   922.  |         |   512.  |         |         |
330.2+05.9 |ESO-B.C+CCD 1988-03-15|a |         |         |   142.  |         |   100.  |   192.  |         |
330.6-02.1 |ESO-B.C+IDS 1985-07-16|b |    13.  |    11.  |   727.  |    26.  |   453.  |   824.  |    54.  |    65.
330.6-03.6 |ESO-B.C+IDS 1985-07-27|b |    31. :|         |  1181.  |    15.  |   522.  |         |         |
330.7+04.1 |ESO-B.C+IDS 1984-04-27|b |    12.  |   139.  |  1215.  |    35.  |   591.  |    88.  |     3.  |     9.
330.9+04.3 |ESO-B.C+CCD 1990-06-20|b |         |         |  1208.  |    54.  |  1427.  |         |         |
331.0-02.7 |ESO-B.C+IDS 1985-07-15|b |         |         |   148.  |    30.  |   981.  |   890.  |    11.  |    23.
331.1-05.7 |ESO-B.C+IDS 1984-04-28|b |         |    38.  |  1407.  |    24.  |   566.  |    30.  |     0.9 |     1.8
331.3+16.8 |ESO-B.C+IDS 1985-07-27|b |    51.  |    13.  |  1158.  |     8.  |   309.  |    19.  |         |     0.8:
331.4+00.5 |ESO-B.C+IDS 1983-05-02|b |         |         |  5371.  |         |  5257.  |  8671.  |         |
331.4-03.5 |ESO-B.C+IDS 1984-04-26|b |         |         |    12.  |     2.5 |   543.  |   367.  |     2.4:|     3. :
331.5-02.7 |ESO-B.C+IDS 1985-07-27|b |         |         |   377.  |    31.  |   789.  |   128.  |    11.  |    16.
331.5-03.9 |ESO-B.C+IDS 1986-07-10|b |    37.  |         |   583.  |         |   431.  |   643.  |    69.  |    56.
332.0-03.3 |ESO-B.C+IDS 1986-07-10|b |   104.  |         |   946.  |     8. :|   619.  |         |         |
332.2+03.5 |ESO-B.C+CCD 1990-06-21|a |         |         |    73.  |         |   100.  |         |         |
332.3-04.2 |ESO-B.C+IDS 1986-07-10|b |     0.6:|     4.  |  1113.  |    26.  |   538.  |    97.  |     2.4 |     4.
332.8-16.4 |ESO-B.C+CCD 1989-06-02|b |         |         |  1165.  |         |   470.  |   109.  |         |
332.9-09.9 |ESO-B.C+CCD 1987-07-20|b |         |         |         |   274.  |   571.  |  1197.  |   274.  |   145.
333.4+01.1 |ESO-B.C+IDS 1985-07-16|b |    96.  |         |  1196.  |    71.  |  1226.  |  3157.  |    44.  |    80.
333.4-04.0 |ESO-B.C+CCD 1989-06-04|b |         |         |  3240.  |         |  1010.  |   520.  |         |
334.3-01.4 |ESO-B.C+CCD 1989-06-01|a |         |         |    56.  |         |   100.  |   193.  |         |
334.3-09.3 |ESO-B.C+CCD 1987-07-20|b |   109.  |    10.  |   498.  |     3.  |   406.  |         |         |
334.8-07.4 |ESO-B.C+CCD 1988-03-13|b |         |     5.  |   153.  |    17.  |   430.  |   133.  |     0.9 |     4.
335.2-03.6 |ESO-B.C+CCD 1989-06-04|b |         |         |   437.  |    42.  |   643.  |    29.  |         |
335.4+09.2 |ESO-B.C+CCD 1989-05-28|b |         |         |   964.  |   100.  |   850.  |   382.  |   132.  |    91.
335.4-01.1 |ESO-B.C+IDS 1984-04-30|b |         |         |   743.  |         |  2057.  |  6007.  |   341.  |   461.
335.6-04.0 |ESO-B.C+CCD 1989-05-31|a |         |         |   100.  |         |   100.  |         |         |
335.9-03.6 |ESO-B.C+CCD 1989-05-31|b |    70.  |         |   545.  |         |   806.  |         |         |
336.2+01.9 |ESO-B.C+IDS 1983-05-02|b |         |         |   991.  |    65. :|  1365.  |    41. :|         |    29. :
336.2-06.9 |ESO-B.C+CCD 1987-07-20|b |         |     6.  |  1202.  |    25.  |   569.  |    70.  |    11.  |    16.
336.3-05.6 |ESO-B.C+CCD 1988-03-15|b |    55.  |    15.  |  1858.  |    19.  |   558.  |   453.  |    24.  |    42.
336.9+08.3 |ESO-B.C+CCD 1988-03-12|b |         |         |   981.  |    30.  |   849.  |         |         |
336.9-11.5 |ESO-B.C+CCD 1989-06-04|a |         |         |   182.  |         |   100.  |         |         |
337.4+01.6 |ESO-B.C+IDS 1984-04-27|b |         |         |     6.  |    22.  |  1700.  |  1752.  |    15.  |    34.
337.4-09.1 |ESO-B.C+CCD 1989-06-03|b |   105.  |         |   695.  |         |   464.  |         |         |
337.5-05.1 |ESO-B.C+IDS 1984-04-29|b |         |         |   481.  |         |   817.  |         |         |
337.6-04.2 |ESO-B.C+CCD 1989-05-28|b |         |         |   780.  |    39.  |   531.  |   518.  |    80.  |    65.
338.1-08.3 |ESO-B.C+CCD 1988-03-13|b |    54.  |    13.  |  1266.  |    13.  |   418.  |    42.  |     7.  |     9.
338.8+05.6 |ESO-B.C+IDS 1985-08-03|b |     9.  |     5.  |  1215.  |    25.  |   602.  |   147.  |    15.  |    20.
340.4-14.1 |ESO-B.C+CCD 1988-03-14|b |         |     7.  |   375.  |    17.  |   365.  |    27.  |     7.  |     8.
340.8+10.8 |ESO-B.C+CCD 1988-03-16|a |         |         |    83.  |         |   100.  |    43.  |         |
340.8+12.3 |ESO-B.C+CCD 1988-03-16|a |         |         |   190.  |         |   100.  |    60.  |         |
340.9-04.6 |ESO-B.C+CCD 1989-05-28|b |     4.  |         |  1405.  |    32.  |   919.  |    48.  |         |
341.2-24.6 |ESO-B.C+CCD 1988-03-14|a |         |         |   115.  |         |   100.  |   228.  |         |
341.5-09.1 |ESO-B.C+CCD 1988-03-15|b |         |    10.  |  1042.  |    19.  |   384.  |     9.  |     2.3 |     3.
341.6+13.7 |ESO-B.C+IDS 1985-08-03|b |    50.  |         |   605.  |         |   411.  |    25.  |         |
341.8+05.4 |ESO-B.C+IDS 1985-08-04|b |    19.  |         |  1073.  |    42.  |   858.  |    77.  |         |
342.1+10.8 |ESO-B.C+IDS 1985-08-03|b |    41.  |         |  1360.  |    26.  |   619.  |   970.  |         |
342.1+27.5 |ESO-B.C+IDS 1985-07-31|b |    87.  |    21.  |  1414.  |     3.  |   303.  |    25.  |     1.9:|     3. :
342.5-14.3 |ESO-B.C+CCD 1988-08-09|b |         |         |    69.  |    22.  |   348.  |    83.  |     4.  |     6.
342.7+00.7 |ESO-B.C+IDS 1983-05-03|b |         |         |   758.  |         |  1263.  |  3374.  |   329.  |   334.
342.8-06.6 |ESO-B.C+CCD 1988-08-12|b |         |    14.  |  1308.  |    19.  |   384.  |    24.  |     3.  |     5.
342.9-02.0 |ESO-B.C+CCD 1988-03-14|b |    40.  |         |  1096.  |    19.  |   997.  |    41.  |    13.  |    36.
342.9-04.9 |ESO-B.C+CCD 1988-03-14|b |    50.  |         |  1561.  |    16.  |   531.  |   775.  |    96.  |   109.
343.0-01.7 |ESO-B.C+CCD 1989-06-05|b |         |         |  1125.  |    65.  |  3105.  |   258.  |         |
343.4+11.9 |ESO-B.C+IDS 1985-07-16|b |    19.  |    24.  |  1600.  |    12.  |   430.  |         |         |
343.5-07.8 |ESO-B.C+CCD 1988-03-15|b |         |     5.  |  1062.  |    21.  |   489.  |     3.  |         |
343.6+03.7 |ESO-B.C+CCD 1988-03-15|b |    35.  |         |   163.  |         |   524.  |   575.  |    93.  |    60.
343.9+00.8 |ESO-B.C+IDS 1983-05-03|b |         |         |  1532.  |   142.  |  8640.  |  3663.  |   172.  |   347.
344.2+04.7 |ESO-B.C+IDS 1986-07-11|b |         |     3.  |   402.  |    24.  |   680.  |   150.  |     3.  |     5.
344.2-01.2 |ESO-B.C+IDS 1984-04-30|b |         |         |   845.  |         |  1560.  |  2467.  |   209.  |   237.
344.4+02.8 |ESO-B.C+IDS 1986-07-11|b |    28.  |         |  1695.  |    30.  |   971.  |    35.  |         |
344.4-06.1 |ESO-B.C+CCD 1990-06-21|b |         |         |   729.  |         |   409.  |         |         |
344.8+03.4 |ESO-B.C+IDS 1984-04-30|b |         |         |    97.  |         |   436.  |   224.  |    43.  |    59.
345.0+03.4 |ESO-B.C+IDS 1986-07-09|b |         |    16.  |  1551.  |    27.  |   649.  |   136.  |     5. :|    10. :
345.0+04.3 |ESO-B.C+IDS 1984-04-29|b |         |         |         |         |   886.  |   297.  |     5. :|    20. :
345.0-04.9 |ESO-B.C+CCD 1988-08-12|b |         |     3.  |   573.  |    20.  |   322.  |    66.  |     1.4 |     3.
345.2-01.2 |ESO-B.C+CCD 1987-07-20|b |         |     2.1 |   969.  |    53.  |  1488.  |   794.  |    36.  |    65.
345.2-08.8 |ESO-B.C+IDS 1984-04-30|b |         |         |   104.  |    13.  |   351.  |   135.  |     3.  |     4.
345.3-10.2 |ESO-B.C+CCD 1989-06-04|a |         |         |   176.  |         |   100.  |   164.  |         |
345.4+00.1 |ESO-B.C+IDS 1986-07-11|b |         |     6. :|   988.  |    26. :|   633.  |    29.  |         |
345.5+15.1 |ESO-B.C+CCD 1988-03-16|a |         |         |   227.  |         |   100.  |         |         |
345.6+06.7 |ESO-B.C+IDS 1986-07-09|b |    13.  |         |  1563.  |    44.  |   981.  |  1432.  |    61.  |   108.
345.9+03.0 |ESO-B.C+IDS 1986-07-11|b |    89.  |         |  1599.  |    44.  |  1253.  |  1030.  |   115.  |   126.
346.0+08.5 |ESO-B.C+IDS 1984-04-28|b |    60.  |    32.  |   365.  |    22.  |  1277.  |   127.  |     3.  |     6.
346.2-08.2 |ESO-B.C+CCD 1988-03-15|b |    93.  |     7.  |  1033.  |    13.  |   460.  |    33.  |    20.  |     9.
346.3-06.8 |ESO-B.C+IDS 1986-07-09|b |    37.  |    10.  |  1626.  |    15.  |   410.  |   115.  |     9.  |    15.
346.9+12.4 |ESO-B.C+IDS 1985-07-27|b |         |         |         |         |   100. :|  4280. :|         |
347.4+05.8 |ESO-B.C+CCD 1988-03-12|b |    11.  |    23.  |*  694.  |    55.  |  1322.  |   204.  |     8.  |    14.
347.7+02.0 |ESO-B.C+IDS 1986-07-09|b |         |         |  2163.  |    62.  |  2265.  |   385.  |    23. :|    43. :
348.0-13.8 |ESO-B.C+CCD 1988-08-09|b |    27.  |    13.  |  1240.  |    13.  |   316.  |         |         |
348.4-04.1 |ESO-B.C+CCD 1988-03-15|b |         |         |  1526.  |    38.  |  1025.  |   635.  |    36.  |    57.
349.2-03.5 |ESO-B.C+IDS 1985-07-18|b |    67.  |         |   593.  |         |   601.  |         |         |
349.3-01.1 |ESO-B.C+CCD 1988-03-15|b |    67.  |         |  1008.  |    22.  |   588.  |   190.  |    33.  |    29.
349.3-04.2 |END                   |b |    30. :|         |   962.  |         |   823.  |    22.  |         |
349.5+01.0 |ESO-B.C+CCD 1987-07-20|b |    59.  |    24.  |  1354.  |    37.  |   704.  |  1758.  |    64.  |    99.
349.8+04.4 |ESO-B.C+CCD 1987-07-20|b |         |         |   792.  |    25.  |   813.  |   232.  |    13.  |    22.
350.1-03.9 |ESO-B.C+IDS 1986-07-12|b |    28.  |         |  1155.  |    25.  |   819.  |    40.  |         |
350.5-05.0 |ESO-B.C+IDS 1985-08-04|b |    40.  |         |   493.  |    65.  |   741.  |  1095.  |    94.  |    91.
350.8-02.4 |ESO-B.C+CCD 1988-03-15|b |         |         |   386.  |    53.  |  1441.  |   467.  |    17.  |    35.
350.9+04.4 |ESO-B.C+IDS 1984-04-26|b |         |     3. :|    68.  |    10.  |   617.  |   252.  |     5.  |     9.
351.1+04.8 |ESO-B.C+IDS 1986-07-08|b |         |         |   546.  |    27.  |   702.  |   214.  |     4.  |    11.
351.2+05.2 |ESO-B.C+IDS 1984-04-29|b |         |         |    26.  |    22.  |   685.  |   733.  |    17.  |    24.
351.3+07.6 |ESO-B.C+CCD 1988-03-16|b |         |     6.  |   638.  |    19.  |   475.  |    23.  |         |
