ID,RA2PI,DEC2PI,VMAG,SIZED,TYPE
IC35,0.164344566,0.180772477,14,0.016666667,Gxy
IC1560,0.164351838,0.04662938,99,0,NF
NGC179,0.164809987,-0.311541271,13.3,0.015,Gxy
IC36,0.16504997,-0.269493381,14.5,0.01,Gxy
NGC180,0.165639018,0.150704333,12.9,0.031666667,Gxy
NGC182,0.166708032,0.047623248,12.4,0.031666667,Gxy
NGC181,0.167500703,0.514406708,14.9,0.011666667,Gxy
NGC186,0.167638875,0.055259063,13.4,0.023333333,Gxy
NGC183,0.167937035,0.515075751,12.7,0.028333333,Gxy
IC1561,0.168162473,-0.424817988,14.1,0.02,Gxy
IC1562,0.168264284,-0.423659283,12.8,0.026666667,Gxy
IC37,0.168293373,-0.268058332,14.9,0.013333333,Gxy
NGC184,0.168409728,0.513955831,14.7,0.011666667,Gxy
IC38,0.168627895,-0.269115226,14,0.015,Gxy
NGC190,0.169784175,0.12325903,14,0.015,Gxy
NGC185,0.169995069,0.843643679,9.2,0.133333333,Gxy
NGC191,0.170111424,-0.157128114,12.5,0.023333333,Gxy
IC1563,0.170176874,-0.157341432,14,0.011666667,Gxy
NGC209,0.170424129,-0.324776685,12.9,0.018333333,Gxy
IC1564,0.170547757,0.105088214,14,0.016666667,Gxy
NGC178,0.170780467,-0.24735194,12.6,0.035,Gxy
NGC192,0.17115135,0.015082554,12.6,0.031666667,Gxy
NGC196,0.171464055,0.015935826,12.9,0.021666667,Gxy
NGC194,0.171500416,0.053014376,12.2,0.026666667,Gxy
NGC193,0.17151496,0.058138857,12.3,0.023333333,Gxy
NGC197,0.171529504,0.015577064,14.1,0.011666667,Gxy
IC40,0.171718582,0.042867226,14.4,0.016666667,Gxy
NGC198,0.171834937,0.04884013,13.2,0.02,Gxy
IC1567,0.17207492,0.117533381,13.4,0.016666667,Gxy
NGC187,0.172365808,-0.255802243,13.2,0.021666667,Gxy
NGC199,0.172576702,0.054769402,13.6,0.02,Gxy
IC1566,0.172591246,0.118953885,14.8,0.011666667,Gxy
NGC200,0.172693057,0.050386686,12.6,0.028333333,Gxy
NGC201,0.172707602,0.01501468,12.9,0.03,Gxy
NGC189,0.172758507,1.066308907,8.8,0.083333333,OCL
NGC195,0.172765779,-0.16046848,13.7,0.02,Gxy
NGC203,0.173042123,0.060082959,14,0.015,Gxy
NGC202,0.173056668,0.061707085,14.3,0.015,Gxy
IC41,0.173100301,-0.247381029,14.7,0.006666667,Gxy
NGC207,0.17312939,-0.24847186,13.7,0.015,Gxy
NGC204,0.173383917,0.057595865,12.9,0.02,Gxy
IC1568,0.174234765,0.119540509,14.2,0.013333333,Gxy
NGC212,0.175507401,-0.980046008,13.3,0.016666667,Gxy
NGC208,0.175798289,0.048098365,14.3,0.011666667,Gxy
NGC205,0.176140083,0.727545347,8.1,0.325,Gxy
IC1569,0.176569143,0.117281278,14.6,0.006666667,Gxy
NGC220,0.176714587,-1.281144393,12.4,0.013333333,OCL
NGC206,0.176881847,0.711018048,14,0.07,GxyP
IC1570,0.177020019,0.117867902,16.2,0.006666667,Gxy
