Name,Type,Class,RA 2000,Decl 2000,Size,PA,V Mag,B Mag,Surf Br,Con,NGC,WH
NGC 4697,GX,E6,12 48 35.8,-05 48 02,7.2x4.7,70.0,9.2,10.1,13.1,Vir,"vB,L,lE45,smbMN",I 39
NGC 4711,GX,Sb,12 48 45.9,+35 19 58,1.5x0.9,40.0,13.4,14.2,13.5,CVn,"F,S,E,glbM,er",II 412
NGC 4704,GX,SBbcp,12 48 46.4,+41 55 16,1.0x0.9,105.0,13.7,14.5,13.6,CVn,"cF,S,R,gbM",II 662
NGC 4699,GX,Sb,12 49 02.2,-08 39 52,3.8x2.6,45.0,9.5,10.4,11.9,Vir,"vB,R,vmbMrN,r",I 129
NGC 4700,GX,SBc,12 49 07.8,-11 24 46,3.0x0.6,50.0,11.9,12.6,12.4,Vir,"F,L,mE40,vlbM,B* p",III 524
NGC 4701,GX,Scd,12 49 11.6,+03 23 19,2.8x2.1,45.0,12.4,12.8,14.2,Vir,"F,S,vsBN,complex B cent.",II 578
NGC 4703,GX,Sb,12 49 19.0,-09 06 31,3.0x0.6,156.0,13.7,14.5,14.1,Vir,"eF,cS,pmE",III 514
NGC 4705,GX,Sbc,12 49 25.1,-05 11 46,3.2x1.1,125.0,12.8,13.6,14.0,Vir,"cF,pL,lE",III 610
NGC 4710,GX,S0,12 49 38.8,+15 09 55,4.9x1.2,27.0,11.0,11.9,12.8,Com,"cB,pL,vmE28,sbMN",II 95
NGC 4708,GX,Sabp,12 49 41.5,-11 05 35,1.1x0.8,55.0,13.1,13.9,13.0,Vir,"eF,S",III 722
NGC 4713,GX,Sd,12 49 57.8,+05 18 39,2.7x1.7,100.0,11.7,12.2,13.2,Vir,"pB,L,vlE,glbM",I 140
NGC 4732,GX,E,12 50 07.1,+52 51 00,1.2x0.6,8.0,13.8,14.9,13.5,UMa,"F,S,vsmbM",II 814
NGC 4750,GX,Sab,12 50 07.2,+72 52 28,2.0x1.9,,11.2,12.1,12.5,Dra,"pB,L,R,vg,vsbM,vsvBN",IV 78
NGC 4719,GX,SBb,12 50 08.7,+33 09 33,1.4x1.1,,13.2,14.0,13.6,CVn,"vF,stellar",III 424
NGC 4714,GX,S0-,12 50 19.2,-13 19 28,1.6x1.2,150.0,12.7,13.7,13.3,Crv,"F,pS,R,gbM",III 536
NGC 4725,GX,Sabp,12 50 26.3,+25 30 03,10.7x7.6,35.0,9.4,10.1,14.0,Com,"vB,vL,E,vg,vsvmbM,eBN",I 84
NGC 4720,GX,S0-:,12 50 42.7,-04 09 21,1.0x0.6,120.0,14.2,15.0,13.5,Vir,"eF,S,bM",III 611
NGC 4737,GX,,12 50 52.9,+34 09 24,0.6x0.5,,14.3,15.3,12.8,CVn,"eF,vS,pmE",III 496
NGC 4724,GX,SB0,12 50 53.8,-14 19 54,0.9x0.5,95.0,13.9,14.7,12.9,Crv,"F,vS,R,stellar,np of 2",III 280
NGC 4727,GX,Sbcp,12 50 57.2,-14 19 58,1.4x1.1,130.0,13.0,13.8,12.8,Crv,"F,pL,R,lbM,sf of 2",II 298
NGC 4741,GX,Scd,12 50 59.5,+47 40 17,1.3x0.7,165.0,13.7,14.4,13.5,CVn,"vF,S,R,psbM",III 721
NGC 4731,GX,SBcd,12 51 01.0,-06 23 33,6.6x3.2,85.0,11.5,11.9,14.6,Vir,"vF,pL,E",I 41
NGC 4733,GX,E+,12 51 06.8,+10 54 43,2.0x0.7,,11.8,12.7,12.2,Vir,"cF,pL,lE,r,*12 p",II 73
NGC 4749,GX,Sb,12 51 12.4,+71 38 05,1.8x0.4,158.0,13.5,14.3,12.9,Dra,"vF,cL,E135",III 907
NGC 4752,GX,S0/a,12 51 29.1,+13 46 55,0.9x0.3,154.0,,15.3,,Com,"vF,S,E,r",III 82
NGC 4739,GX,S0:p,12 51 37.1,-08 24 37,1.5x1.5,,12.6,13.4,13.3,Vir,"F,pL,lE,pglbM",III 515
NGC 4747,GX,SBcdp,12 51 45.5,+25 46 30,3.5x1.2,30.0,12.3,13.0,13.7,Com,"F,pL,lE",II 344
NGC 4742,GX,E4,12 51 48.0,-10 27 17,2.6x1.5,75.0,11.3,12.1,12.8,Vir,"pB,vS,vbMN=*11,*10 sf",I 133
NGC 4748,GX,Sp,12 52 12.6,-13 24 49,0.9x0.7,,13.5,14.5,12.7,Crv,"F,vS,iR,gbM",III 537
NGC 4754,GX,SB0,12 52 17.5,+11 18 50,4.6x2.5,23.0,10.6,11.5,13.1,Vir,"B,pL,R,psbM,p of 2",I 25=II 74
NGC 4753,GX,Irr,12 52 22.0,-01 11 58,6.0x2.8,80.0,9.9,10.9,12.9,Vir,"cB,L,vlE,vglbM",I 16
NGC 4758,GX,Im,12 52 44.1,+15 50 54,3.1x0.7,160.0,13.1,13.6,13.8,Com,"vF,pL,E?",III 70
NGC 4756,GX,S0-,12 52 52.6,-15 24 48,1.6x1.3,50.0,12.4,13.4,13.1,Crv,"vF,pS,r",III 281
NGC 4762,GX,SB0,12 52 55.9,+11 13 50,8.7x1.7,32.0,10.3,11.1,13.0,Vir,"pB,vmE31,3 B * s,f of 2",II 75
NGC 4759,GX,S0p,12 53 04.4,-09 11 59,1.8x1.4,,13.0,14.0,,Vir,"pL,double,*10 sp 2'",II 559
NGC 4774,GX,Ring,12 53 06.6,+36 49 06,0.6x0.4,,14.3,14.8,12.5,CVn,"eF,cS,R,bM",III 618
NGC 4765,GX,E-S0,12 53 14.6,+04 27 48,1.1x0.8,80.0,13.0,13.4,12.8,Vir,"F,cS,R,gbM",III 544
NGC 4771,GX,Sd,12 53 21.2,+01 16 10,3.9x0.8,133.0,12.3,12.9,13.4,Vir,"F,pL,mE,*9 p 90deg",II 535
NGC 4763,GX,SBa,12 53 27.2,-17 00 20,1.2x0.8,130.0,12.6,13.3,12.4,Crv,"vF,S,lbM",III 489
NGC 4772,GX,Sa,12 53 29.1,+02 10 06,3.4x1.7,147.0,11.0,12.0,12.8,Vir,"pF,pS,R,mbM",II 24
NGC 4770,GX,S0/a:,12 53 32.1,-09 32 29,1.5x0.8,90.0,13.0,13.8,13.0,Vir,"vF,vS",III 525
NGC 4773,GX,E4p,12 53 36.0,-08 38 21,1.3x1.0,95.0,14.1,14.9,14.2,Vir,"vF,S",III 516
NGC 4775,GX,Sd,12 53 45.8,-06 37 20,2.1x2.0,,11.1,11.7,12.5,Vir,"F,cL,R,vglbM,r",II 186
NGC 4779,GX,SBbc,12 53 50.9,+09 42 36,2.1x1.8,70.0,12.4,13.2,13.7,Vir,"vF,pL,R,r",III 106
NGC 4777,GX,Sa:,12 53 58.5,-08 46 32,1.8x0.8,15.0,13.7,14.5,13.9,Vir,"vF,S",III 517
NGC 4789,GX,S0:,12 54 18.9,+27 04 04,1.9x1.5,0.0,12.1,13.1,13.1,Com,"F,R,*9 att 1' n",II 345
NGC 4781,GX,SBd,12 54 23.6,-10 32 11,3.5x1.5,120.0,11.1,11.7,12.8,Vir,"cB,vL,mE",I 134
NGC 4786,GX,E2p,12 54 32.4,-06 51 34,1.6x1.3,170.0,11.7,12.7,12.4,Vir,"pB,pS,mbM,r",II 187
NGC 4782,GX,E0p,12 54 35.7,-12 34 07,1.8x1.7,155.0,11.7,12.7,12.9,Crv,"pF,pS,R,mbM,p of Dneb",I 135
NGC 4783,GX,E0p,12 54 36.6,-12 33 28,1.8x1.7,105.0,11.5,12.5,12.8,Crv,"pF,pS,R,mbM,f of Dneb",I 136
NGC 4784,GX,S0,12 54 37.0,-10 36 47,1.2x0.3,101.0,14.2,15.0,12.9,Vir,"eF,eS",III 526
NGC 4801,GX,SBb,12 54 37.7,+53 05 24,0.8x0.6,138.0,14.4,15.4,13.5,UMa,"eF,S,lE",III 816
NGC 4800,GX,Sb,12 54 37.8,+46 31 52,1.6x1.2,25.0,11.5,12.3,12.0,CVn,"pB,cS,R,psbM,*14 p,vBN",I 211
NGC 4793,GX,Sc,12 54 40.6,+28 56 17,2.8x1.5,50.0,11.6,12.3,13.0,Com,"pB,pS,lE,*8 nf 1'",I 93
NGC 4790,GX,SBc,12 54 51.8,-10 14 52,1.7x1.1,85.0,12.1,12.8,12.7,Vir,"pF,pS,iR",II 560
NGC 4798,GX,S0,12 54 55.2,+27 24 44,1.2x0.9,30.0,13.2,14.2,13.1,Com,"pF,pS,gbM",II 382
NGC 4795,GX,SB0p,12 55 02.8,+08 03 56,1.9x1.6,115.0,12.1,13.1,13.1,Vir,"pB,pL,R,bM,r",II 21
NGC 4794,GX,SBa,12 55 10.5,-12 36 30,1.5x0.7,150.0,13.7,14.5,13.6,Crv,"vF,S,2 or 3* near",II 538
NGC 4799,GX,S,12 55 15.5,+02 53 47,1.3x0.6,91.0,13.3,14.3,12.9,Vir,"cF,S,vS* att",III 548
NGC 4814,GX,Sb,12 55 22.0,+58 20 39,3.1x2.3,135.0,12.0,12.8,14.0,UMa,"B,pS,vlE,vgbM",I 243
NGC 4808,GX,Scd,12 55 49.0,+04 18 15,2.8x1.1,127.0,11.7,12.4,12.8,Vir,"pB,cL,E135,vsBN",I 141
NGC 4804,Dup,,12 55 49.8,-12 03 19,,,,,,Crv,"S,att to pB*",IV 40
NGC 4816,GX,S0,12 56 12.2,+27 44 43,1.3x1.1,,12.8,13.8,13.1,Com,"vF,pL",II 383
NGC 4834,GX,Sbc,12 56 25.3,+52 16 45,0.9x0.4,110.0,14.5,15.5,13.2,CVn,"vF,S,iR,bM",III 817
NGC 4819,GX,Sa,12 56 27.9,+26 59 14,1.2x0.9,160.0,13.2,14.1,13.2,Com,"vF,pL,iF",II 346
NGC 4813,GX,S0,12 56 36.1,-06 49 04,1.3x0.6,35.0,13.7,14.5,13.3,Vir,"F,S,R,bM",II 777
NGC 4827,GX,S0,12 56 43.6,+27 10 43,1.4x1.3,,12.9,13.9,13.4,Com,"F,cL",II 384
NGC 4818,GX,Sabp,12 56 48.9,-08 31 32,4.3x1.5,3.0,11.1,12.0,13.0,Vir,"pB,L,pmE0,gbM",II 549
NGC 4825,GX,E2p,12 57 12.2,-13 39 54,1.9x1.2,135.0,11.7,12.7,12.5,Vir,"pB,iF,bM",II 563
NGC 4857,GX,Sb,12 57 18.3,+70 12 13,1.3x0.6,110.0,13.8,14.6,13.5,Dra,"eF,vS,iR,vlbM",III 908
NGC 4839,GX,E/S0,12 57 24.4,+27 29 52,4.2x2.1,65.0,12.1,13.0,14.3,Com,"F,pL,R",II 386
NGC 4841,GX,S0p,12 57 32.0,+28 28 37,1.7x1.7,,12.8,13.8,13.8,Com,"pF,pL,R,vS* att",II 387
NGC 4840,GX,E1,12 57 32.9,+27 36 37,0.6x0.6,,13.7,14.7,12.9,Com,"vF,vS",II 385
NGC 4843,GX,S0:,12 58 00.9,-03 37 18,2.1x0.5,87.0,13.0,14.0,12.8,Vir,"cF,E,eR,* sf 30''",III 613
NGC 4845,GX,Sb,12 58 01.3,+01 34 33,5.0x1.3,89.0,11.2,12.1,13.1,Vir,"pF,pL,pmE,vgbM,* nf",II 536
NGC 4910,Dup,,12 58 01.3,+01 34 33,,,,,,Vir,"eF,vL,rr",V 3
