Name,Type,Class,RA 2000,Decl 2000,Size,PA,V Mag,B Mag,Surf Br,Con,NGC,WH
NGC 5406,GX,Sbc,14 00 20.2,+38 54 56,1.9x1.4,120.0,12.3,13.1,13.3,CVn,"F,pS,R,lbM",II 699
NGC 5400,GX,E-S0,14 00 37.2,-02 51 28,1.5x0.9,100.0,12.9,13.9,13.2,Vir,"vF,cS",III 667
NGC 5422,GX,S0,14 00 42.2,+55 09 51,3.9x0.7,152.0,11.8,12.8,12.8,UMa,"pB,S,pmE45,vsvmbMN",I 230
NGC 5430,GX,SBb,14 00 46.0,+59 19 45,2.2x1.1,0.0,11.9,12.7,12.8,UMa,"pB,S,IE,mbM",II 827
NGC 5407,GX,E:,14 00 50.0,+39 09 22,1.4x1.0,100.0,13.2,14.2,13.4,CVn,"vF,vS,R,bM,in Cl",III 684
NGC 5410,GX,SB:,14 00 54.6,+40 59 19,1.5x0.8,75.0,13.0,14.0,13.1,CVn,"pF,pS,bM",II 672
NGC 5416,GX,Sc,14 02 11.4,+09 26 24,1.4x0.8,110.0,13.3,14.0,13.3,Boo,"eF,vS,E,r",III 56
NGC 5443,GX,SBb:,14 02 11.7,+55 48 49,2.7x1.0,34.0,12.3,13.1,13.2,UMa,"pF,L,E",II 799
NGC 5417,GX,Sa,14 02 13.1,+08 02 13,1.5x0.6,120.0,13.0,13.9,12.7,Boo,"cF,S,R,psbM,*p",III 11
NGC 5447,KNT,,14 02 27.9,+54 16 34,,,,,,UMa,"pB,S,R,gmbM,conn with M101",III 787
NGC 5433,GX,Sdm,14 02 36.2,+32 30 36,1.6x0.4,3.0,13.6,14.1,12.9,CVn,"vF,cS,lE 0°,bM",III 653
NGC 5448,GX,Sa,14 02 50.3,+49 10 21,4.0x1.8,115.0,11.0,11.9,13.0,UMa,"pB,cL,vmE90,smbMN",II 691
NGC 5440,GX,Sa,14 03 01.1,+34 45 26,3.1x1.2,50.0,12.3,13.2,13.6,CVn,"pF,cS,lE,bM,*11 sp",II 416
NGC 5444,GX,E+,14 03 24.2,+35 07 54,2.4x2.1,90.0,11.8,12.8,13.6,CVn,"pB,pL,lE,vsmbM",II 417
NGC 5426,GX,Scp,14 03 25.0,-06 04 09,3.0x1.6,170.0,12.1,12.7,13.6,Vir,"pF,cL,R,gmbM,sp of 2",II 309
NGC 5427,GX,Scp,14 03 26.0,-06 01 51,2.8x2.4,,11.4,11.9,13.3,Vir,"pF,cL,R,nf of 2",II 310
NGC 5445,GX,S0,14 03 31.6,+35 01 29,1.5x0.7,27.0,13.0,14.0,12.9,CVn,"F,*13p",III 413
NGC 5461,KNT,,14 03 40.9,+54 19 02,,,,,,UMa,"B,pS,R,psbM,conn M101",III 788
NGC 5446,Dup,,14 03 48.0,+09 36 38,,,,,,Boo,"eF,eS",III 57
NGC 5462,KNT,,14 03 52.9,+54 21 53,,,,,,UMa,"pB,pL,iR,gbM,conn M101",III 789
NGC 5473,GX,E-S0,14 04 43.3,+54 53 33,2.3x1.7,160.0,11.4,12.4,12.8,UMa,"pB,S,R,gbM",I 231
NGC 5474,GX,Scp,14 05 01.2,+53 39 44,4.8x4.3,,10.8,11.3,13.9,UMa,"pB,L,bM,P w M101",I 214
NGC 5475,GX,Sa,14 05 12.4,+55 44 30,2.0x0.5,166.0,12.6,13.5,12.5,UMa,"pB,S,pmE,bM",II 800
NGC 5466,GC,12.0,14 05 27.3,+28 32 04,9.0,,9.0,,,Boo,"Cl,L,vRi,vmC,st 11...",VI 9
NGC 5477,GX,Sm,14 05 32.3,+54 27 33,1.7x1.3,95.0,14.0,14.4,14.7,UMa,"vF,pL",III 790
NGC 5463,GX,S?,14 06 10.5,+09 21 12,1.1x0.5,49.0,13.0,13.8,12.2,Boo,"eF,S,lE",III 58
NGC 5480,GX,Sc,14 06 21.8,+50 43 29,1.7x1.1,0.0,12.1,12.8,12.7,UMa,"F,pS,vgbM,np of 2",II 692
NGC 5468,GX,Scd,14 06 34.8,-05 27 11,2.6x2.4,105.0,12.5,13.0,14.4,Vir,"F,L,R,vgbM,*9 sf 4'",III 286
NGC 5481,GX,E+,14 06 41.4,+50 43 23,1.8x1.5,115.0,12.3,13.2,13.3,Boo,"F,vS,smbM,stell,sf of 2",II 693
NGC 5484,GX,E2,14 06 48.2,+55 01 47,0.4x0.3,,14.7,15.7,,UMa,"vF,S,R,4'from 5485",III 791
NGC 5485,GX,S0p,14 07 11.4,+55 00 07,2.3x1.9,170.0,11.4,12.3,12.9,UMa,"cB,R,vgbM,f of 2",I 232
NGC 5486,GX,Sm,14 07 25.0,+55 06 10,1.9x1.2,80.0,13.3,13.8,14.0,UMa,"F,pL",II 801
NGC 5476,GX,Sdm,14 08 08.5,-06 05 31,1.7x1.1,135.0,12.8,13.3,13.1,Vir,"F,pS,iR",III 287
NGC 5478,GX,Sbc,14 08 08.5,-01 42 08,1.1x0.8,37.0,13.6,14.4,13.2,Vir,"vF,vS",III 762
NGC 5482,GX,S0,14 08 30.7,+08 55 55,1.2x0.9,88.0,12.9,13.9,12.9,Boo,"eF,S",III 59
NGC 5547,GX,Dbl,14 09 45.0,+78 36 04,0.9x0.4,20.0,13.5,14.5,12.2,UMa,"eF,vS,E0",III 948
NGC 5490,GX,E,14 09 57.3,+17 32 44,2.4x2.0,5.0,12.1,13.1,13.8,Boo,"cF,cS,R,sbMF**",III 32
NGC 5500,GX,E,14 10 15.2,+48 32 46,1.0x0.9,,13.3,14.3,13.1,Boo,"cF,cS,iR",III 674
NGC 5492,GX,Sbp,14 10 35.3,+19 36 44,2.4x0.7,150.0,12.8,13.6,13.2,Boo,"pB,vS,E",II 876
NGC 5491,GX,S:,14 10 57.4,+06 21 53,1.4x0.8,78.0,12.8,13.8,12.8,Vir,"pB,pS,R,gbM,r",II 890
NGC 5493,GX,S0p,14 11 29.3,-05 02 37,1.6x1.3,124.0,11.4,12.3,12.1,Vir,"pB,vS,R,psmbM*,*18 invl",IV 46
NGC 5520,GX,Sb,14 12 22.8,+50 20 54,2.0x1.1,66.0,12.4,13.2,13.2,Boo,"F,S,lE,stellar",III 676
NGC 5515,GX,Sab,14 12 38.2,+39 18 37,1.3x0.7,108.0,12.9,13.8,12.6,Boo,"vF,S,vlE",III 685
NGC 5513,GX,S0,14 13 08.7,+20 24 59,1.9x1.1,115.0,12.6,13.6,13.3,Boo,"pB,pL,iR",II 877
NGC 5506,GX,Sap,14 13 14.8,-03 12 27,2.8x0.9,92.0,11.9,12.8,12.7,Vir,"pB,L,E20,lbM",II 687
NGC 5507,GX,S0,14 13 19.8,-03 08 56,1.7x0.9,58.0,12.5,13.5,12.8,Vir,"cF,S,R,stellar",IV 49
NGC 5526,GX,Sbc,14 13 53.7,+57 46 17,1.8x0.2,136.0,13.5,14.3,12.2,UMa,"vF,S,E,r",III 804=III 835
NGC 5570,GX,Sa,14 14 20.9,+07 30 56,1.6x1.0,75.0,13.1,14.0,13.4,Boo,"F,S,iR",III 12
NGC 5522,GX,Sb,14 14 50.3,+15 08 49,1.9x0.4,50.0,13.5,14.3,13.0,Boo,"vF,vS,E",III 644
NGC 5523,GX,Sc,14 14 51.7,+25 19 05,4.6x1.3,99.0,12.1,12.8,13.8,Boo,"F,pL,pmE90,*10 np",III 134
NGC 5540,GX,,14 14 54.3,+60 00 39,0.5x0.3,10.0,13.9,14.9,,UMa,"eF,vS,R,stellar",III 805
NGC 5529,GX,Sc,14 15 34.2,+36 13 35,6.2x0.8,115.0,11.9,12.8,13.5,Boo,"cF,pL,vmE110,vgvmBM",III 414
NGC 5533,GX,Sab,14 16 07.7,+35 20 37,3.1x1.9,30.0,11.8,12.7,13.6,Boo,"pB,R,vsmbM,2or3*inv",II 418
NGC 5536,GX,SBa,14 16 23.8,+39 30 08,0.9x0.9,,13.5,14.4,13.1,Boo,"cF,vS,R,sp of 2",III 731
NGC 5541,GX,S:,14 16 31.7,+39 35 20,0.8x0.5,0.0,12.8,13.8,11.8,Boo,"cF,S,R,gbM,nf of 2",III 732
NGC 5532,GX,S0,14 16 52.9,+10 48 27,1.6x1.6,,11.9,12.9,12.7,Boo,"vF,vS,R,gbM,r",III 47
NGC 5544,GX,SB0/a,14 17 02.6,+36 34 16,0.9x0.9,,13.4,14.2,13.0,Boo,"F,pS,E80,Dneb w 5545",II 419
NGC 5548,GX,S0,14 17 59.6,+25 08 13,1.4x1.3,110.0,12.6,13.3,13.1,Boo,"cF,pS,R,vsvmbM*",II 194
NGC 5546,GX,E,14 18 09.3,+07 33 51,1.3x1.1,,12.3,13.3,12.6,Boo,"pB,cS,gbM",III 551
NGC 5557,GX,E1,14 18 25.8,+36 29 36,2.3x1.9,105.0,11.0,11.9,12.6,Boo,"cB,S,R,vsbM*",I 99
NGC 5549,GX,S0/a,14 18 38.9,+07 22 38,1.6x0.8,120.0,12.8,13.9,13.0,Vir,"vF,vS,R",III 552
NGC 5559,GX,SBb,14 19 12.6,+24 47 55,1.4x0.4,67.0,14.0,14.8,13.3,Boo,"vF,S,vlE,bM",III 347
NGC 5607,GX,P,14 19 26.7,+71 35 17,0.9x0.8,,13.4,13.9,12.8,UMi,"pF,cS,iR,bM,er",II 331
NGC 5585,GX,Sd,14 19 48.3,+56 43 45,5.8x3.7,30.0,10.7,11.2,13.9,UMa,"pF,L,iR,vgmbM,r",I 235
NGC 5560,GX,SBbp,14 20 04.6,+03 59 32,3.7x0.7,115.0,12.4,13.2,13.2,Vir,"pF,cL,E,gbM",II 579
NGC 5566,GX,SBab,14 20 19.8,+03 56 01,6.6x2.2,35.0,10.6,11.5,13.3,Vir,"B,pL,R,psbM,r,*f1.5'",I 144
NGC 5579,GX,Sc,14 20 26.5,+35 11 18,1.9x1.4,165.0,13.6,14.3,14.5,Boo,"vF,cL,p of 2",III 415
NGC 5640,GX,S,14 20 40.8,+80 07 23,0.9x0.4,20.0,14.4,15.4,,Cam,"eF,S,lE",III 949
NGC 5582,GX,E,14 20 43.2,+39 41 36,2.8x1.7,25.0,11.6,12.5,13.3,Boo,"pB,pS,R,bMFN,* sp",II 754
NGC 5574,GX,SB0,14 20 56.1,+03 14 15,1.6x1.0,63.0,12.4,13.2,12.7,Vir,"pF,pS,lE,p of 2",I 145
NGC 5576,GX,E3,14 21 03.6,+03 16 14,3.5x2.2,95.0,11.0,11.9,13.2,Vir,"B,S,R,vsmbM,brightest of 3",I 146
NGC 5589,GX,SBa,14 21 25.1,+35 16 14,1.1x1.1,,13.3,14.2,13.3,Boo,"vF,S,R,np of 2",III 416
NGC 5590,GX,S0,14 21 38.3,+35 12 17,1.8x1.8,,12.3,13.3,13.5,Boo,"cF,S,R,bM*,sf of 2",III 417
NGC 5587,GX,S0/a,14 22 10.8,+13 55 04,2.6x0.8,162.0,12.5,13.5,13.2,Boo,"F,cS,vlE,*8 sf",III 110
NGC 5602,GX,Sa,14 22 18.9,+50 30 05,1.4x0.8,166.0,12.7,13.6,12.6,Boo,"pF,pS,lE,mbM",II 694
NGC 5598,GX,S0,14 22 28.3,+40 19 11,1.5x1.0,50.0,13.0,14.0,13.4,Boo,"F,vS,R,bM",III 733
NGC 5596,GX,S0,14 22 28.7,+37 07 20,1.0x0.8,100.0,13.4,14.4,13.1,Boo,"eF,S,R,stellar",III 418
NGC 5620,GX,E-S0,14 22 40.3,+69 35 41,0.5x0.5,,14.1,15.2,12.8,UMi,"eF,vS",III 319
NGC 5603,GX,S0,14 23 01.5,+40 22 38,1.1x1.1,,13.0,14.0,13.0,Boo,"cF,pS,R,gbM",III 734
NGC 5594,GX,,14 23 10.3,+26 15 56,1.1x0.6,150.0,14.0,15.0,13.4,Boo,"eF,vS,stellar",III 135
NGC 5608,GX,Im,14 23 17.7,+41 46 33,2.6x1.3,95.0,13.4,13.9,14.6,Boo,"F,pL,lE,vglbM",II 673
NGC 5600,GX,Scp,14 23 49.5,+14 38 20,1.4x1.4,,12.1,12.7,12.7,Boo,"pB,pS,gbM",II 177
NGC 5599,GX,Sb,14 23 50.8,+06 34 33,1.4x0.5,160.0,13.6,14.4,13.1,Vir,"F,S,lE",III 927
NGC 5592,GX,SBbc,14 23 55.0,-28 41 17,1.5x0.8,88.0,12.8,13.5,12.8,Hya,"F,S,E,gvlbM,r",III 924
NGC 5614,GX,Sabp,14 24 07.7,+34 51 32,2.5x2.0,,11.7,12.5,13.3,Boo,"pB,S,R,smbM",II 420
NGC 5595,GX,Sc,14 24 13.3,-16 43 23,2.2x1.2,55.0,12.0,12.6,13.0,Lib,"F,pL,R,vgbM,p of 2",III 121
NGC 5616,GX,Sbc,14 24 20.6,+36 27 42,2.1x0.4,157.0,13.8,14.6,13.6,Boo,"vF,S,cE,vgbM,er",III 419
NGC 5610,GX,SBa,14 24 23,+24 36 51,2.0x0.7,108.0,13.2,14.1,13.4,Boo,"vF,S,pmE0,*9f",III 136
NGC 5597,GX,Sc,14 24 27.5,-16 45 46,2.1x1.7,95.0,12.0,12.6,13.2,Lib,"vF,L,vlE,vglbM,f of 2",III 122
NGC 5604,GX,Sap,14 24 42.7,-03 12 44,1.8x1.0,20.0,12.8,13.5,13.3,Vir,"F,pS,R,vgbM*,r",III 668
NGC 5605,GX,Scp,14 25 07.6,-13 09 48,1.6x1.3,85.0,12.3,12.9,13.0,Lib,"vF,pL,R,vgbM",III 120
NGC 5622,GX,Sb,14 26 12.2,+48 33 50,1.7x1.0,90.0,13.2,14.0,13.6,Boo,"vF,pS,vlE,vglbM",III 677
NGC 5631,GX,Sa,14 26 33.3,+56 34 58,1.7x1.7,,11.5,12.4,12.5,UMa,"B,S,R,psbMN",I 236
NGC 5623,GX,E,14 27 08.7,+33 15 08,1.6x1.1,17.0,12.5,13.5,13.1,Boo,"cF,S,R,vsmbM,r",II 329
NGC 5618,GX,SBc,14 27 11.8,-02 15 46,1.6x1.2,10.0,13.4,14.1,13.9,Vir,"eF,S",III 763
NGC 5633,GX,Sb,14 27 28.5,+46 08 50,2.0x1.2,10.0,12.4,13.1,13.3,Boo,"cB,pS,R,pglbM",I 185
NGC 5630,GX,Sm,14 27 36.8,+41 15 27,2.2x0.7,98.0,13.1,13.6,13.4,Boo,"F,S,E90,gbM",II 674
NGC 5671,GX,SBb,14 27 42.0,+69 41 39,1.7x1.2,45.0,13.3,14.1,13.9,UMi,"vF,pL,R,bM",III 882
NGC 5621,***,,14 27 49.7,+08 14 29,,,,,,Boo,"eeF,L,resolvable",III 14
NGC 5635,GX,Sp,14 28 31.9,+27 24 31,2.3x1.1,65.0,12.5,13.5,13.4,Boo,"F,S,E,sbM",III 132
NGC 5637,GX,S,14 28 59.8,+23 11 29,0.9x0.5,10.0,13.8,14.8,12.7,Boo,"vF,S,R,vgbM",II 357
NGC 5642,GX,E,14 29 13.5,+30 01 35,1.8x1.3,130.0,12.6,13.6,13.6,Boo,"cF,S,* inv,*12 nf",III 126
NGC 5634,GC,4.0,14 29 37.2,-05 58 35,4.9,,9.4,,,Vir,"vB,cL,R,gbM,rrr,st 19...,*8 sf",I 70
NGC 5636,GX,S0,14 29 39.1,+03 15 58,1.9x1.4,40.0,12.7,13.7,13.7,Vir,"eF,cL,R,np of 2",II 580
NGC 5638,GX,E1,14 29 40.5,+03 13 59,2.7x2.4,150.0,11.2,12.1,13.2,Vir,"cB,pL,R,sf of 2",II 581
NGC 5712,GX,,14 29 41.6,+78 51 51,0.7x0.7,,14.3,15.3,,UMi,"vF,S,R,S Cl p",III 950
NGC 5660,GX,Sc,14 29 49.8,+49 37 20,2.8x2.5,90.0,11.9,12.4,13.8,Boo,"pB,L,iR,vgbM",II 695
NGC 5654,GX,S,14 30 01.4,+36 21 36,1.5x1.0,145.0,12.9,13.9,13.3,Boo,"F,S,E,** inv",III 420
NGC 5653,GX,Sb,14 30 10.6,+31 12 54,1.7x1.3,125.0,12.2,12.9,12.9,Boo,"pF,pS,R,bM",II 330
NGC 5667,GX,Scp,14 30 22.8,+59 28 12,1.7x1.1,168.0,12.5,13.2,13.0,Dra,"pB,pS,E0",II 807
NGC 5656,GX,Sab,14 30 25.4,+35 19 16,1.9x1.5,50.0,11.8,12.7,12.8,Boo,"pF,pL,R,mbM,r",II 421
NGC 5649,GX,S,14 30 32.5,+14 01 28,1.1x0.8,172.0,13.2,14.1,13.1,Boo,"eF,vS,np of 2",III 645
NGC 5645,GX,SBd,14 30 39.7,+07 16 29,2.4x1.5,80.0,12.5,13.0,13.8,Vir,"cF,pL,iR,gbM",II 150
NGC 5652,GX,Sbc,14 31 01.0,+05 58 43,2.0x1.4,117.0,12.5,13.3,13.4,Vir,"pB,pL,vlE,bM",II 891
NGC 5661,GX,SBb:,14 31 57.5,+06 15 01,1.5x0.6,23.0,13.3,14.1,13.0,Vir,"vF,pS,IE",II 892
NGC 5678,GX,Sb,14 32 05.8,+57 55 17,3.3x1.6,5.0,11.3,12.1,13.0,Dra,"B,L,lE0,vgmbM",I 237
NGC 5665,GX,Scp,14 32 26.0,+08 04 48,1.9x1.3,145.0,12.0,12.7,12.8,Boo,"pB,pL,R,gbM,r",II 27
IC 1029,GX,Sb,14 32 27.2,+49 54 13,2.8x0.5,152.0,11.3,12.2,11.6,Boo,"vF,S,lE,mbM",II 696
NGC 5672,GX,Sb,14 32 38.3,+31 40 12,0.9x0.6,50.0,13.5,14.1,12.6,Boo,"vF,vL,iR,lbM,**p",III 310
NGC 5675,GX,S:,14 32 39.8,+36 18 08,2.8x1.0,137.0,12.7,13.7,13.7,Boo,"F,pS,E,bM",II 422
NGC 5669,GX,Sc,14 32 43.9,+09 53 31,4.0x2.8,50.0,11.3,12.0,13.8,Boo,"F,L,R,lbM,r",II 79
NGC 5676,GX,Sc,14 32 46.7,+49 27 26,4.0x1.9,47.0,11.2,11.9,13.2,Boo,"B,L,E45,pgbM,r",I 189
NGC 5668,GX,Sd,14 33 24.4,+04 27 01,3.3x3.0,,11.5,12.2,13.9,Vir,"F,pS,vlE,*14 inv",II 574
NGC 5674,GX,Sc,14 33 52.4,+05 27 29,1.1x1.0,,13.0,13.7,13.0,Vir,"cF,pS,R,gbM",II 893
NGC 5677,GX,S:,14 34 12.9,+25 28 04,0.9x0.7,135.0,13.7,14.7,13.0,Boo,"vF,vS,R,r,3*9,10 np",III 283
NGC 5687,GX,E-S0,14 34 52.3,+54 28 33,2.4x1.7,105.0,11.8,12.6,13.1,Boo,"pF,S,iF,resolved,*10 f",II 808
NGC 5679,GX,Sb,14 35 08.8,+05 21 31,1.0x0.6,127.0,13.0,13.8,12.3,Vir,"vF,S,R,*12 att",II 894
NGC 5689,GX,SBa,14 35 29.6,+48 44 30,3.5x1.0,85.0,11.9,12.8,13.0,Boo,"cB,pL,E87,psmbM",I 188
NGC 5684,GX,S0,14 35 50.0,+36 32 35,1.5x1.3,105.0,12.7,13.6,13.3,Boo,"F,cS,R,bM,p of 2",III 421
NGC 5697,GX,S:,14 36 32.0,+41 41 08,0.9x0.5,25.0,13.7,14.7,12.5,Boo,"F,vS,R,bM,4B*p",II 675
NGC 5696,GX,Sbc,14 36 57.1,+41 49 41,2.0x1.5,45.0,13.0,13.8,14.1,Boo,"cF,cS,R,lbM,r",II 648
NGC 5698,GX,SBb,14 37 14.7,+38 27 15,1.9x0.9,70.0,13.0,13.8,13.5,Boo,"cF,cS,lE,in tri of st",II 700
NGC 5695,GX,S:,14 37 22.1,+36 34 04,1.5x1.1,150.0,12.8,13.6,13.2,Boo,"pB,cS,R,bM,r",II 423
NGC 5690,GX,Sc,14 37 41.2,+02 17 28,3.4x1.0,143.0,11.8,12.5,13.0,Vir,"vF,mE138,F* att sf",II 582
NGC 5691,GX,Sap,14 37 53.4,-00 23 55,1.9x1.4,110.0,12.3,12.8,13.2,Vir,"pB,pS,lE,gbM",II 681
NGC 5714,GX,Sc,14 38 11.7,+46 38 16,3.2x0.4,82.0,13.4,14.1,13.5,Boo,"vF,pS,E pf,D*n,1 of 6",III 675
NGC 5704,Dup,,14 38 16.3,+40 27 24,,,,,,Boo,"F,cS,lE0",II 649
NGC 5699,Dup,,14 38 42.3,+30 27 59,,,,,,Boo,"eF,vS",III 127
NGC 5703,Dup,,14 38 50.0,+30 26 34,,,,,,Boo,"vF,vS,iR",III 128
NGC 5702,GX,S0,14 38 55.1,+20 30 25,1.1x0.8,150.0,13.3,14.3,13.1,Boo,"vF,vS",III 894
NGC 5701,GX,SB0/a,14 39 11.1,+05 21 47,4.3x4.1,,10.9,11.8,13.8,Vir,"cB,pS,R,mbM,*11p15''",II 575
NGC 5710,GX,E,14 39 16.2,+20 02 36,1.2x1.1,,13.0,14.0,13.3,Boo,"vF,S,vgbM,**f,p of 2",III 895
NGC 5694,GC,7.0,14 39 36.5,-26 32 18,4.2,,10.0,,,Hya,"cB,cS,R,psbM,r,* 9.5 sp",II 196
NGC 5730,GX,Im,14 39 52.0,+42 44 33,1.8x0.4,88.0,14.1,14.6,13.5,Boo,"vF,cS,E90",III 657
NGC 5731,GX,S,14 40 09.3,+42 46 46,1.6x0.4,116.0,13.1,14.1,12.3,Boo,"vF,eS,lE",III 658
NGC 5713,GX,Sbcp,14 40 11.5,-00 17 27,2.8x2.5,10.0,11.2,11.8,13.1,Vir,"cB,pL,R,psmbM,r",I 182
NGC 5732,GX,Sbc,14 40 39.0,+38 38 16,1.3x0.7,40.0,13.5,14.3,13.3,Boo,"vF,S,R,lbM",III 686
NGC 5718,GX,E-S0,14 40 42.9,+03 27 55,1.5x1.1,85.0,12.9,13.9,13.3,Vir,"vF,S,R,vglbM,*8,9 nf",III 550
NGC 5719,GX,Sabp,14 40 56.6,-00 19 05,3.2x1.2,107.0,12.2,13.1,13.5,Vir,"pF,S,lE,bM",II 682
NGC 5716,GX,SBc,14 41 05.5,-17 28 35,2.0x1.2,80.0,12.9,13.7,13.7,Lib,"vF,pL,R",III 671
NGC 5729,GX,Sbp,14 42 06.8,-09 00 30,2.5x0.6,166.0,12.6,13.4,12.9,Lib,"F,pL,E,r",III 508
NGC 5728,GX,Sa,14 42 24.0,-17 15 10,3.1x1.8,30.0,11.3,12.4,13.1,Lib,"pF,pL,pmE45,mbM,*10s",I 184
NGC 5739,GX,S0+,14 42 28.9,+41 50 32,2.3x2.1,,12.1,13.1,13.6,Boo,"pB,S,R,smbM,r,* nr",I 171
NGC 5735,GX,SBbc,14 42 33.4,+28 43 34,2.4x1.9,40.0,12.3,13.1,13.8,Boo,"vF,L,iR,lbM",III 133
NGC 5737,GX,SBb,14 43 11.8,+18 52 48,1.3x0.8,170.0,13.5,14.3,13.4,Boo,"vF,cS,R,vglbM",III 896
NGC 5751,GX,Sc,14 43 49.2,+53 24 01,1.5x0.8,55.0,13.2,13.9,13.2,Boo,"F,S,vlE,tri2*10,11",II 809
NGC 5747,GX,Sb,14 44 20.7,+12 07 53,0.8x0.8,,13.6,14.4,13.0,Boo,"eF,S",III 48
NGC 5740,GX,Sb,14 44 24.5,+01 40 47,3.0x1.5,160.0,11.9,12.6,13.3,Vir,"pB,L,iR,gbM,r",II 538
NGC 5746,GX,Sb,14 44 55.8,+01 57 19,7.4x1.3,170.0,10.3,11.3,12.6,Vir,"B,L,vmE170,bM,BN",I 126
NGC 5754,GX,SBb,14 45 19.4,+38 43 52,1.8x1.7,,13.1,13.9,14.2,Boo,"cF,cS,R,bM",III 687
NGC 5750,GX,SB0/a,14 46 11.1,-00 13 25,3.0x1.6,65.0,11.6,12.5,13.2,Vir,"pF,pS,vlE,r",I 183
NGC 5760,GX,Sa,14 47 42.3,+18 30 07,1.5x0.7,96.0,13.3,14.2,13.2,Boo,"vF,vS,cE90,vglbM",III 885
NGC 5757,GX,SBb,14 47 46.4,-19 04 42,2.0x1.6,160.0,11.9,12.7,13.0,Lib,"vF,S,iR,lbM",III 690
NGC 5777,GX,Sb,14 51 17.8,+58 58 39,3.1x0.4,144.0,13.3,14.1,13.5,Dra,"vF,vS,lE",III 806
NGC 5768,GX,Sc,14 52 08.0,-02 31 49,1.9x1.4,120.0,12.5,13.2,13.3,Lib,"F,R,bMFN,S*s",III 373
NGC 5771,GX,E:,14 52 14.3,+29 50 43,0.8x0.7,,13.6,14.6,12.8,Boo,"vF,S,R,pgbM",III 129
NGC 5773,GX,S,14 52 30.3,+29 48 27,0.9x0.9,,13.5,14.5,13.0,Boo,"vF,S,R,pgbM",III 130
NGC 5770,GX,SB0,14 53 15.0,+03 57 36,1.7x1.3,,12.3,13.2,12.9,Vir,"cF,S,vlE,bM,biN",II 576
NGC 5775,GX,SBc,14 53 57.5,+03 32 42,4.2x1.0,146.0,11.4,12.2,12.8,Vir,"F,pS,vmE148,gvlbM",III 554
NGC 5808,Dup,,14 54 02.9,+73 07 54,,,,,,UMi,"vF,S,iR,bet 2 st",III 311
NGC 5819,GX,SBb,14 54 02.9,+73 07 54,0.9x0.9,,13.5,14.3,13.2,UMi,"F,pL,triangle w 2*",III 311?
NGC 5784,GX,S0,14 54 16.5,+42 33 29,1.9x1.8,,12.4,13.4,13.6,Boo,"pB,S,R,smbM,stellar",II 676
NGC 5787,GX,S:,14 55 15.5,+42 30 25,1.0x0.9,,13.1,14.1,12.8,Boo,"F,cS,R,pslbM",II 677
NGC 5797,GX,S0-a,14 56 24.0,+49 41 46,1.1x0.7,110.0,12.8,13.8,12.3,Boo,"F,S,vsbM*13,2nd of 4",III 678
NGC 5789,GX,Sdm,14 56 35.7,+30 14 00,0.9x0.8,,13.7,14.2,13.1,Boo,"eF,pS,iF",III 976
NGC 5804,GX,SBb,14 57 06.8,+49 40 08,1.2x1.1,0.0,13.1,13.9,13.3,Boo,"vF,vS,vsmbM,*6 nr",III 679
NGC 5798,GX,Im,14 57 38.0,+29 58 05,1.4x1.0,42.0,13.1,13.6,13.3,Boo,"F,S,R,vgbM,* nf",III 131
NGC 5832,GX,SBb,14 57 45.3,+71 40 55,3.7x2.2,45.0,12.1,12.9,14.2,UMi,"pB,cL,iR,bp,r",II 332
NGC 5792,GX,SBb,14 58 22.7,-01 05 24,6.9x1.7,84.0,11.3,12.1,13.8,Lib,"pB,pL,R,mbM,*8,9 np 1'",II 683
NGC 5820,GX,E5,14 58 39.8,+53 53 09,1.7x1.1,,12.4,13.4,12.9,Boo,"B,E90,sbM,B D*f8',brightest of 3",II 756
NGC 5791,GX,E6,14 58 46.2,-19 16 01,2.6x1.3,163.0,11.7,12.7,13.0,Lib,"pF,S,R,stellar",III 691
NGC 5821,GX,S:,14 59 00.0,+53 55 23,1.9x0.9,148.0,13.5,14.5,13.9,Boo,"vF,S",III 811
NGC 5836,GX,SBb,14 59 31.1,+73 53 36,1.2x1.0,,13.9,14.7,13.9,UMi,"eF,vS,lE,2* inv",II 312
NGC 5806,GX,Sb,15 00 00.3,+01 53 28,3.1x1.6,170.0,11.7,12.4,13.3,Vir,"cB,cL,E165,sbMN",II 539
NGC 5812,GX,E0,15 00 55.7,-07 27 26,2.1x1.9,130.0,11.2,12.2,12.7,Lib,"cB,S,R,svmbM",I 71
NGC 5813,GX,E1,15 01 11.2,+01 42 07,4.2x3.0,145.0,10.5,11.5,13.2,Vir,"B,pS,R,psmbM",I 127
NGC 5831,GX,E3,15 04 07.0,+01 13 11,2.0x1.9,55.0,11.5,12.5,12.9,Vir,"pB,S,mbM",II 540
NGC 5838,GX,S0-,15 05 26.2,+02 05 58,4.2x1.5,43.0,10.9,11.9,12.8,Vir,"pB,pS",II 542
NGC 5839,GX,S0,15 05 27.5,+01 38 05,1.3x1.2,35.0,12.7,13.7,13.0,Vir,"pF,pS",II 541
NGC 5845,GX,E3,15 06 00.8,+01 38 01,0.8x0.5,150.0,12.5,13.5,11.5,Vir,"vF,R",III 511
NGC 5881,GX,S:,15 06 20.7,+62 58 52,0.8x0.7,60.0,13.3,14.3,,Dra,"pF,cS,R,vgbM",II 818
